NAME,AGE,POSITION,APPOINTED
Jean-Paul Agon,64,Chairman Of The Board,2021
Nicolas Hieronimus,57,"Chief Executive Officer, Member Of The Executive Committee",2021
Barbara Lavernos,52,"Deputy Chief Executive Officer - Research, Innovation And Technology , Member Of The Executive Committee",2021
Francoise Bettencourt Meyers,67,Vice Chairman Of The Board,2020
Paul Bulcke,66,Vice Chairman Of The Board,2017
Christophe Babule,55,"Chief Financial Officer, Member Of The Executive Committee",2020
Antoine Vanlaeys,--,"Chief Operating Officer, Member Of The Executive Committee",2021
Jean-Claude Legrand,--,"Chief Human Resource Officer, Member Of The Executive Committee",2020
Blanca Juti,53,Chief Communications And Public Affairs Officer,2021
Vincent Marie Regis Boinay,--,"President - Travel Retail, Member Of The Executive Committee",2020
Cyril Chapuy,--,"President - Luxe, Member Of The Executive Committee",2019
Myriam Cohen-Welgrym,--,"President - Active Cosmetics, Member Of The Executive Committee",2020
Vianney Marie Hugues Derville,53,"President - Western Europe Zone, Member Of The Executive Committee",2020
Omar Hajeri,--,"President - Professional Products Division, Member Of The Executive Committee",2021
Fabrice Megarbane,--,"President - North Asia Zone And Chief Executive Officer - L’Oréal China, Member Of The Executive Committee",2020
Alexandra Palt,--,"Chief Corporate Sustainability Officer And L’Oréal Foundation, Member Of The Executive Committee",2020
Alexis Perakis-Valat,49,"President - Consumer Products , Member Of The Executive Committee",2016
Ersi Pirishi,--,"President - Latin America Zone, Member Of The Executive Committee",2021
Alexandre Popoff,59,"President - Eastern Europe Zone, Member Of The Executive Committee",2020
Stephane Rinderknech,--,"President North America And Chief Executive Officer L’Oréal USA, Member Of The Executive Committee",2020
Lubomira Rochet,44,"Chief Digital Officer, Member Of The Executive Committee",2020
Frederic Roze,59,"Chief Global Growth Officer, Member Of The Executive Committee",2021
Vismay Sharma,--,"President - South Asia, Pacific, Middle East And North Africa Zones, Member Of The Executive Committee",2020
Ana Sofia Amaral,55,Director - Employee Representative,2014
Beatrice Guillaume-Grabisch,56,Director,2016
Georges Liarokapis,58,Director - Employee Representative,2014
Jean-Victor Meyers,34,Director,2012
Nicolas Meyers,32,Director,2020
Sophie Bellon,59,Independent Director,2015
Patrice Caine,--,Independent Director,2018
Fabienne Dulac,53,Independent Director,2019
Belen Garijo,60,Independent Director,2014
Ilham Kadri,52,Independent Director,2020
Virginie Sarah Sandrine Morgon,51,Independent Director,2013
