,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,160.05,233.99,220.39,89.79,293.53
Non-Cash Items,620.59,639.48,234.70,342.31,92.70
Changes in Working Capital,(2.90),(67.01),(39.97),(34.19),(39.52)
Cash from Operating Activities,777.73,806.46,415.11,397.90,346.71
Capital Expenditures,(750.67),(718.12),(718.69),(934.03),(795.03)
"Other Investing Cash Flow Items, Total",(262.77),(260.12),(241.01),(133.51),8.52
Cash from Investing Activities,"(1,013.44)",(978.25),(959.70),"(1,067.55)",(786.51)
Financing Cash Flow Items,(214.66),(214.95),(136.17),(135.44),(111.55)
Total Cash Dividends Paid,0.00,(77.54),(71.05),(60.53),(54.25)
"Issuance (Retirement) of Debt, Net",500.46,535.03,905.89,939.59,626.60
Cash from Financing Activities,285.80,242.54,698.68,743.62,460.80
Net Change in Cash,50.10,70.75,154.09,73.97,21.00
"Issuance (Retirement) of Stock, Net",6.04,--,--,--,--
