,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"3,922.39","3,740.22","3,419.76","3,138.23","2,841.23"
Total Revenue,"3,922.39","3,740.22","3,419.76","3,138.23","2,841.23"
"Selling/General/Admin. Expenses, Total","3,094.68","2,825.91","2,837.21","2,605.41","2,381.23"
Depreciation/Amortization,503.57,445.68,175.90,153.31,126.46
Unusual Expense (Income),(106.97),(96.75),(97.34),(71.72),(130.45)
"Other Operating Expenses, Total",(35.89),24.55,58.43,37.85,55.92
Total Operating Expense,"3,455.40","3,199.39","2,974.20","2,724.85","2,433.15"
Operating Income,466.99,540.82,445.56,413.38,408.08
"Interest Inc.(Exp.),Net-Non-Op., Total",(155.22),(119.73),(100.82),(243.76),(85.30)
"Other, Net",(101.44),(95.23),(35.34),(30.96),(28.05)
Net Income Before Taxes,210.33,325.87,309.40,138.66,294.72
Provision for Income Taxes,52.58,98.61,95.31,53.28,5.00
Net Income After Taxes,157.75,227.26,214.09,85.38,289.72
Minority Interest,0.75,1.22,(0.68),(0.01),(0.01)
Equity In Affiliates,1.55,5.51,6.99,4.42,3.82
Net Income Before Extra. Items,160.05,233.99,220.39,89.79,293.53
Net Income,160.05,233.99,220.39,89.79,293.53
Income Available to Com Excl ExtraOrd,160.05,233.99,220.39,89.79,293.53
Income Available to Com Incl ExtraOrd,160.05,233.99,220.39,89.79,293.53
Diluted Net Income,160.05,233.99,220.39,89.79,293.53
Diluted Weighted Average Shares,65.59,66.96,64.63,61.58,60.24
Diluted EPS Excluding ExtraOrd Items,2.44,3.49,3.41,1.46,4.87
DPS - Common Stock Primary Issue,0.90,0.00,1.20,1.10,1.00
Diluted Normalized EPS,1.22,2.49,2.37,0.74,2.74
Total Adjustments to Net Income,0.00,0.00,0.00,--,--
Dilution Adjustment,0.00,--,--,--,--
