,30-Jun-20,30-Jun-19,30-Jun-18,30-Jun-17,30-Jun-16
Revenue,"8,448.00","9,182.00","8,722.00","9,010.00","8,682.00"
Total Revenue,"8,448.00","9,182.00","8,722.00","9,010.00","8,682.00"
"Cost of Revenue, Total","3,361.00","3,533.00","3,433.00","3,407.00","3,311.00"
Gross Profit,"5,087.00","5,649.00","5,289.00","5,603.00","5,371.00"
"Selling/General/Admin. Expenses, Total","2,826.00","3,068.00","2,931.00","3,208.00","3,094.00"
Unusual Expense (Income),"1,221.00",172.00,83.00,178.00,176.00
"Other Operating Expenses, Total",62.00,34.00,(21.00),(15.00),6.00
Total Operating Expense,"7,470.00","6,807.00","6,426.00","6,778.00","6,587.00"
Operating Income,978.00,"2,375.00","2,296.00","2,232.00","2,095.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(338.00),(294.00),(283.00),(350.00),(414.00)
"Other, Net",(28.00),(16.00),(18.00),(24.00),(18.00)
Net Income Before Taxes,612.00,"2,065.00","1,995.00","1,858.00","1,663.00"
Provision for Income Taxes,258.00,582.00,392.00,438.00,408.00
Net Income After Taxes,354.00,"1,483.00","1,603.00","1,420.00","1,255.00"
Minority Interest,(21.00),(27.00),(26.00),(28.00),(20.00)
Net Income Before Extra. Items,333.00,"1,456.00","1,577.00","1,393.00","1,235.00"
Total Extraordinary Items,(3.00),0.00,--,--,--
Net Income,330.00,"1,456.00","1,577.00","1,393.00","1,235.00"
Total Adjustments to Net Income,(1.00),(1.00),--,--,--
Income Available to Com Excl ExtraOrd,332.00,"1,455.00","1,577.00","1,393.00","1,235.00"
Income Available to Com Incl ExtraOrd,329.00,"1,455.00","1,577.00","1,393.00","1,235.00"
Dilution Adjustment,0.00,0.00,0.00,0.00,--
Diluted Net Income,329.00,"1,455.00","1,577.00","1,393.00","1,235.00"
Diluted Weighted Average Shares,264.04,265.42,265.54,265.48,265.63
Diluted EPS Excluding ExtraOrd Items,1.26,5.48,5.94,5.25,4.65
DPS - Common Stock Primary Issue,2.66,3.12,2.36,2.02,1.88
Diluted Normalized EPS,3.93,5.95,6.19,5.76,5.15
Equity In Affiliates,1.00,0.00,--,--,--
