TITLE,SUMMARY,DATE
Pernod CFO: guidance takes into account disruptions from COVID restrictions in India,"April 22 (Reuters) - Pernod Ricard <PERP.PA> CFO Helene de Tissot tells analysts during a call:: WE EXPECT SOME DISRUPTIONS FROM COVID-19 RESTRICTIONS IN INDIA IN Q4 BUT WE HAVE TAKE THAT INTO ACCOUNT INTO OUR GUIDANCE. IN FIRST STATES LIKE TEXAS, FLORIDA WHO HAVE SEEN RE-OPENING OF BARS AND RESTAURANTS, BOOKINGS ARE VERY IMPRESSSIVE.ALL SALES CHANNELS IN CHINA ARE ABOVE FY 2019 LEVELS.",2 months ago
Pernod Ricard Expects Sales To Accelerate In Q4,"April 22 (Reuters) - PERNOD RICARD SA <PERP.PA>::9MTH SALES TOTALLED €6,941M, WITH AN ORGANIC GROWTH OF +1.7%.INTERIM DIVIDEND OF €1.33 PER SHARE TO BE PAID ON 9 JULY 2021.Q3 GROWTH AT +19%.USA CONTINUING TO GROW MID-SINGLE-DIGITS, CHINA AT +34% IN 9M, INDIA BACK TO DOUBLE-DIGIT GROWTH IN Q3.REPORTED 9M SALES DECLINED -3.7% WITH AN UNFAVOURABLE FX IMPACT.PERNOD RICARD SEES FY 2021 ORGANIC GROWTH IN PROFIT FROM RECURRING OPERATIONS OF C. +10%.IN FY21, SIGNIFICANT FX IMPACT ON PROFIT FROM RECURRING OPERATIONS OF C. -€250M IS EXPECTED.PERNOD RICARD EXPECTS SALES TO ACCELERATE IN Q4.Q3 ORGANIC SALES GROWTH: +10% IN AMERICAS, +36% IN ASIA/REST OF WORLD; +5% IN EUROPE.",2 months ago
Pernod Ricard sees opportunities for Martell cognac to accelerate in U.S.,"March 9 (Reuters) - Pernod Ricard SA <PERP.PA> CEO for North America Ann Mukherjee tells a call with analysts::CEO FOR NORTH AMERICA SAYS: ""WE ARE PROBABLY FIT FOR PURPOSE"" REGARDING OUR INVENTORY LEVELS.CEO FOR NORTH AMERICA SAYS TRENDS TOWARDS COCKTAIL MAKING AT HOME, PREMIUMIZATION, E-COMMERCE WILL CONTINUE.CEO FOR NORTH AMERICA SAYS: WINE AND CHAMPAGNE WILL REMAIN AN IMPORTANT PART OF OUR PORTFOLIO.NORTH AMERICA CEO SAYS: WE HAVE A LOT OF OPPORTUNITIES TO FURTHER ACCELERATE MARTELL COGNAC IN THE U.S..CEO FOR NORTH AMERICA: AMERICAN WHISKIES WILL ALSO BE BIG FOR OUR PORTFOLIO.PERNOD RICARD CEO FOR NORTH AMERICA: MY GOAL IS TO STABILISE THE ABSOLUT VODKA BRAND IN THE SHORT-TERM.CEO FOR NORTH AMERICA SAYS: I THINK THAT POST COVID WE WILL SEE MORE PREMIUMIZATION BOTH ON AND OFF PREMISES.",4 months ago
RPT-Pernod Ricard To Acquire Majority Stake In La Hechicera,March 8 (Reuters) - Pernod Ricard SA <PERP.PA> (repeat of earlier March 5 item)::PERNOD RICARD TO ACQUIRE MAJORITY STAKE IN LA HECHICERA.,4 months ago
Pernod Ricard To Acquire Majority Stake In La Hechicera Ultra-Premium Colombian Rum,March 5 (Reuters) - Pernod Ricard SA <PERP.PA>::PERNOD RICARD TO ACQUIRE MAJORITY STAKE IN LA HECHICERA ULTRA-PREMIUM COLOMBIAN RUM.CLOSING OF TRANSACTION EXPECTED IN COMING WEEKS.,4 months ago
Pernod Ricard CEO: Environment still too uncertain to provide numbered FY guidance,Feb 11 (Reuters) - Pernod Ricard SA <PERP.PA> Chairman and CEO alexandre Ricard and CFO helene e Tissot tell a conference call::PERNOD RICARD CEO SAYS THE ENVIRONMENT IS STILL TOO VOLATILE AND TOO UNCERTAIN TO PROVIDE A NUMBERED GUIDANCE FOR THE FULL YEAR.PERNOD RICARD CFO SAYS A&P AT AROUND 16% OF SALES FOR THE FULL YEAR IS A FAIR ASSUMPTION.PERNOD RICARD CEO SAYS: WE HAVE NO PLANS TO GIVE A GUIDANCE (FOR THE FULL YEAR) IN MARCH.,5 months ago
"Pernod Ricard CEO ""cautiously optimistic"" over Chinese New Year sales prospects","Feb 11 (Reuters) - Pernod Ricard SA <PERP.PA> CEO Alexandre Ricard tells a news conference::CEO SAYS ""CAUTIOUSLY OPTIMISTIC"" OVER SALES PROSPECTS DURING CHINESE NEW YEAR.CEO: WE WILL HAVE REAL DATA-DRIVEN FEEDBACK ON CHINESE NEW YEAR BUSINESS AT END-MARCH-EARLY APRIL.CFO HELENE DE TISSOT SAYS: YOU CAN EXPECT OUR A&P SPEND TO KEEP INCREASING IN U.S., CHINA AND INDIA.",5 months ago
Pernod Ricard Eyes Organic Sales Growth For FY21,"Feb 11 (Reuters) - PERNOD RICARD <PERP.PA>: :H1 NET SALES EUR 4.99 BILLION VERSUS EUR 5.47 BILLION YEAR AGO.H1 PROFIT FROM RECURRING OPERATIONS EUR 1.60 BILLION VERSUS EUR 1.79 BILLION YEAR AGO.H1 NET PROFIT GROUP SHARE EUR 966 MILLION VERSUS EUR 1.03 BILLION YEAR AGO.END-H1 RECURRING FREE CASH FLOW AT EU 995 MILLION ; NET DEBT DECREASED BY EUR 443 MILLION VERSUS. 30 JUNE 2020 TO EUR 7,980 MILLION.ANTICIPATES ORGANIC SALES GROWTH FOR FULL-YEAR FY21, THANKS IN PARTICULAR TO OUR DYNAMIC PERFORMANCE IN USA, CHINA AND INDIA.",5 months ago
Pernod Ricard Appoints Anne-Marie Poliquin As Group General Counsel,Feb 4 (Reuters) - Pernod Ricard SA <PERP.PA>::PERNOD RICARD IS APPOINTING ANNE-MARIE POLIQUIN AS GROUP GENERAL COUNSEL.,5 months ago
COVID-19 to heavily impact Q2 FY 2020/21 - CEO,"Nov 27 (Reuters) - Pernod Ricard <PERP.PA> Chairman and CEO Alexandre Ricard tells annual shareholders meeting::REITERATES FORECAST Q2 FY 2020/21 TO REMAIN HEAVILY IMPACTED BY COVID-19, SALES GROWTH TO RETURN IN SECOND HALF.Q1 SALES WERE DOWN 6% LIKE-FOR-LIKE.PERNOD RICARD FISCAL YEAR STARTED ON JULY 1..",7 months ago
