,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"13,100.20","15,883.50","13,665.20","10,815.90","12,384.90"
Total Revenue,"13,100.20","15,883.50","13,665.20","10,815.90","12,384.90"
"Cost of Revenue, Total","3,590.60","4,108.50","3,467.00","2,899.80","4,595.30"
Gross Profit,"9,509.60","11,775.00","10,198.20","7,916.10","7,789.60"
"Selling/General/Admin. Expenses, Total","2,070.00","2,290.80","2,080.40","1,797.80","1,983.70"
"Interest Exp.(Inc.),Net-Operating, Total",(704.60),--,--,--,--
Unusual Expense (Income),541.60,168.50,222.40,164.20,506.00
"Other Operating Expenses, Total","4,304.40","4,705.90","4,174.00","3,427.60","3,919.70"
Total Operating Expense,"9,802.00","11,273.70","9,943.80","8,289.40","11,004.70"
Operating Income,"3,298.20","4,609.80","3,721.40","2,526.50","1,380.20"
"Interest Inc.(Exp.),Net-Non-Op., Total",(323.00),(305.50),(173.70),(199.20),(194.30)
"Other, Net",(18.70),(4.00),(33.60),(21.00),(7.50)
Net Income Before Taxes,"2,956.50","4,300.30","3,514.10","2,306.30","1,178.40"
Provision for Income Taxes,759.20,"2,133.70",867.70,550.80,296.10
Net Income After Taxes,"2,197.30","2,166.60","2,646.40","1,755.50",882.30
Minority Interest,(29.50),(41.50),(27.70),(23.20),(55.00)
Equity In Affiliates,(7.60),41.80,11.90,(3.60),(2.20)
Net Income Before Extra. Items,"2,160.20","2,166.90","2,630.60","1,728.70",825.10
Total Extraordinary Items,(9.80),141.70,"1,084.30",56.90,(11.60)
Net Income,"2,150.40","2,308.60","3,714.90","1,785.60",813.50
Income Available to Com Excl ExtraOrd,"2,160.20","2,166.90","2,630.60","1,728.70",825.10
Income Available to Com Incl ExtraOrd,"2,150.40","2,308.60","3,714.90","1,785.60",813.50
Diluted Net Income,"2,150.40","2,308.60","3,714.90","1,785.60",813.50
Diluted Weighted Average Shares,125.01,125.50,125.96,126.00,126.00
Diluted EPS Excluding ExtraOrd Items,17.28,17.27,20.89,13.72,6.55
DPS - Common Stock Primary Issue,8.00,8.00,10.50,6.00,4.60
Diluted Normalized EPS,22.73,17.94,22.21,14.71,9.56
