,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,816.00","1,145.00",933.00,"1,017.00","2,116.00"
Cash & Equivalents,"1,884.00","2,268.00","2,273.00","1,390.00",112.00
Cash and Short Term Investments,"3,700.00","3,413.00","3,206.00","2,407.00","2,228.00"
"Accounts Receivable - Trade, Net","10,397.00","11,235.00","9,989.00","9,750.00","10,010.00"
"Total Receivables, Net","11,200.00","11,992.00","10,678.00","10,399.00","10,708.00"
Total Inventory,230.00,411.00,367.00,385.00,406.00
Total Current Assets,"15,130.00","15,816.00","14,434.00","13,253.00","13,342.00"
"Property/Plant/Equipment, Total - Gross","4,219.00","4,751.00","3,367.00","1,814.00","1,794.00"
"Accumulated Depreciation, Total","(1,948.00)","(1,910.00)","(1,024.00)","(1,174.00)","(1,134.00)"
"Property/Plant/Equipment, Total - Net","2,271.00","2,842.00","2,343.00",590.00,640.00
"Goodwill, Net","10,858.00","11,629.00","8,751.00","8,450.00","9,150.00"
"Intangibles, Net","1,509.00","1,979.00","1,125.00","1,124.00","1,345.00"
Long Term Investments,216.00,222.00,245.00,232.00,261.00
Note Receivable - Long Term,40.00,28.00,32.00,1.00,8.00
"Other Long Term Assets, Total",137.00,143.00,150.00,130.00,150.00
Total Assets,"30,161.00","32,659.00","27,080.00","23,780.00","24,896.00"
Accounts Payable,"12,887.00","13,411.00","12,176.00","11,541.00","11,992.00"
Accrued Expenses,"1,180.00","1,013.00",864.00,824.00,776.00
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,"1,148.00","1,938.00",431.00,46.00,63.00
"Other Current liabilities, Total","1,568.00","1,584.00","1,853.00","1,797.00","1,767.00"
Total Current Liabilities,"16,783.00","17,946.00","15,324.00","14,208.00","14,598.00"
Long Term Debt,"3,653.00","4,286.00","1,804.00",481.00,"2,769.00"
Capital Lease Obligations,"1,850.00","2,196.00","1,648.00",0.00,101.00
Total Long Term Debt,"5,503.00","6,482.00","3,452.00",481.00,"2,870.00"
Total Debt,"6,651.00","8,420.00","3,883.00",527.00,"2,933.00"
Deferred Income Tax,247.00,413.00,446.00,419.00,649.00
Minority Interest,(22.00),(9.00),0.00,2.00,10.00
"Other Liabilities, Total",468.00,426.00,"1,005.00","2,714.00",714.00
Total Liabilities,"22,979.00","25,258.00","20,227.00","17,824.00","18,841.00"
"Common Stock, Total",99.00,96.00,94.00,92.00,90.00
Additional Paid-In Capital,"4,307.00","4,137.00","3,926.00","3,680.00","3,429.00"
Retained Earnings (Accumulated Deficit),"3,592.00","3,353.00","3,096.00","2,521.00","2,281.00"
"Other Equity, Total",(816.00),(185.00),(263.00),(337.00),255.00
Total Equity,"7,182.00","7,401.00","6,853.00","5,956.00","6,055.00"
Total Liabilities & Shareholders' Equity,"30,161.00","32,659.00","27,080.00","23,780.00","24,896.00"
Total Common Shares Outstanding,245.58,236.96,231.24,226.30,225.37
"Tangible Book Value per Share, Common Eq",(21.11),(26.19),(13.07),(15.99),(19.70)
"Other Current Assets, Total",0.00,183.00,62.00,--,--
