,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"11,357.00","6,607.00","6,686.00","6,640.00","7,031.00"
Cash & Equivalents,"10,340.00","8,375.00","8,091.00","7,417.00","6,822.00"
Short Term Investments,426.00,"1,375.00",921.00,"1,184.00",952.00
Cash and Short Term Investments,"22,123.00","16,357.00","15,698.00","15,241.00","14,805.00"
"Accounts Receivable - Trade, Net","41,730.00","46,632.00","43,466.00","41,087.00","36,258.00"
"Total Receivables, Net","45,638.00","50,782.00","47,519.00","41,663.00","39,805.00"
Total Inventory,"5,640.00","5,780.00","5,879.00","6,328.00","5,813.00"
Prepaid Expenses,315.00,456.00,368.00,283.00,263.00
"Other Current Assets, Total",559.00,403.00,511.00,"4,277.00",781.00
Total Current Assets,"74,275.00","73,778.00","69,975.00","67,509.00","61,487.00"
"Property/Plant/Equipment, Total - Gross","49,319.00","47,998.00","43,582.00","41,343.00","39,733.00"
"Accumulated Depreciation, Total","(32,184.00)","(31,098.00)","(29,278.00)","(27,761.00)","(26,745.00)"
"Property/Plant/Equipment, Total - Net","17,135.00","16,900.00","14,304.00","13,582.00","12,988.00"
"Goodwill, Net",916.00,"1,127.00","1,191.00",210.00,--
"Intangibles, Net","5,431.00","5,822.00","5,913.00","5,240.00","3,798.00"
Long Term Investments,"16,208.00","22,215.00","22,445.00","21,117.00","20,377.00"
Note Receivable - Long Term,893.00,"1,085.00","1,114.00",27.00,"1,119.00"
"Other Long Term Assets, Total",879.00,"1,244.00","1,245.00","2,424.00","1,492.00"
Total Assets,"115,737.00","122,171.00","114,996.00","109,899.00","102,452.00"
Accounts Payable,"8,277.00","9,582.00","9,505.00","9,904.00","9,533.00"
Accrued Expenses,"2,694.00","2,714.00","2,683.00",51.00,"1,447.00"
Notes Payable/Short Term Debt,"47,463.00","47,373.00","44,413.00","41,277.00","35,944.00"
Current Port. of LT Debt/Capital Leases,"3,572.00","2,541.00","2,110.00","3,558.00","4,704.00"
"Other Current liabilities, Total","9,284.00","9,777.00","9,147.00","11,453.00","10,126.00"
Total Current Liabilities,"71,290.00","71,987.00","67,858.00","66,243.00","61,754.00"
Long Term Debt,"12,780.00","8,123.00","6,152.00","5,056.00","4,861.00"
Capital Lease Obligations,530.00,622.00,--,--,--
Total Long Term Debt,"13,310.00","8,745.00","6,152.00","5,056.00","4,861.00"
Total Debt,"64,345.00","58,659.00","52,675.00","49,891.00","45,509.00"
Deferred Income Tax,922.00,"1,044.00",135.00,180.00,124.00
Minority Interest,566.00,767.00,599.00,294.00,181.00
"Other Liabilities, Total","4,877.00","5,064.00","4,763.00","4,741.00","4,789.00"
Total Liabilities,"90,965.00","87,607.00","79,507.00","76,514.00","71,709.00"
"Common Stock, Total","1,127.00","1,127.00","1,127.00","1,127.00","1,127.00"
Additional Paid-In Capital,"3,785.00","3,785.00","3,785.00","3,785.00","3,785.00"
Retained Earnings (Accumulated Deficit),"23,868.00","32,348.00","33,567.00","31,534.00","27,062.00"
Treasury Stock - Common,(284.00),(344.00),(400.00),(494.00),(321.00)
Unrealized Gain (Loss),384.00,232.00,236.00,809.00,758.00
"Other Equity, Total","(4,108.00)","(2,584.00)","(2,826.00)","(3,376.00)","(1,668.00)"
Total Equity,"24,772.00","34,564.00","35,489.00","33,385.00","30,743.00"
Total Liabilities & Shareholders' Equity,"115,737.00","122,171.00","114,996.00","109,899.00","102,452.00"
Total Common Shares Outstanding,291.18,291.17,289.23,290.47,291.35
"Tangible Book Value per Share, Common Eq",63.28,94.84,102.26,96.90,88.39
