,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"43,474.00","55,537.00","57,419.00","58,770.00","51,243.00"
Total Revenue,"43,474.00","55,537.00","57,419.00","58,770.00","51,243.00"
"Cost of Revenue, Total","36,257.00","44,665.00","45,417.00","46,477.00","40,256.00"
Gross Profit,"7,217.00","10,872.00","12,002.00","12,293.00","10,987.00"
"Selling/General/Admin. Expenses, Total","4,985.00","5,552.00","5,792.00","5,849.00","5,335.00"
Research & Development,"1,359.00","1,712.00","1,799.00","1,774.00","1,627.00"
Depreciation/Amortization,"1,210.00",946.00,799.00,816.00,743.00
Unusual Expense (Income),"1,702.00",591.00,625.00,48.00,(1.00)
Total Operating Expense,"45,513.00","53,466.00","54,432.00","54,964.00","47,960.00"
Operating Income,"(2,039.00)","2,071.00","2,987.00","3,806.00","3,283.00"
"Interest Inc.(Exp.),Net-Non-Op., Total","(5,425.00)",(412.00),"1,246.00","2,450.00","1,389.00"
"Other, Net",(162.00),(186.00),(59.00),(42.00),(74.00)
Net Income Before Taxes,"(7,626.00)","1,473.00","4,174.00","6,214.00","4,598.00"
Provision for Income Taxes,420.00,"1,454.00",723.00,906.00,"1,055.00"
Net Income After Taxes,"(8,046.00)",19.00,"3,451.00","5,308.00","3,543.00"
Minority Interest,38.00,(160.00),(149.00),(96.00),(124.00)
Net Income Before Extra. Items,"(8,008.00)",(141.00),"3,302.00","5,212.00","3,419.00"
Net Income,"(8,008.00)",(141.00),"3,302.00","5,212.00","3,419.00"
Income Available to Com Excl ExtraOrd,"(8,008.00)",(141.00),"3,302.00","5,212.00","3,419.00"
Income Available to Com Incl ExtraOrd,"(8,008.00)",(141.00),"3,302.00","5,212.00","3,419.00"
Diluted Net Income,"(8,008.00)",(141.00),"3,302.05","5,212.00","3,419.00"
Diluted Weighted Average Shares,271.35,271.64,272.22,273.75,274.33
Diluted EPS Excluding ExtraOrd Items,(29.51),(0.52),12.13,19.04,12.46
DPS - Common Stock Primary Issue,0.00,0.00,3.55,3.55,3.15
Diluted Normalized EPS,(25.43),0.95,14.03,19.19,12.46
Dilution Adjustment,0.05,--,--,--,--
