,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,352.00,"2,447.00","1,283.00","4,550.00","1,908.00"
Depreciation/Depletion,"1,447.00","1,463.00","1,209.00",788.00,726.00
Non-Cash Items,75.00,132.00,606.00,"(3,263.00)",188.00
Changes in Working Capital,(8.00),(897.00),(27.00),691.00,(168.00)
Cash from Operating Activities,"1,866.00","3,145.00","3,071.00","2,766.00","2,654.00"
Capital Expenditures,(736.00),"(1,028.00)","(1,107.00)","(1,089.00)","(1,068.00)"
"Other Investing Cash Flow Items, Total",(63.00),(77.00),"(2,387.00)",755.00,"(1,238.00)"
Cash from Investing Activities,(799.00),"(1,105.00)","(3,494.00)",(334.00),"(2,306.00)"
Financing Cash Flow Items,(14.00),(68.00),(37.00),(259.00),(71.00)
Total Cash Dividends Paid,0.00,(785.00),(695.00),(340.00),(612.00)
"Issuance (Retirement) of Stock, Net",96.00,"(1,297.00)",(539.00),(449.00),(38.00)
"Issuance (Retirement) of Debt, Net",(14.00),410.00,(887.00),"1,441.00",619.00
Cash from Financing Activities,68.00,"(1,740.00)","(2,158.00)",393.00,(102.00)
Foreign Exchange Effects,(20.00),2.00,(3.00),(17.00),15.00
Net Change in Cash,"1,115.00",302.00,"(2,584.00)","2,808.00",261.00
