TITLE,SUMMARY,DATE
"Airbus, Safran, Dassault Aviation, Onera, Transport Ministry Launch Alternative Fuel In-Flight Study","June 10 (Reuters) - Airbus SE <AIR.PA>::AIRBUS, SAFRAN <<<SAF.PA>>>, DASSAULT AVIATION <<<AVMD.PA>>>, ONERA AND MINISTRY OF TRANSPORT ARE JOINTLY LAUNCHING AN IN-FLIGHT STUDY, AT THE END OF 2021.STUDY TO ANALYSE THE COMPATIBILITY OF UNBLENDED SUSTAINABLE AVIATION FUEL (SAF) WITH SINGLE-AISLE AIRCRAFT AND COMMERCIAL AIRCRAFT ENGINE AND FUEL SYSTEMS, AS WELL AS WITH HELICOPTER ENGINES.KNOWN AS VOLCAN (VOL AVEC CARBURANTS ALTERNATIFS NOUVEAUX), THIS PROJECT IS THE FIRST TIME THAT IN-FLIGHT EMISSIONS WILL BE MEASURED USING 100% SAF IN A SINGLE-AISLE AIRCRAFT.THIS FLIGHT WILL BE MADE WITH THE SUPPORT OF THE “PLAN DE RELANCE AÉRONAUTIQUE” (THE FRENCH GOVERNMENT‘S AVIATION RECOVERY PLAN) MANAGED BY JEAN BAPTISTE DJEBBARI, FRENCH TRANSPORT MINISTER.VARIOUS SAFS USED FOR THE VOLCAN PROJECT WILL BE PROVIDED BY TOTALENERGIES <<<TOTF.PA>>>.Further company coverage: AIR.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 769 66 00;)).",3 days ago
Safran Updates On Its Convertible Bonds EUR 730 Mln Offering,June 9 (Reuters) - SAFRAN SA <SAF.PA>::SAFRAN ANNOUNCED ON JUNE 8 THE SUCCESS OF ITS OFFERING OF CONVERTIBLE BONDS (OCEANES) DUE 1 APRIL 2028 OF APPROXIMATELY EUR 730 MILLION .NET PROCEEDS OF OFFERING WILL BE USED TO REFINANCE PART OR ALL OF OUTSTANDING OCEANES DUE 21 JUNE 2023.REPURCHASE OF 2023 OCEANES WAS CONDUCTED THROUGH A CONCURRENT REPURCHASE OFFER .,4 days ago
Safran Launches Convertible Bonds For A Maximum Amount Of About 730 Million Euros,"June 8 (Reuters) - Safran SA <SAF.PA>::LAUNCHES AN OFFERING OF CONVERTIBLE BONDS (OCEANES) DUE 1 APRIL 2028.FOR A MAXIMUM NOMINAL AMOUNT OF APPROXIMATELY €730 MILLION.NET PROCEEDS OF THE OFFERING WILL BE USED TO REFINANCE PART OR ALL OF THE OUTSTANDING OCEANES DUE 21 JUNE 2023 (THE “2023 OCEANES”) UNDER THE TERMS DESCRIBED BELOW.FINAL TERMS AND CONDITIONS OF BONDS ARE EXPECTED TO BE DETERMINED TODAY AND SETTLEMENT IS EXPECTED TO TAKE PLACE ON 14 JUNE 2021.BONDS WILL NOT BEAR INTEREST AND WILL BE ISSUED AT A PRICE BETWEEN 103.5% TO 106.5% OF PAR, CORRESPONDING TO AN ANNUAL GROSS YIELD TO MATURITY OF BETWEEN -0.92% AND -0.50%.NOMINAL UNIT VALUE OF BONDS WILL BE SET AT A PREMIUM OF BETWEEN 45% AND 50% ABOVE THE REFERENCE PRICE OF SAFRAN'S SHARES1 (THE ""SHARES"") ON THE REGULATED MARKET OF EURONEXT PARIS.WILL CONDUCT TODAY AND OUTSIDE THE UNITED STATES OF AMERICA, A CONCURRENT REVERSE BOOKBUILDING PROCESS TO COLLECT IRREVOCABLE ORDERS FROM HOLDERS OF 2023 OCEANES WILLING TO SELL THEIR 2023 OCEANES.AS AT THE CLOSE OF BUSINESS ON 7 JUNE 2021, THERE WAS €699,999,983.10 IN AGGREGATE PRINCIPAL AMOUNT OF THE 2023 OCEANES OUTSTANDING.INITIAL UNIT REPURCHASE PRICE WILL BE €154.50 BEFORE ANY ADJUSTMENT FOR THE CHANGE IN THE PRICE OF THE SHARES ON THE DAY OF THE REPURCHASE.RESULTS OF THE REPURCHASE ARE EXPECTED TO BE ANNOUNCED TODAY, TOGETHER WITH THE FINAL TERMS OF THE BONDS.",5 days ago
Safran: Indigo Selects CFM's Leap-1A Engine For A320neos,May 21 (Reuters) - SAFRAN <SAF.PA>::INDIGO SELECTS CFM’S LEAP-1A ENGINE FOR A320NEOS.,23 days ago
Safran Wins Order From Dassault Aviation On Euroflir410 Optronic Systems,March 31 (Reuters) - Safran SA <SAF.PA>::SAFRAN’S EUROFLIR 410 OPTRONIC SYSTEMS CHOSEN FOR FRENCH NAVY’S FALCON TRITON AND ALBATROS MARITIME SURVEILLANCE AIRCRAFT.SAFRAN ELECTRONICS & DEFENSE HAS SIGNED A CONTRACT WITH DASSAULT AVIATION.Further company coverage: SAF.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 769 66 00;)).,3 months ago
Contec Selects Safran Legion 400 Antenna For Its International Satellite Ground Station Network,March 11 (Reuters) - Safran SA <SAF.PA>::CONTEC SELECTS SAFRAN LEGION 400 ANTENNA FOR ITS INTERNATIONAL SATELLITE GROUND STATION NETWORK.Further company coverage: SAF.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).,4 months ago
Safran Signs 500 Million Euros Loan Contract With European Investment Bank,"March 4 (Reuters) - SAFRAN SA <SAF.PA>::SAFRAN AND THE EIB SIGN A €500 MILLION LOAN CONTRACT TO FINANCE RESEARCH INTO PROPULSION SYSTEMS FOR FUTURE AIRCRAFT.LOAN WILL BE MADE AVAILABLE BY SEPTEMBER 2022, AT SAFRAN'S OPTION, WITH A MATURITY OF UP TO 10 YEARS FROM THE DATE THE FUNDS ARE MADE AVAILABLE.",4 months ago
Safran says China air traffic rebounded strongly this week,"Feb 25 (Reuters) - Safran <SAF.PA>::CEO SAYS CUT 1,500 FURTHER POSTS SINCE END OF 2020, CLOSED 2 FURTHER SITES IN THE U.S..CEO SAYS CHINA AIR TRAVEL MARKET STARTED REBOUNDING LAST WEEK AFTER DROP IN Q1.CEO SAYS AUBERT & DUVALL IS STRATEGIC SUPPLIER FOR SAFRAN AND FRENCH AERO AND DEFENCE INDUSTRY.CEO SAYS LOOKING AT AUBERT & DUVALL, NO DECISION TAKEN SO FAR.CEO SAYS CAN MEET LATEST AIRBUS PRODUCTION FORECASTS WITHOUT ANY PROBLEM.",4 months ago
"Hindustan Aeronautics, Safran Sign MoU For Collaboration In Development Of High Thrust Aero Engine","Feb 5 (Reuters) - Hindustan Aeronautics Ltd <HIAE.NS>::CO, SAFRAN SIGN MOU FOR COLLABORATION IN DEVELOPMENT, MANUFACTURE OF HIGH THRUST AERO ENGINE.",5 months ago
Safran Appoints Bernard Delpit As Group Deputy CEO,"Jan 15 (Reuters) - SAFRAN SA <SAF.PA>::BERNARD DELPIT, CHIEF FINANCIAL OFFICER, HAS BEEN APPOINTED GROUP DEPUTY CEO.EFFECTIVE JANUARY 14, 2021.",5 months ago
