,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,"12,314.00","2,806.00","4,306.00","8,416.00","4,709.00"
Depreciation/Depletion,"3,684.00","7,452.00","4,279.00","3,686.00","3,301.00"
Deferred Taxes,(214.00),"(1,753.00)",(727.00),(909.00),(542.00)
Non-Cash Items,"(8,010.00)",(342.00),"(1,031.00)","(3,961.00)",(112.00)
Cash Taxes Paid,"2,051.00","1,695.00","2,058.00","1,734.00","2,096.00"
Cash Interest Paid,315.00,379.00,412.00,347.00,401.00
Changes in Working Capital,(325.00),(419.00),"(1,280.00)",147.00,497.00
Cash from Operating Activities,"7,449.00","7,744.00","5,547.00","7,379.00","7,853.00"
Capital Expenditures,"(2,114.00)","(1,816.00)","(1,977.00)","(1,956.00)","(2,083.00)"
"Other Investing Cash Flow Items, Total","5,702.00",758.00,"(10,895.00)","2,595.00",(554.00)
Cash from Investing Activities,"3,588.00","(1,058.00)","(12,872.00)",639.00,"(2,637.00)"
Financing Cash Flow Items,(44.00),(21.00),(91.00),(52.00),79.00
Total Cash Dividends Paid,"(3,937.00)","(3,834.00)","(3,773.00)","(3,710.00)","(3,759.00)"
"Issuance (Retirement) of Stock, Net",(619.00),153.00,(924.00),"(1,843.00)","(2,603.00)"
"Issuance (Retirement) of Debt, Net","(1,885.00)",(491.00),"8,722.00","(2,297.00)","2,293.00"
Cash from Financing Activities,"(6,485.00)","(4,193.00)","3,934.00","(7,902.00)","(3,990.00)"
Foreign Exchange Effects,(64.00),9.00,1.00,(74.00),(101.00)
Net Change in Cash,"4,488.00","2,502.00","(3,390.00)",42.00,"1,125.00"
