,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"37,369.00","37,631.00","35,677.00","36,221.00","34,696.00"
Total Revenue,"37,369.00","37,631.00","35,677.00","36,221.00","34,696.00"
"Cost of Revenue, Total","12,157.00","11,976.00","11,435.00","11,613.00","10,701.00"
Gross Profit,"25,212.00","25,655.00","24,242.00","24,608.00","23,995.00"
"Selling/General/Admin. Expenses, Total","9,290.00","9,769.00","9,772.00","10,072.00","9,422.00"
Research & Development,"5,527.00","6,015.00","5,890.00","5,472.00","5,156.00"
Depreciation/Amortization,"1,787.00","2,269.00","2,264.00","1,866.00","1,769.00"
"Interest Exp.(Inc.),Net-Operating, Total","(7,382.00)",--,--,--,--
Unusual Expense (Income),752.00,"3,940.00","1,696.00","1,239.00",860.00
"Other Operating Expenses, Total","1,097.00",537.00,(56.00),155.00,257.00
Total Operating Expense,"23,228.00","34,506.00","31,001.00","30,417.00","28,165.00"
Operating Income,"14,141.00","3,125.00","4,676.00","5,804.00","6,531.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(263.00),(210.00),(273.00),(221.00),(237.00)
"Other, Net",(74.00),(93.00),2.00,(52.00),(619.00)
Net Income Before Taxes,"13,804.00","2,822.00","4,405.00","5,531.00","5,675.00"
Provision for Income Taxes,"1,813.00",139.00,481.00,"1,722.00","1,325.00"
Net Income After Taxes,"11,991.00","2,683.00","3,924.00","3,809.00","4,350.00"
Minority Interest,(36.00),(31.00),(104.00),(121.00),(91.00)
Equity In Affiliates,359.00,255.00,499.00,85.00,136.00
Net Income Before Extra. Items,"12,314.00","2,907.00","4,319.00","3,773.00","4,395.00"
Total Extraordinary Items,0.00,(101.00),(13.00),"4,643.00",314.00
Net Income,"12,314.00","2,806.00","4,306.00","8,416.00","4,709.00"
Income Available to Com Excl ExtraOrd,"12,314.00","2,907.00","4,319.00","3,773.00","4,395.00"
Income Available to Com Incl ExtraOrd,"12,314.00","2,806.00","4,306.00","8,416.00","4,709.00"
Diluted Net Income,"12,314.00","2,806.00","4,306.00","8,411.55","4,704.48"
Diluted Weighted Average Shares,"1,253.60","1,257.10","1,255.20","1,266.80","1,296.00"
Diluted EPS Excluding ExtraOrd Items,9.82,2.31,3.44,2.97,3.39
DPS - Common Stock Primary Issue,3.20,3.15,3.07,3.03,2.96
Diluted Normalized EPS,10.34,5.29,4.64,3.65,3.90
Dilution Adjustment,(4.45),(4.52),5.28,--,--
