NAME,AGE,POSITION,APPOINTED
Serge Weinberg,69,Independent Chairman Of The Board,2015
Paul Hudson,53,"Chief Executive Officer, Member Of The Executive Committee, Director",2019
Jean-Baptiste Chasseloup De Chatillon,55,"Chief Financial Officer, Executive Vice President, Member Of The Executive Committee",2018
Natalie Bickford,50,"Chief Human Resource Officer, Executive Vice President, Member Of The Executive Committee",2020
Karen Linehan,62,"Executive Vice President - Legal Affairs And General Counsel, Member Of The Executive Committee",2014
Olivier Charmeil,58,"Executive Vice President - General Medicines, Member Of The Executive Committee",2020
Philippe Luscan,58,"Executive Vice President - Global Industrial Affairs, Member Of The Executive Committee",2015
John C. Reed,62,"Executive Vice President - Global Head Of Research And Development, Member Of The Executive Committee",2018
Arnaud Robert,47,"Executive Vice President - Chief Digital Officer, Member Of The Executive Committee",2020
William J. Sibold,54,"Executive Vice President - Sanofi Genzyme, Member Of The Executive Committee",2017
Thomas Triomphe,46,"Executive Vice President - Head Of Sanofi Pasteur, Member Of The Executive Committee",2020
Julie Van Ongevalle,46,"Executive Vice President, Member Of The Executive Committee",2020
Christophe Babule,55,Director,2019
Wolfgang Laux,--,"Director, Employee Representative",2021
Barbara Lavernos,--,Director,2021
Tran Yann,--,"Director, Employee Representative",2021
Rachel Duan,50,Independent Director,2020
Lise Kingo,59,Independent Director,2020
Patrick Kron,67,Independent Director,2014
Fabienne Lecorvaisier,58,Independent Director,2013
Melanie Lee,62,Independent Director,2017
Carole Piwnica,63,Independent Director,2010
Gilles Schnepp,62,Independent Director,2020
Diane Souza,68,Independent Director,2016
Thomas Sudhof,65,Independent Director,2016
