TITLE,SUMMARY,DATE
Schneider Electric Supports Guardian Glass In Journey Towards Power Digitalization,June 2 (Reuters) - Schneider Electric SE <SCHN.PA>::SCHNEIDER ELECTRIC SUPPORTS GUARDIAN GLASS IN JOURNEY TOWARDS POWER DIGITALIZATION.,10 days ago
IGE+XAO Q1 Consolidated Turnover Up At EUR 8.8 Mln,"May 4 (Reuters) - IGE + XAO SA <IGXA.PA>::IGE+XAO: ACTIVITY UP 6.5%.OVER 1ST QUARTER OF 2021, CONSOLIDATED TURNOVER FOR IGE+XAO IS 8,815,708 EUROS, UP 6.5% COMPARED TO 2020.AT 31 DECEMBER 2020, AN EQUITY OF 49 MILLION EUROS, NO BANK DEBT AND A CASH FLOW OF OVER 49 MILLION EUROS.DECIDED TO ALLOCATE RESULTS FOR 2020 FINANCIAL PERIOD TO RETAINED EARNINGS ACCOUNT AND TO NOT DISTRIBUTE ANY DIVIDENDS.",a month ago
"Schneider Electric Sees Strong Data Centre Dynamics In Europe, Asia - Conf Call","April 27 (Reuters) - Schneider Electric SE <SCHN.PA>::SEES STRONG DYNAMICS ON DATA CENTRES IN EUROPE AND IN ASIA - CFO IN CONF CALL.SEES ROBUST MEDIUM AND LONGER TERM GROWTH TRENDS IN SOFTWARE, EXPECTS THIS TO CONTINUE - CFO IN CONF CALL.INDIA: ALL OUR FACTORIES ARE OPERATING, WE REMAIN IN FULL OPERATIONS WITH A FEW EXCEPTIONS FOR VARIOUS LOCALIZED LOCKDOWNS - CFO IN CONF CALL.COVID-19 IN INDIA: IN TERMS OF IMPACT OUR EXPECTATION WOULD BE SIMILAR TO LAST YEAR, COULD BE DISRUPTIONS ON SALES SIDE - CFO IN CONF CALL.Further company coverage: SCHN.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",2 months ago
"Schneider Electric Raises 2021 Target, Q1 Revenues Up 13.5%","April 27 (Reuters) - Schneider Electric SE <SCHN.PA>::Q1 REVENUES WERE EUR 6.53 BILLION, UP +13.5% ORGANIC AND UP +11.9% ON A REPORTED BASIS.2021 TARGET UPGRADED: REVENUE GROWTH OF +8% TO +11% ORGANIC, ADJUSTED EBITA MARGIN UP +90BPS TO +130BPS ORGANIC.2021 TARGET UPGRADED: ADJUSTED EBITA GROWTH OF BETWEEN +14% AND +20% ORGANIC.IN Q1 CHINA SHOWED STRONG DOUBLE-DIGIT GROWTH, AGAINST LOW BASE OF COMPARISON IN Q1 2020.SIGNED AGREEMENT TO DIVEST CABLE SUPPORT BUSINESS TO STORSKOGEN GROUP.DISPOSALS PLAN: GROUP HAS NOW CUMULATIVELY ADDRESSED REVENUES OF EUR 0.7 BILLION.UNCERTAINTY REMAINS IN 2021, WITH RECENT UPTICK OF COVID-19 IN SPECIFIC COUNTRIES, AND POTENTIAL GLOBAL SUPPLY-CHAIN PRESSURES.",2 months ago
"Schneider Electric Partners With Top 1,000 Suppliers To Help Reduce Their Co2 Footprint","April 14 (Reuters) - Schneider Electric SE <SCHN.PA>::SCHNEIDER ELECTRIC PARTNERS WITH TOP 1,000 SUPPLIERS TO HELP REDUCE THEIR OPERATIONS’ CO2 FOOTPRINT 50% BY 2025.",2 months ago
Minesto And Schneider Electric Join Forces To Commercialize Marine Energy,"March 12 (Reuters) - Minesto AB <MINEST.ST>::MINESTO AND SCHNEIDER ELECTRIC JOIN FORCES TO COMMERCIALIZE MARINE ENERGY.MINESTO AND SCHNEIDER ELECTRIC, TO WORK TOGETHER TO DEVELOP AND BUILD OCEAN ENERGY FARMS BASED ON MINESTO'S DEEP GREEN TECHNOLOGY..COLLABORATION WILL REACH FROM TECHNICAL SYSTEM INTEGRATION AND PROJECT MANAGEMENT TO SALES AND PROJECT FINANCE OPPORTUNITIES.",4 months ago
Schneider Electric Says Will Acquire Strategic Minority Stake In Uplight,"March 3 (Reuters) - Schneider Electric SE <SCHN.PA>::ANNOUNCES STRATEGIC INVESTMENT IN UPLIGHT.TO ACQUIRE A STRATEGIC MINORITY STAKE IN UPLIGHT, INC.TRANSACTION VALUES UPLIGHT AT C. $1.5 BILLION (C. EUR 1.2 BILLION), AROUND 10X EXPECTED 2021 REVENUE.UPLIGHT EXPECTS SIGNIFICANT REVENUE GROWTH IN COMING YEARS..WILL ACQUIRE A STRATEGIC MINORITY STAKE OF C.30% IN UPLIGHT.EXISTING STRATEGIC PARTNER OF UPLIGHT, IS INCREASING ITS INVESTMENT TO ALSO HOLD C.30%..WILL ACQUIRE C.30% IN UPLIGHT.A GROUP OF FINANCIAL INVESTORS, LED BY HUCK CAPITAL & INCLUDING COATUE & INCLUSIVE CAPITAL PARTNERS WILL INVEST ALONGSIDE CO & AES.",4 months ago
Schneider Electric Launches A Capital Increase Reserved For Employees,"Feb 24 (Reuters) - Schneider Electric SE <SCHN.PA>::SCHNEIDER ELECTRIC - LAUNCHES A CAPITAL INCREASE RESERVED FOR EMPLOYEES.SCHNEIDER ELECTRIC - LAUNCH OF A CAPITAL INCREASE RESERVED FOR EMPLOYEES UNDER ITS GROUP EMPLOYEE SAVINGS PLANS.SCHNEIDER ELECTRIC - OFFERING IS PROPOSED TO GROUP EMPLOYEES IN FORTY COUNTRIES, INCLUDING FRANCE.SCHNEIDER ELECTRIC - SUBSCRIPTION PERIOD IS EXPECTED TO TAKE PLACE FROM APRIL 20 TO MAY 10, 2021.",4 months ago
Schneider Electric Announces Global Supply Chain Decarbonization Service,"Feb 24 (Reuters) - Schneider Electric SE <SCHN.PA>::SCHNEIDER ELECTRIC ADVANCES CORPORATE CLIMATE ACTION WITH GLOBAL SUPPLY CHAIN DECARBONIZATION SERVICE.SCHNEIDER ELECTRIC ITSELF IS COMMITTED TO A NET-ZERO SUPPLY CHAIN BY 2050.ENHANCED SERVICE WILL HELP CORPORATIONS REDUCE SCOPE 3 EMISSIONS THROUGH A UNIQUE COMBINATION OF MEASUREMENT, STRATEGY, AND SOLUTION IMPLEMENTATION.",4 months ago
Nexans Partners With Schneider Electric On Digital Transformation Program,Feb 17 (Reuters) - Nexans SA <NEXS.PA>::NEXANS PARTNERS WITH SCHNEIDER ELECTRIC ON DIGITAL TRANSFORMATION PROGRAM TO BRING INDUSTRIAL 4.0 TO PLANT OPERATIONS AND AMPLIFY SUSTAINABILITY.PILOT PROGRAM COMMENCED IN 2020 AND WILL REPORT ON RESULTS IN Q4 2021.IT WILL ALSO CONTRIBUTE TO GROUP'S COMMITMENT TO ACHIEVE CARBON NEUTRALITY BY 2030.,4 months ago
