NAME,AGE,POSITION,APPOINTED
Jean-Pascal Tricoire,57,"Chairman Of The Board, Chief Executive Officer, Member Of The Executive Committee",2013
Fred Kindle,61,"Vice Chairman, Lead Independent Director",2020
Hilary Maxson,--,"Chief Financial Officer, Member Of The Executive Committee",2020
Charise Le,--,"Chief Human Resource Officer, Member Of The Executive Committee",2020
Annette Clayton,57,"Executive Vice-President, North America Operations; Member Of The Executive Committee",2019
Philippe Delorme,50,"Executive Vice President, Energy Management, Member Of The Executive Committee",2018
Barbara Frei,50,"Executive Vice President, Chief Executive Officer Europe Operations, Member Of The Executive Committee",--
Peter Herweck,54,"Executive Vice President, Industrial Automation; Member Of The Executive Committee",--
Christel Heydemann,46,"Executive Vice President France Operations, Member Of The Executive Committee",--
Luc Remont,51,"Executive Vice President, International Operations, Member Of The Executive Committee",2017
Mourad Tamoud,49,"Executive Vice President, Global Supply Chain, Member Of The Executive Committee",--
Peter Weckesser,--,"Executive Vice President, Chief Digital Officer, Member Of The Executive Committee",2020
Yin Zheng,49,"Executive Vice President, China Operations, Member Of The Executive Committee",--
Chris Leong,53,"Chief Marketing Officer, Member Of The Executive Committee",2020
Herve Coureil,50,"Chief Governance Officer, Secretary General, Member Of The Executive Committee",2020
Olivier Pascal Blum,50,"Chief Strategy And Sustainability Officer, Member Of The Executive Committee",2020
Emmanuel Lagarrigue,51,"Chief Innovation Officer, Member Of The Executive Board",2020
Rita Felix,38,Director - Employee Shareholders Representative,2020
Xiaoyun Ma,57,Director - Employee Shareholders Representative,2017
Patrick Montier,64,"Director, Employee Representative",2017
Anna Ohlssonleijon,53,Director,2021
Leo Apotheker,67,Independent Director,2020
Cecile Cabanis,49,Independent Director,2015
Willy R. Kissling,76,Independent Director,2001
Linda I. Knoll,61,Independent Director,2014
Jill Lee,58,Independent Director,2020
Fleur Pellerin,47,Independent Director,2018
Anders Erik Runevad,61,Independent Director,2018
Gregory M. Spierkel,64,Independent Director,2015
Lip-Bu Tan,61,Independent Director,2019
