,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"3,919.90","2,889.60","2,669.20","2,565.70","2,213.50"
Cash & Equivalents,57.30,46.80,39.40,55.40,34.70
Short Term Investments,"1,378.40",779.10,729.00,657.10,720.00
Cash and Short Term Investments,"5,355.60","3,715.50","3,437.60","3,278.20","2,968.20"
"Accounts Receivable - Trade, Net","4,822.70","5,404.70","5,211.20","5,124.70","4,041.40"
"Total Receivables, Net","4,899.70","5,496.10","5,320.90","5,261.30","4,180.80"
Total Inventory,483.10,528.00,499.50,455.10,262.70
"Other Current Assets, Total","1,722.10","1,741.30","1,614.00","1,319.50","1,542.60"
Total Current Assets,"12,460.50","11,480.90","10,872.00","10,314.10","8,954.30"
"Property/Plant/Equipment, Total - Gross","16,654.90","19,425.90","17,505.00","16,855.80","16,502.40"
"Accumulated Depreciation, Total","(7,730.90)","(9,129.10)","(8,730.60)","(8,349.70)","(8,222.60)"
"Property/Plant/Equipment, Total - Net","8,924.00","10,296.80","8,774.40","8,506.10","8,279.80"
"Goodwill, Net","4,663.70","5,322.10","5,223.80","5,142.10","3,646.90"
"Intangibles, Net","4,464.80","4,835.70","4,982.10","4,916.30","4,223.00"
Long Term Investments,"2,096.80","2,156.30","2,114.70","2,154.80","2,034.80"
Note Receivable - Long Term,792.80,699.90,706.30,743.50,739.90
"Other Long Term Assets, Total","2,181.60",842.40,879.60,"1,054.00","1,405.30"
Total Assets,"35,584.20","35,634.10","33,552.90","32,830.90","29,284.00"
Accounts Payable,"3,008.90","3,260.70","3,527.20","3,405.70","2,788.70"
Notes Payable/Short Term Debt,"1,831.70","1,812.00","1,570.60","1,389.90","1,609.40"
Current Port. of LT Debt/Capital Leases,"1,304.00","1,019.20","1,188.20",779.80,885.90
"Other Current liabilities, Total","6,651.70","6,006.10","5,378.10","5,344.50","4,753.40"
Total Current Liabilities,"12,796.30","12,098.00","11,664.10","10,919.90","10,037.40"
Long Term Debt,"10,887.50","9,835.90","9,680.90","9,611.00","8,411.60"
Capital Lease Obligations,975.50,"1,159.40",53.40,74.90,150.00
Total Long Term Debt,"11,863.00","10,995.30","9,734.30","9,685.90","8,561.60"
Total Debt,"14,998.70","13,826.50","12,493.10","11,855.60","11,056.90"
Deferred Income Tax,596.20,791.10,649.40,649.60,654.50
Minority Interest,"2,642.80","2,824.80","2,600.80","2,511.40","1,869.90"
"Other Liabilities, Total","2,279.30","2,461.50","2,512.50","2,553.70","2,664.70"
Total Liabilities,"30,177.60","29,170.70","27,161.10","26,320.50","23,788.10"
"Common Stock, Total","2,513.40","2,485.40","2,485.40","2,493.40","2,257.60"
Additional Paid-In Capital,"5,252.10","5,215.20","5,214.40","5,236.40","4,632.30"
Retained Earnings (Accumulated Deficit),"(3,155.30)","(2,511.60)","(2,480.10)","(2,441.50)","(2,287.70)"
Treasury Stock - Common,(2.30),(47.50),(51.80),(77.00),(28.60)
Unrealized Gain (Loss),(420.30),(409.60),(328.40),(228.30),(240.60)
"Other Equity, Total","1,219.00","1,731.50","1,552.30","1,527.40","1,162.90"
Total Equity,"5,406.60","6,463.40","6,391.80","6,510.40","5,495.90"
Total Liabilities & Shareholders' Equity,"35,584.20","35,634.10","33,552.90","32,830.90","29,284.00"
Total Common Shares Outstanding,628.18,618.15,617.83,618.29,562.49
"Tangible Book Value per Share, Common Eq",(5.92),(5.98),(6.17),(5.74),(4.22)
