,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"17,209.00","18,015.30","17,331.10","15,783.00","15,322.00"
Total Revenue,"17,209.00","18,015.30","17,331.10","15,783.00","15,322.00"
"Cost of Revenue, Total","3,436.70","3,720.70","3,648.60","3,032.20","2,995.90"
Gross Profit,"13,772.30","14,294.60","13,682.50","12,750.80","12,326.10"
"Selling/General/Admin. Expenses, Total","4,697.20","4,701.40","4,598.40","4,115.10","3,990.20"
Depreciation/Amortization,"1,493.20","1,532.60","1,210.30","1,133.70","1,111.20"
"Interest Exp.(Inc.),Net-Operating, Total",(3.70),(4.00),4.70,(0.50),(0.30)
Unusual Expense (Income),277.80,(52.50),55.40,110.30,(8.90)
"Other Operating Expenses, Total","6,931.90","6,852.20","6,731.40","6,501.80","6,123.10"
Total Operating Expense,"16,833.10","16,750.40","16,248.80","14,892.60","14,211.20"
Operating Income,375.90,"1,264.90","1,082.30",890.40,"1,110.80"
"Interest Inc.(Exp.),Net-Non-Op., Total",(170.00),(157.00),(185.00),(122.70),(149.80)
"Other, Net",(125.90),(158.70),(87.50),(94.60),(94.70)
Net Income Before Taxes,80.00,949.20,809.80,673.10,866.30
Provision for Income Taxes,154.40,340.00,244.00,157.20,243.50
Net Income After Taxes,(74.40),609.20,565.80,515.90,622.80
Minority Interest,(153.80),(257.50),(230.90),(220.40),(202.50)
Net Income Before Extra. Items,(228.20),351.70,334.90,295.50,420.30
Net Income,(228.20),351.70,334.90,295.50,420.30
Total Adjustments to Net Income,(42.80),(51.90),(44.80),(27.50),(27.50)
Income Available to Com Excl ExtraOrd,(271.00),299.80,290.10,268.00,392.80
Income Available to Com Incl ExtraOrd,(271.00),299.80,290.10,268.00,392.80
Diluted Net Income,(271.00),299.80,290.10,268.00,392.80
Diluted Weighted Average Shares,627.80,618.00,618.00,593.20,561.14
Diluted EPS Excluding ExtraOrd Items,(0.43),0.49,0.47,0.45,0.70
DPS - Common Stock Primary Issue,0.65,0.45,0.65,0.65,0.65
Diluted Normalized EPS,(0.14),0.43,0.53,0.59,0.69
Equity In Affiliates,0.00,--,--,--,--
Dilution Adjustment,0.00,--,--,--,--
