,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,"11,902.00","8,544.00","8,205.00","6,991.00","6,832.00"
Short Term Investments,30.00,53.00,37.00,38.00,35.00
Cash and Short Term Investments,"11,932.00","8,597.00","8,242.00","7,029.00","6,867.00"
"Accounts Receivable - Trade, Net","6,227.00","7,694.00","7,037.00","6,361.00","6,074.00"
"Total Receivables, Net","12,759.00","14,689.00","13,864.00","12,838.00","11,589.00"
Total Inventory,"1,428.00","1,434.00","1,173.00","1,056.00",935.00
"Other Current Assets, Total","5,920.00","5,509.00","5,342.00","5,353.00","5,524.00"
Total Current Assets,"32,039.00","30,229.00","28,621.00","26,276.00","24,915.00"
"Property/Plant/Equipment, Total - Gross","21,729.00","20,998.00","14,874.00","13,416.00","12,966.00"
"Accumulated Depreciation, Total","(11,970.00)","(10,810.00)","(9,514.00)","(8,995.00)","(8,498.00)"
"Property/Plant/Equipment, Total - Net","9,760.00","10,189.00","5,359.00","4,421.00","4,468.00"
"Goodwill, Net","11,619.00","11,647.00","9,792.00","8,600.00","8,113.00"
"Intangibles, Net","32,732.00","34,279.00","27,750.00","26,956.00","27,100.00"
Long Term Investments,"1,986.00","2,028.00","1,775.00","1,668.00","2,386.00"
Note Receivable - Long Term,"1,286.00","1,367.00","1,231.00","1,007.00",--
"Other Long Term Assets, Total","1,743.00","1,420.00",829.00,875.00,949.00
Total Assets,"91,165.00","91,159.00","75,357.00","69,803.00","67,931.00"
Accounts Payable,"8,876.00","8,514.00","8,240.00","8,198.00","7,740.00"
Notes Payable/Short Term Debt,"1,533.00","1,711.00","2,459.00","2,103.00","1,051.00"
Current Port. of LT Debt/Capital Leases,"2,460.00","2,929.00","2,058.00","2,639.00","4,012.00"
"Other Current liabilities, Total","20,599.00","20,353.00","18,291.00","17,089.00","17,012.00"
Total Current Liabilities,"33,468.00","33,507.00","31,048.00","30,029.00","29,815.00"
Long Term Debt,"26,684.00","26,375.00","19,488.00","16,545.00","16,213.00"
Capital Lease Obligations,"1,407.00","1,358.00",123.00,97.00,52.00
Total Long Term Debt,"28,091.00","27,733.00","19,611.00","16,642.00","16,265.00"
Total Debt,"32,084.00","32,373.00","24,128.00","21,384.00","21,328.00"
Deferred Income Tax,"2,606.00","2,701.00","1,676.00","1,735.00","1,910.00"
Minority Interest,"2,161.00","2,604.00",633.00,572.00,541.00
"Other Liabilities, Total","3,976.00","4,176.00","3,204.00","3,014.00","2,935.00"
Total Liabilities,"70,302.00","70,721.00","56,172.00","51,992.00","51,466.00"
"Common Stock, Total","1,471.00","1,513.00","1,494.00","1,478.00","1,473.00"
Additional Paid-In Capital,"11,527.00","10,879.00","10,339.00","9,886.00","9,463.00"
Retained Earnings (Accumulated Deficit),"11,847.00","12,512.00","10,750.00","9,256.00","8,054.00"
Treasury Stock - Common,"(2,111.00)","(3,083.00)","(2,323.00)","(1,751.00)","(1,581.00)"
"Other Equity, Total","(1,871.00)","(1,383.00)","(1,075.00)","(1,058.00)",(944.00)
Total Equity,"20,863.00","20,438.00","19,185.00","17,811.00","16,465.00"
Total Liabilities & Shareholders' Equity,"91,165.00","91,159.00","75,357.00","69,803.00","67,931.00"
Total Common Shares Outstanding,562.06,554.75,554.77,554.90,554.62
"Tangible Book Value per Share, Common Eq",(41.79),(45.95),(33.09),(31.98),(33.80)
