,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-16,31-Dec-15
Cash,"1,559.00","2,052.00","1,551.00","1,529.00","1,232.00"
Short Term Investments,"6,884.00","2,935.00","1,137.00","2,209.00","4,148.00"
Cash and Short Term Investments,"8,443.00","4,987.00","2,688.00","3,284.00","3,738.00"
"Accounts Receivable - Trade, Net","4,597.00","4,813.00","4,967.00","5,107.00","4,935.00"
"Total Receivables, Net","5,627.00","6,105.00","6,347.00","6,712.00","6,523.00"
Total Inventory,"5,362.00","6,200.00","6,252.00","6,050.00","5,875.00"
Prepaid Expenses,386.00,511.00,514.00,372.00,339.00
"Other Current Assets, Total",329.00,0.00,788.00,--,--
Total Current Assets,"20,147.00","17,803.00","16,589.00","16,046.00","16,508.00"
"Property/Plant/Equipment, Total - Gross","33,601.00","35,466.00","34,627.00","31,928.00","31,606.00"
"Accumulated Depreciation, Total","(19,627.00)","(20,805.00)","(20,571.00)","(20,274.00)","(20,019.00)"
"Property/Plant/Equipment, Total - Net","13,974.00","14,661.00","14,056.00","14,334.00","11,654.00"
"Goodwill, Net","10,028.00","10,029.00","9,990.00","10,575.00","10,669.00"
"Intangibles, Net","2,505.00","2,709.00","2,526.00","2,603.00","2,662.00"
Long Term Investments,462.00,"3,095.00","2,126.00",379.00,524.00
"Other Long Term Assets, Total","1,510.00","1,121.00","1,053.00","1,750.00","1,229.00"
Total Assets,"48,626.00","49,983.00","46,960.00","45,687.00","43,767.00"
Accounts Payable,"5,897.00","6,000.00","6,150.00","6,062.00","5,805.00"
Accrued Expenses,"1,631.00","1,660.00","1,658.00","1,731.00","1,501.00"
Notes Payable/Short Term Debt,357.00,224.00,319.00,520.00,415.00
Current Port. of LT Debt/Capital Leases,"2,646.00","2,416.00","2,010.00","1,747.00","1,871.00"
"Other Current liabilities, Total","3,317.00","2,843.00","3,246.00","4,382.00","2,626.00"
Total Current Liabilities,"13,848.00","13,143.00","13,383.00","12,711.00","12,448.00"
Long Term Debt,"10,179.00","10,286.00","9,156.00","7,599.00","6,907.00"
Capital Lease Obligations,"2,442.00","2,552.00","2,392.00","2,388.00",52.00
Total Long Term Debt,"12,621.00","12,838.00","11,548.00","9,987.00","6,959.00"
Total Debt,"15,624.00","15,478.00","13,877.00","12,254.00","9,245.00"
Deferred Income Tax,360.00,448.00,449.00,406.00,363.00
Minority Interest,311.00,364.00,330.00,383.00,375.00
"Other Liabilities, Total","3,594.00","3,774.00","3,559.00","3,974.00","4,857.00"
Total Liabilities,"30,734.00","30,567.00","29,269.00","27,461.00","25,002.00"
"Common Stock, Total","2,131.00","2,179.00","2,186.00","2,214.00","2,221.00"
Additional Paid-In Capital,"5,104.00","5,551.00","5,646.00","5,944.00","6,090.00"
Retained Earnings (Accumulated Deficit),"13,687.00","12,518.00","11,864.00","11,925.00","11,077.00"
Treasury Stock - Common,(125.00),(108.00),(106.00),(123.00),(72.00)
Unrealized Gain (Loss),(48.00),743.00,(124.00),22.00,191.00
"Other Equity, Total","(2,857.00)","(1,467.00)","(1,775.00)","(1,756.00)",(742.00)
Total Equity,"17,892.00","19,416.00","17,691.00","18,226.00","18,765.00"
Total Liabilities & Shareholders' Equity,"48,626.00","49,983.00","46,960.00","45,687.00","43,767.00"
Total Common Shares Outstanding,530.03,542.09,543.88,550.79,553.39
"Tangible Book Value per Share, Common Eq",10.11,12.32,9.51,9.17,9.82
Note Receivable - Long Term,565.00,620.00,521.00,510.00,--
Cash & Equivalents,"3,284.00",--,--,--,--
