TITLE,SUMMARY,DATE
Saint-Gobain Announces New ExCom As Of July 1st,"June 4 (Reuters) - COMPAGNIE DE SAINT GOBAIN SA <SGOB.PA>::NEW EXECUTIVE COMMITTEE AS OF JULY 1ST, 2021.BENOIT BAZIN ANNOUNCES APPOINTMENT OF NEW MANAGEMENT TEAM TO LEAD GROUP'S GROWTH STRATEGY.Further company coverage: SGOB.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",8 days ago
Saint-Gobain Finalizes Sale Of Lapeyre,"June 1 (Reuters) - Compagnie de Saint Gobain SA <SGOB.PA>::FINALIZES THE SALE OF LAPEYRE.TRANSACTION IS PART OF THE GROUP’S EFFORTS TO CONCENTRATE ITS RESOURCES ON STRATEGIC ACTIVITIES.ANNOUNCES THE FINALIZATION OF THE SALE OF LAPEYRE TO MUTARES, A COMPANY LISTED ON THE FRANKFURT STOCK MARKET.",11 days ago
Saint-Gobain Sells Part Of Its Glass Processing Business In Germany,"May 31 (Reuters) - COMPAGNIE DE SAINT GOBAIN SA <SGOB.PA>::SELLS PART OF ITS GLASS PROCESSING BUSINESS IN GERMANY.SALE OF SAINT-GOBAIN GLASSOLUTIONS OBJEKT-CENTER TO GERMAN PRIVATELY-OWNED AEQUITA GROUP BASED IN MUNICH.SALE CONCERNS TWO SITES: DÖRING BERLIN AND RADEBURG, WHICH EMPLOY A TOTAL OF ALMOST 200 PEOPLE AND GENERATED €20 MILLION IN SALES IN 2020.AEQUITA ALREADY PURCHASED THE OPERATIONS OF GLASSOLUTIONS IN THE NETHERLANDS IN 2019.Further company coverage: SGOB.PA. (Gdansk Newsroom). ((gdansk.newsroom@thomsonreuters.com; +48 58 778 51 10;)).",12 days ago
Saint-Gobain Starts New Construction Chemicals Plant In Malaysia,May 25 (Reuters) - Compagnie de Saint Gobain SA <SGOB.PA>::NEW CONSTRUCTION CHEMICALS PLANT IN MALAYSIA.,18 days ago
"Saint-Gobain To Electrify, Increase Production Capacity At Norway Plant","May 24 (Reuters) - Compagnie de Saint Gobain SA <SGOB.PA>::IN NORWAY, SAINT-GOBAIN WILL INCREASE PRODUCTION CAPACITY.INVESTMENT OF APPROXIMATELY €25 MILLION IN ITS PLASTERBOARD PLANT IN FREDRIKSTAD, NORWAY.NEW FACILITY WILL BE OPERATIONAL IN EARLY 2023.PLASTERBOARD PLANT IN FREDRIKSTAD, NORWAY: TO INCREASE ITS PRODUCTION CAPACITY BY ABOUT 40%.THIS ZERO-CARBON PLANT PROJECT COULD BE EXTENDED TO OTHER SAINT-GOBAIN SITES.",19 days ago
Saint-Gobain Enters Into An Agreement To Acquire Chryso,"May 20 (Reuters) - COMPAGNIE DE SAINT GOBAIN SA <SGOB.PA>::SIGNS AGREEMENT TO ACQUIRE CHRYSO.SAINT-GOBAIN WILL FINANCE THIS TRANSACTION IN FULL BY USING THE CASH RESULTING FROM THE DISPOSALS MADE BY THE GROUP.ENTERPRISE VALUE OF €1,020 MILLION REPRESENTS A MULTIPLE OF 12.0X CHRYSO’S LAST TWELVE MONTHS EBITDA OF €85 MILLION AND A MULTIPLE OF 7.6X POST RUN-RATE SYNERGIES OF €50 MILLION IN YEAR 5.",23 days ago
"Saint-Gobain Launches New Plaster Plant In Yangzhou, China","May 17 (Reuters) - Compagnie de Saint Gobain SA <SGOB.PA>::SAINT-GOBAIN STRENGTHENS ITS PRESENCE IN CHINAWITH A NEW PLASTER PLANT IN YANGZHOU.PLANT ANNUAL CAPACITY OF 350,000 TONS.",a month ago
France's Saint-Gobain to buy Romanian group Duraziv,May 17 (Reuters) - French construction materials group Saint-Gobain <SGOB.PA> said on Monday::SAINT-GOBAIN HAS SIGNED AN AGREEMENT FOR THE ACQUISITION OF DURAZIV.ACQUISITION WILL ALLOW SAINT-GOBAIN TO EXPAND ITS RANGE OF INTERIOR AND EXTERIOR FINISHING SOLUTIONS.DEAL WILL ACCELERATE THE GROUP’S MARKET PENETRATION AND HELP IT DRIVE AN IMPROVEMENT IN THE ENERGY EFFICIENCY OF BUILDINGS IN ROMANIA.Further company coverage: SGOB.PA. (Paris newsroom). ((+33 1 49 49 53 29;)).,a month ago
Saint-Gobain Enters Into Exclusive Negotiations To Acquire Panofrance,May 11 (Reuters) - COMPAGNIE DE SAINT GOBAIN SA <SGOB.PA>::ENTERS INTO EXCLUSIVE NEGOTIATIONS WITH CHAUSSON FOR THE ACQUISITION OF PANOFRANCE.PROJECT SHOULD BE FINALIZED DURING THE FOURTH QUARTER OF 2021.,a month ago
Saint-Gobain Q1 Sales Up 14.3% LFL To EUR 10.38 Bln,"April 29 (Reuters) - Compagnie de Saint Gobain SA <SGOB.PA>::RECORD ORGANIC GROWTH IN Q1 2021: UP 14.3% ON Q1 2020 AND UP 9.0% ON Q1 2019.Q1 NEGATIVE CURRENCY IMPACT OF 3.8% AND POSITIVE GROUP STRUCTURE IMPACT OF 0.4% VERSUS Q1 2020.IN Q1, ACCELERATION IN THE PRICE INCREASE TO 2.6% ON Q1 2020 IN A MORE INFLATIONARY COST ENVIRONMENT.THE GROUP CONFIRMS ITS OUTLOOK FOR FULL-YEAR 2021.SAYS IT IS IDEALLY PLACED TO BENEFIT FROM STIMULUS PLANS FOCUSED ON ENERGY TRANSITION ACROSS THE GLOBE.SAYS MEDIUM AND LONG-TERM OUTLOOK ARE ROBUST.DYNAMIC IN MAIN MARKETS PROVED UPBEAT AT THE START OF 2021 – ESPECIALLY RENOVATION IN EUROPE AS WELL AS CONSTRUCTION IN THE AMERICAS AND IN ASIA-PACIFIC.SAINT-GOBAIN SEES IN 2021 IN ASIA-PACIFIC: MARKET GROWTH, WITH CONTINUED GOOD MOMENTUM IN CHINA AND A SHARP REBOUND EXPECTED IN INDIA.SAINT-GOBAIN SAYS ON A REPORTED BASIS, SALES TOTALED €10,379 MILLION.",a month ago
