NAME,AGE,POSITION,APPOINTED
Pierre-Andre De Chalendar,63,"Chairman Of The Board, Chief Executive Officer, Member Of The Senior Management Committee",2010
Sreedhar Natarajan,--,"Chief Financial Officer, Member Of The Executive Committee",2019
Benoit Bazin,52,"Chief Operating Officer, Member Of The Senior Management Committee",2019
Claire Pedini,55,"Senior Vice President Of Human Resources And Digital Transformation, Member Of The Executive Committee",2019
Benoit D'Iribarne,--,"Senior Vice President - Technology And Industrial Performance, Member Of The Executive Committee",2019
Patrick Dupin,56,"Senior Vice President, Chief Executive Officer, Northern Europe Region, Member Of The Executive Committee",2019
Thierry Fournier,46,"Senior Vice President, Chief Executive Officer- Latin America Region, Member Of The Executive Committee",2020
Javier Gimeno,56,"Senior Vice President, Chief Executive Officer, Asia-Pacific Region, Member Of The Executive Committee",2019
Laurent Guillot,51,"Senior Vice President, Chief Executive Officer, High Performance Solutions, Member Of The Executive Committee",2019
Thomas Kinisky,--,"Senior Vice President Innovation And Chairman North America, Member Of The Executive Committee",2019
Mark Rayfield,--,"Senior Vice President, Chief Executive Officer, North America Region, Member Of The Executive Committee",2020
Guillaume Texier,47,"Senior Vice President, Chief Executive Officer - Southern Europe, Middle East, Africa Region, Member Of The Executive Committee",2019
Cordula Gudduschat,--,"Vice President - Marketing And Development, Member Of The Executive Committee",2020
Laurence Pernot,--,"Vice President - Communications, Member Of The Executive Committee",2017
Maud Thuaudet,--,"Vice President - Strategy, Member Of The Executive Committee",2019
Armand Ajdari,--,"Vice President - Research And Development, Member Of The Executive Committee",2017
Antoine Vignial,57,"General Secretary In Charge Of Corporate Social Responsibility, Secretary Of The Board Of Directors, Member Of The Executive Committee",--
Jean-Dominique Senard,67,Lead Independent Director,2012
Lydie Cortes,49,Director - Employee Representative,2018
Sibylle Daunis,46,"Director, Representing Employee Shareholders",2020
Denis Ranque,68,Director,2015
Philippe Henri Pierre Marie Thibaudet,40,Director - Employee Representative,2018
Jean-Francois Cirelli,62,Independent Director,2020
Anne-Marie Idrac,69,Independent Director,2011
Pamela Knapp,62,Independent Director,2013
Agnes Lemarchand,66,Independent Director,2016
Dominique Leroy,56,Independent Director,2017
Gilles Schnepp,62,Independent Director,2009
Philippe Varin,67,Independent Director,2013
Ieda Gomes Yell,64,Independent Director,2016
