,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Due from Banks,"210,254.00","140,479.00","139,154.00","151,550.00","142,763.00"
"Other Earning Assets, Total","704,859.00","671,395.00","630,720.00","629,408.00","699,199.00"
Net Loans,"439,893.00","430,319.00","420,814.00","396,042.00","402,488.00"
"Property/Plant/Equipment, Total - Gross","42,912.00","42,554.00","37,832.00","30,934.00","27,998.00"
"Accumulated Depreciation, Total","(15,320.00)","(14,278.00)","(13,296.00)","(11,498.00)","(10,855.00)"
"Property/Plant/Equipment, Total - Net","27,592.00","28,276.00","24,536.00","24,200.00","19,436.00"
"Goodwill, Net","4,044.00","4,627.00","4,652.00","5,000.00","4,535.00"
"Intangibles, Net","2,484.00","2,363.00","2,198.00","1,717.00","1,622.00"
Long Term Investments,100.00,112.00,249.00,700.00,"1,096.00"
"Other Long Term Assets, Total","4,112.00","9,248.00","18,255.00","6,300.00","9,582.00"
"Other Assets, Total","68,614.00","69,484.00","68,850.00","61,000.00","73,606.00"
Total Assets,"1,461,952.00","1,356,303.00","1,309,428.00","1,274,200.00","1,354,422.00"
Accounts Payable,"19,337.00","24,611.00","22,266.00","19,031.00","20,848.00"
Accrued Expenses,"2,022.00","2,364.00","2,396.00","2,542.00","2,560.00"
Total Deposits,"698,323.00","611,206.00","584,391.00","560,629.00","557,999.00"
Total Short Term Borrowings,"8,571.00","18,045.00","22,767.00","22,656.00","28,791.00"
Current Port. of LT Debt/Capital Leases,9.00,7.00,357.00,"1,670.00",386.00
Long Term Debt,"52,565.00","50,731.00","45,376.00","42,745.00","35,204.00"
Capital Lease Obligations,"2,207.00",--,--,--,--
Total Long Term Debt,"54,772.00","50,731.00","45,376.00","42,745.00","35,204.00"
Total Debt,"63,352.00","68,783.00","68,500.00","67,071.00","64,381.00"
Deferred Income Tax,"1,223.00","1,409.00","1,157.00","1,600.00","1,444.00"
Minority Interest,"5,295.00","5,043.00","4,783.00","4,500.00","3,753.00"
"Other Liabilities, Total","610,716.00","579,360.00","564,909.00","560,399.00","641,484.00"
Total Liabilities,"1,400,268.00","1,292,776.00","1,248,402.00","1,215,772.00","1,292,469.00"
"Common Stock, Total","1,067.00","1,067.00","1,010.00","1,010.00","1,010.00"
Additional Paid-In Capital,"21,465.00","21,417.00","20,403.00","20,344.00","20,277.00"
Retained Earnings (Accumulated Deficit),"31,818.00","32,806.00","32,206.00","30,504.00","29,687.00"
Treasury Stock - Common,(199.00),(515.00),(667.00),(493.00),(371.00)
"Other Equity, Total","7,533.00","8,752.00","8,074.00","7,063.00","11,350.00"
Total Equity,"61,684.00","63,527.00","61,026.00","58,428.00","61,953.00"
Total Liabilities & Shareholders' Equity,"1,461,952.00","1,356,303.00","1,309,428.00","1,274,200.00","1,354,422.00"
Total Common Shares Outstanding,848.68,845.14,788.88,795.69,796.42
"Tangible Book Value per Share, Common Eq",64.99,66.90,68.67,67.15,69.94
