,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"9,714.00","11,227.00","11,299.00","10,984.00","10,045.00"
Total Revenue,"9,714.00","11,227.00","11,299.00","10,984.00","10,045.00"
"Cost of Revenue, Total","7,207.00","8,244.00","8,264.00","7,898.00","7,213.00"
Gross Profit,"2,507.00","2,983.00","3,035.00","3,086.00","2,832.00"
"Selling/General/Admin. Expenses, Total","1,115.00","1,221.00","1,379.00","1,331.00","1,262.00"
Research & Development,211.00,240.00,297.00,235.00,234.00
Depreciation/Amortization,367.00,391.00,197.00,402.00,389.00
"Interest Exp.(Inc.),Net-Operating, Total",(44.00),(80.00),(29.00),(23.00),(72.00)
Unusual Expense (Income),"1,566.00",964.00,272.00,253.00,190.00
"Other Operating Expenses, Total",(43.00),(69.00),(67.00),(88.00),(29.00)
Total Operating Expense,"10,379.00","10,911.00","10,313.00","10,008.00","9,187.00"
Operating Income,(665.00),316.00,986.00,976.00,858.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(103.00),(121.00),(118.00),(157.00),(169.00)
"Other, Net",(76.00),(121.00),(77.00),(141.00),(165.00)
Net Income Before Taxes,(844.00),74.00,791.00,678.00,524.00
Provision for Income Taxes,248.00,153.00,75.00,(197.00),(68.00)
Net Income After Taxes,"(1,092.00)",(79.00),716.00,875.00,592.00
Minority Interest,(33.00),(38.00),(39.00),(56.00),(53.00)
Net Income Before Extra. Items,"(1,125.00)",(117.00),677.00,819.00,539.00
Total Extraordinary Items,163.00,236.00,201.00,241.00,82.00
Net Income,(962.00),119.00,878.00,"1,060.00",621.00
Total Adjustments to Net Income,(119.00),(116.00),(112.00),1.00,--
Income Available to Com Excl ExtraOrd,"(1,244.00)",(233.00),565.00,820.00,539.00
Income Available to Com Incl ExtraOrd,"(1,081.00)",3.00,766.00,"1,061.00",621.00
Diluted Net Income,"(1,081.00)",3.00,766.00,"1,061.00",621.00
Diluted Weighted Average Shares,103.14,103.18,103.74,104.08,103.61
Diluted EPS Excluding ExtraOrd Items,(12.06),(2.26),5.45,7.88,5.20
DPS - Common Stock Primary Issue,2.63,2.63,2.63,2.52,2.42
Diluted Normalized EPS,(2.19),3.81,7.82,9.46,6.39
Dilution Adjustment,0.00,--,--,--,--
