,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash & Equivalents,59.76,28.17,23.98,32.55,34.76
Short Term Investments,10.86,18.77,19.21,12.84,8.27
Cash and Short Term Investments,70.62,46.93,43.19,45.39,43.02
"Accounts Receivable - Trade, Net",256.89,221.25,220.23,211.62,183.95
"Total Receivables, Net",262.95,232.22,233.18,236.08,204.85
Total Inventory,472.31,329.02,252.00,185.60,171.06
"Other Current Assets, Total",69.34,28.06,24.16,23.77,12.80
Total Current Assets,875.22,636.23,552.53,490.85,431.73
"Property/Plant/Equipment, Total - Gross",943.12,803.35,646.52,530.18,441.86
"Accumulated Depreciation, Total",(299.18),(253.39),(210.54),(198.89),(180.40)
"Property/Plant/Equipment, Total - Net",643.95,549.97,435.98,331.30,261.46
"Goodwill, Net",875.16,418.33,384.70,386.05,344.78
"Intangibles, Net",633.52,208.49,177.49,172.91,144.02
Long Term Investments,13.50,14.43,5.64,11.81,2.27
"Other Long Term Assets, Total",27.99,17.93,15.12,11.01,11.59
Total Assets,"3,069.34","1,845.36","1,571.46","1,403.91","1,195.85"
Accounts Payable,174.73,117.10,103.57,77.21,67.99
Accrued Expenses,59.90,40.63,39.34,31.90,28.62
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
Current Port. of LT Debt/Capital Leases,23.84,54.53,91.53,97.59,76.27
"Other Current liabilities, Total",309.22,216.10,147.54,143.75,111.49
Total Current Liabilities,567.69,428.36,381.98,350.44,284.36
Long Term Debt,515.66,40.00,43.13,46.25,9.38
Capital Lease Obligations,47.29,44.07,14.98,15.83,16.68
Total Long Term Debt,562.95,84.07,58.10,62.08,26.05
Total Debt,586.78,138.60,149.64,159.67,102.32
Deferred Income Tax,98.58,45.07,39.15,42.99,28.78
Minority Interest,22.88,30.16,8.48,7.43,5.55
"Other Liabilities, Total",357.20,98.98,47.36,68.94,93.10
Total Liabilities,"1,609.30",686.64,535.06,531.88,437.84
"Common Stock, Total",18.44,18.44,18.44,18.44,18.08
Retained Earnings (Accumulated Deficit),"1,462.72","1,130.92","1,009.97",844.23,721.80
"Other Equity, Total",(21.11),9.36,7.99,9.37,18.12
Total Equity,"1,460.04","1,158.72","1,036.40",872.03,758.01
Total Liabilities & Shareholders' Equity,"3,069.34","1,845.36","1,571.46","1,403.91","1,195.85"
Total Common Shares Outstanding,92.18,92.18,92.18,92.18,92.18
"Tangible Book Value per Share, Common Eq",(0.53),5.77,5.14,3.40,2.92
