,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"1,910.08","1,440.57","1,212.15","1,081.03","1,051.61"
Total Revenue,"1,910.08","1,440.57","1,212.15","1,081.03","1,051.61"
"Cost of Revenue, Total",907.35,692.28,582.59,526.21,524.79
Gross Profit,"1,002.73",748.29,629.56,554.83,526.82
"Selling/General/Admin. Expenses, Total",394.58,319.56,283.78,256.95,242.41
Research & Development,84.45,79.22,60.62,53.21,47.54
"Interest Exp.(Inc.),Net-Operating, Total",(0.93),(0.01),0.01,7.11,(2.25)
Unusual Expense (Income),31.97,16.81,(12.72),22.56,18.08
"Other Operating Expenses, Total",20.85,0.86,(2.35),(6.71),(4.87)
Total Operating Expense,"1,438.27","1,108.73",911.92,859.33,825.70
Operating Income,471.81,331.84,300.23,221.70,225.92
"Interest Inc.(Exp.),Net-Non-Op., Total",(6.09),2.20,(5.94),(4.46),(3.77)
"Other, Net",16.91,(16.62),(9.74),3.38,(9.16)
Net Income Before Taxes,482.63,317.42,284.55,220.61,212.99
Provision for Income Taxes,122.11,81.38,74.59,56.85,57.11
Net Income After Taxes,360.52,236.04,209.96,163.76,155.88
Minority Interest,(2.67),(1.54),(1.91),(2.68),(2.20)
Net Income Before Extra. Items,357.85,234.50,208.05,161.09,153.68
Net Income,357.85,234.50,208.05,161.09,153.68
Total Adjustments to Net Income,(0.00),0.00,--,--,--
Income Available to Com Excl ExtraOrd,357.85,234.50,208.05,161.09,153.68
Income Available to Com Incl ExtraOrd,357.85,234.50,208.05,161.09,153.68
Diluted Net Income,357.85,234.50,208.05,161.09,153.68
Diluted Weighted Average Shares,92.18,92.18,92.18,92.18,92.17
Diluted EPS Excluding ExtraOrd Items,3.88,2.54,2.26,1.75,1.67
DPS - Common Stock Primary Issue,0.68,0.34,0.57,0.46,0.42
Diluted Normalized EPS,4.14,2.82,2.16,1.93,1.81
Dilution Adjustment,0.00,0.00,--,--,--
