,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"86,676.00","108,187.00","110,412.00","105,730.00","105,798.00"
Total Revenue,"86,676.00","108,187.00","110,412.00","105,730.00","105,798.00"
"Cost of Revenue, Total","75,042.00","92,657.00","95,011.00","89,710.00","90,927.00"
Gross Profit,"11,634.00","15,530.00","15,401.00","16,020.00","14,871.00"
"Selling/General/Admin. Expenses, Total","5,279.00","6,395.00","6,570.00","7,058.00","7,388.00"
Research & Development,"1,226.00","1,305.00","1,448.00","1,506.00","1,467.00"
Depreciation/Amortization,"1,250.00","1,358.00","1,456.00","1,294.00","1,357.00"
"Interest Exp.(Inc.),Net-Operating, Total",(177.00),(280.00),(235.00),(475.00),(323.00)
Unusual Expense (Income),"1,722.00","1,747.00","1,004.00",(566.00),250.00
Total Operating Expense,"84,342.00","103,182.00","105,254.00","98,527.00","101,066.00"
Operating Income,"2,334.00","5,005.00","5,158.00","7,203.00","4,732.00"
"Interest Inc.(Exp.),Net-Non-Op., Total",(760.00),(686.00),(774.00),"(1,020.00)","(1,441.00)"
"Other, Net",(218.00),(298.00),(276.00),(304.00),(341.00)
Net Income Before Taxes,"1,356.00","4,021.00","4,108.00","5,879.00","2,950.00"
Provision for Income Taxes,783.00,"1,321.00",708.00,"2,588.00","1,237.00"
Net Income After Taxes,573.00,"2,700.00","3,400.00","3,291.00","1,713.00"
Minority Interest,5.00,(8.00),(24.00),(19.00),(11.00)
Net Income Before Extra. Items,578.00,"2,692.00","3,376.00","3,272.00","1,702.00"
Total Extraordinary Items,(549.00),"3,930.00",232.00,219.00,101.00
Net Income,29.00,"6,622.00","3,608.00","3,491.00","1,803.00"
Income Available to Com Excl ExtraOrd,578.00,"2,692.00","3,376.00","3,272.00","1,702.00"
Income Available to Com Incl ExtraOrd,29.00,"6,622.00","3,608.00","3,491.00","1,803.00"
Diluted Net Income,29.00,"6,622.00","3,608.00","3,491.00","1,803.00"
Diluted Weighted Average Shares,"1,577.31","1,570.85","1,567.84","1,556.31","1,526.38"
Diluted EPS Excluding ExtraOrd Items,0.37,1.71,2.15,2.10,1.12
Diluted Normalized EPS,0.94,2.59,3.15,2.04,1.52
DPS - Common Stock Primary Issue,0.00,0.65,0.00,0.00,0.00
Dilution Adjustment,0.00,0.00,0.00,0.00,--
"Other Operating Expenses, Total",(296.00),--,--,--,--
