,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,696.00,388.00,"1,635.00",226.00,126.00
Depreciation/Depletion,"1,262.00","1,221.00","1,071.00",838.00,841.00
Deferred Taxes,(67.00),(10.00),50.00,33.00,(38.00)
Non-Cash Items,578.00,714.00,(338.00),721.00,177.00
Cash Taxes Paid,138.00,130.00,60.00,52.00,42.00
Cash Interest Paid,12.00,19.00,12.00,12.00,13.00
Changes in Working Capital,(11.00),(116.00),(305.00),154.00,206.00
Cash from Operating Activities,"2,458.00","2,197.00","2,113.00","1,972.00","1,312.00"
Capital Expenditures,"(1,654.00)","(1,535.00)","(1,599.00)","(1,645.00)",(926.00)
"Other Investing Cash Flow Items, Total",(685.00),78.00,101.00,(96.00),(74.00)
Cash from Investing Activities,"(2,339.00)","(1,457.00)","(1,498.00)","(1,741.00)","(1,000.00)"
Financing Cash Flow Items,(6.00),1.00,(4.00),(6.00),(7.00)
Total Cash Dividends Paid,(168.00),(214.00),(216.00),(214.00),(251.00)
"Issuance (Retirement) of Stock, Net",(125.00),(250.00),(62.00),(297.00),0.00
"Issuance (Retirement) of Debt, Net",578.00,77.00,178.00,390.00,(178.00)
Cash from Financing Activities,279.00,(386.00),(104.00),(127.00),(436.00)
Foreign Exchange Effects,1.00,(13.00),(4.00),26.00,(18.00)
Net Change in Cash,399.00,341.00,507.00,130.00,(142.00)
