,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"10,219.00","9,556.00","9,664.00","8,347.00","6,973.00"
Total Revenue,"10,219.00","9,556.00","9,664.00","8,347.00","6,973.00"
"Cost of Revenue, Total","6,705.00","6,158.00","6,078.00","5,278.00","4,664.00"
Gross Profit,"3,514.00","3,398.00","3,586.00","3,069.00","2,309.00"
"Selling/General/Admin. Expenses, Total","1,103.00","1,079.00","1,088.00",978.00,908.00
Research & Development,"1,223.00","1,165.00","1,091.00","1,027.00","1,092.00"
Depreciation/Amortization,65.00,59.00,55.00,50.00,54.00
"Interest Exp.(Inc.),Net-Operating, Total",(34.00),16.00,27.00,(49.00),6.00
Unusual Expense (Income),155.00,178.00,21.00,48.00,77.00
"Other Operating Expenses, Total",(231.00),(134.00),(51.00),(64.00),(99.00)
Total Operating Expense,"8,986.00","8,521.00","8,309.00","7,268.00","6,702.00"
Operating Income,"1,233.00","1,035.00","1,355.00","1,079.00",271.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(460.00),(571.00),357.00,(778.00),(146.00)
"Other, Net",23.00,46.00,48.00,42.00,28.00
Net Income Before Taxes,796.00,510.00,"1,760.00",343.00,153.00
Provision for Income Taxes,100.00,122.00,125.00,117.00,27.00
Net Income After Taxes,696.00,388.00,"1,635.00",226.00,126.00
Minority Interest,(2.00),(1.00),(6.00),(8.00),(5.00)
Net Income Before Extra. Items,694.00,387.00,"1,629.00",218.00,121.00
Net Income,694.00,387.00,"1,629.00",218.00,121.00
Income Available to Com Excl ExtraOrd,694.00,387.00,"1,629.00",218.00,121.00
Income Available to Com Incl ExtraOrd,694.00,387.00,"1,629.00",218.00,121.00
Dilution Adjustment,(2.60),0.00,0.00,--,--
Diluted Net Income,691.40,387.00,"1,629.00",218.00,121.00
Diluted Weighted Average Shares,909.73,901.96,906.78,904.84,888.52
Diluted EPS Excluding ExtraOrd Items,0.76,0.43,1.80,0.24,0.14
DPS - Common Stock Primary Issue,0.24,0.17,0.24,0.24,0.24
Diluted Normalized EPS,0.92,0.58,1.84,0.31,0.28
