,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"16,988.90","18,401.00","15,854.70","15,227.50","14,884.80"
Total Revenue,"16,988.90","18,401.00","15,854.70","15,227.50","14,884.80"
"Cost of Revenue, Total","13,053.70","13,877.30","11,767.50","11,516.70","11,274.60"
Gross Profit,"3,935.20","4,523.70","4,087.20","3,710.80","3,610.20"
"Selling/General/Admin. Expenses, Total","1,919.30","2,019.60","1,651.90","1,619.00","1,568.90"
Research & Development,"1,024.70","1,098.50",881.40,802.20,736.10
"Interest Exp.(Inc.),Net-Operating, Total",(94.40),(355.90),(157.10),(138.90),(320.10)
Unusual Expense (Income),317.10,117.50,133.70,181.60,97.30
Total Operating Expense,"16,220.40","16,757.00","14,380.20","14,093.60","13,464.10"
Operating Income,768.50,"1,644.00","1,474.50","1,133.90","1,420.70"
"Interest Inc.(Exp.),Net-Non-Op., Total",(133.50),(124.10),(81.10),(93.20),(69.50)
"Other, Net",(52.80),(72.50),(51.30),(66.60),(81.00)
Net Income Before Taxes,582.20,"1,447.40","1,342.10",974.10,"1,270.20"
Provision for Income Taxes,90.30,301.00,314.20,236.70,255.60
Net Income After Taxes,491.90,"1,146.40","1,027.90",737.40,"1,014.60"
Minority Interest,(8.50),(24.50),(46.10),(57.60),(68.20)
Net Income Before Extra. Items,483.40,"1,121.90",981.80,679.80,946.40
Net Income,483.40,"1,121.90",981.80,679.80,946.40
Income Available to Com Excl ExtraOrd,483.40,"1,121.90",981.80,679.80,946.40
Income Available to Com Incl ExtraOrd,483.40,"1,121.90",981.80,679.80,946.40
Diluted Net Income,483.40,"1,121.90",981.80,679.80,946.40
Diluted Weighted Average Shares,212.89,213.09,213.33,213.24,213.31
Diluted EPS Excluding ExtraOrd Items,2.27,5.26,4.60,3.19,4.44
DPS - Common Stock Primary Issue,1.76,0.60,2.08,1.75,1.60
Diluted Normalized EPS,3.53,5.70,5.08,3.83,4.80
Depreciation/Amortization,102.80,113.00,107.30,111.60,--
Dilution Adjustment,0.00,0.00,--,--,--
