,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,905.00,393.00,300.00,253.00,275.00
Cash & Equivalents,91.00,25.00,36.00,32.00,7.00
Short Term Investments,17.00,17.00,12.00,9.00,24.00
Cash and Short Term Investments,"1,013.00",435.00,348.00,294.00,306.00
"Accounts Receivable - Trade, Net","1,307.00","1,223.00","1,048.00",896.00,871.00
"Total Receivables, Net","1,550.00","1,512.00","1,320.00","1,030.00",974.00
Prepaid Expenses,60.00,63.00,62.00,41.00,43.00
"Other Current Assets, Total",57.00,39.00,32.00,9.00,3.00
Total Current Assets,"2,680.00","2,049.00","1,762.00","1,374.00","1,323.00"
"Property/Plant/Equipment, Total - Gross","2,623.00","2,334.00","1,414.00","1,226.00","1,251.00"
"Accumulated Depreciation, Total","(1,434.00)","(1,067.00)",(917.00),(803.00),(775.00)
"Property/Plant/Equipment, Total - Net","1,189.00","1,267.00",497.00,423.00,476.00
"Goodwill, Net","2,106.00","2,340.00","2,304.00","1,676.00","1,938.00"
"Intangibles, Net",951.00,"1,142.00","1,231.00",946.00,"1,172.00"
Long Term Investments,53.00,57.00,59.00,43.00,55.00
"Other Long Term Assets, Total",45.00,35.00,35.00,28.00,31.00
Total Assets,"7,024.00","6,890.00","5,888.00","4,490.00","4,995.00"
Accounts Payable,227.00,173.00,147.00,141.00,126.00
Accrued Expenses,347.00,270.00,291.00,230.00,216.00
Notes Payable/Short Term Debt,3.00,9.00,3.00,2.00,3.00
Current Port. of LT Debt/Capital Leases,559.00,427.00,83.00,116.00,218.00
"Other Current liabilities, Total",505.00,490.00,587.00,443.00,366.00
Total Current Liabilities,"1,641.00","1,369.00","1,111.00",932.00,929.00
Long Term Debt,"2,196.00","2,083.00","2,224.00","1,387.00","1,688.00"
Capital Lease Obligations,512.00,564.00,1.00,--,--
Total Long Term Debt,"2,708.00","2,647.00","2,224.00","1,387.00","1,688.00"
Total Debt,"3,270.00","3,083.00","2,310.00","1,505.00","1,909.00"
Deferred Income Tax,236.00,278.00,306.00,234.00,444.00
Minority Interest,0.00,1.00,8.00,12.00,10.00
"Other Liabilities, Total",30.00,27.00,22.00,15.00,13.00
Total Liabilities,"4,615.00","4,322.00","3,671.00","2,580.00","3,084.00"
"Common Stock, Total",147.00,147.00,144.00,144.00,144.00
Additional Paid-In Capital,575.00,575.00,575.00,575.00,575.00
Retained Earnings (Accumulated Deficit),"2,043.00","1,823.00","1,547.00","1,356.00","1,099.00"
"Other Equity, Total",(356.00),23.00,(49.00),(165.00),93.00
Total Equity,"2,409.00","2,568.00","2,217.00","1,910.00","1,911.00"
Total Liabilities & Shareholders' Equity,"7,024.00","6,890.00","5,888.00","4,490.00","4,995.00"
Total Common Shares Outstanding,58.72,58.71,57.56,57.75,57.77
"Tangible Book Value per Share, Common Eq",(11.04),(15.57),(22.90),(12.33),(20.76)
Note Receivable - Long Term,0.00,--,--,--,--
