,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"5,732.00","5,355.00","4,441.00","4,180.00","3,649.00"
Total Revenue,"5,732.00","5,355.00","4,441.00","4,180.00","3,649.00"
"Selling/General/Admin. Expenses, Total","4,111.00","3,736.00","3,278.00","3,076.00","2,738.00"
Depreciation/Amortization,497.00,483.00,247.00,251.00,191.00
Unusual Expense (Income),68.70,2.00,0.00,67.00,--
"Other Operating Expenses, Total",500.30,513.00,431.00,431.00,381.00
Total Operating Expense,"5,177.00","4,734.00","3,956.00","3,825.00","3,310.00"
Operating Income,555.00,621.00,485.00,355.00,339.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(80.00),(86.00),(45.00),(39.00),(23.00)
"Other, Net",(8.00),(4.00),(5.00),(11.00),(16.00)
Net Income Before Taxes,467.00,531.00,435.00,305.00,300.00
Provision for Income Taxes,143.00,131.00,122.00,(9.00),83.00
Net Income After Taxes,324.00,400.00,313.00,314.00,217.00
Net Income Before Extra. Items,324.00,400.00,312.00,312.00,214.00
Net Income,324.00,400.00,312.00,312.00,214.00
Income Available to Com Excl ExtraOrd,324.00,400.00,312.00,312.00,214.00
Income Available to Com Incl ExtraOrd,324.00,400.00,312.00,312.00,214.00
Diluted Net Income,324.00,400.00,312.00,312.00,213.66
Diluted Weighted Average Shares,58.72,58.73,58.89,58.75,58.22
Diluted EPS Excluding ExtraOrd Items,5.52,6.81,5.30,5.31,3.67
DPS - Common Stock Primary Issue,2.40,2.40,1.90,1.85,1.30
Diluted Normalized EPS,6.33,6.84,5.30,6.05,3.67
Minority Interest,(1.00),(2.00),(3.00),(3.00),--
Dilution Adjustment,(0.34),(0.01),--,--,--
