,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"119,704.00","176,249.00","184,106.00","149,099.00","127,925.00"
Total Revenue,"119,704.00","176,249.00","184,106.00","149,099.00","127,925.00"
"Cost of Revenue, Total","76,046.00","115,775.00","126,411.00","99,693.00","84,029.00"
Gross Profit,"43,658.00","60,474.00","57,695.00","49,406.00","43,896.00"
Research & Development,"1,626.00","1,753.00","1,783.00",864.00,"1,264.00"
Depreciation/Amortization,"13,655.00","15,077.00","12,443.00","16,295.00","11,544.00"
"Interest Exp.(Inc.),Net-Operating, Total",(426.00),225.00,192.00,(785.00),(548.00)
Unusual Expense (Income),"9,210.00",957.00,505.00,"(2,644.00)","1,587.00"
"Other Operating Expenses, Total","25,216.00","26,249.00","26,190.00","25,144.00","24,318.00"
Total Operating Expense,"125,327.00","160,036.00","167,524.00","138,567.00","122,194.00"
Operating Income,"(5,623.00)","16,213.00","16,582.00","10,532.00","5,731.00"
"Interest Inc.(Exp.),Net-Non-Op., Total","(1,350.00)","1,474.00","1,739.00","1,108.00","1,757.00"
"Other, Net",(45.00),(377.00),(255.00),(312.00),(312.00)
Net Income Before Taxes,"(7,018.00)","17,310.00","18,066.00","11,328.00","7,176.00"
Provision for Income Taxes,318.00,"5,872.00","6,516.00","3,029.00",970.00
Net Income After Taxes,"(7,336.00)","11,438.00","11,550.00","8,299.00","6,206.00"
Minority Interest,94.00,(171.00),(104.00),332.00,(10.00)
Net Income Before Extra. Items,"(7,242.00)","11,267.00","11,446.00","8,631.00","6,196.00"
Net Income,"(7,242.00)","11,267.00","11,446.00","8,631.00","6,196.00"
Total Adjustments to Net Income,(308.00),(353.00),(315.00),(302.00),(203.00)
Income Available to Com Excl ExtraOrd,"(7,550.00)","10,914.00","11,131.00","8,329.00","5,993.00"
Income Available to Com Incl ExtraOrd,"(7,550.00)","10,914.00","11,131.00","8,329.00","5,993.00"
Diluted Net Income,"(7,550.00)","10,914.00","11,131.00","8,329.00","5,993.00"
Diluted Weighted Average Shares,"2,602.03","2,618.01","2,623.72","2,494.76","2,389.71"
Diluted EPS Excluding ExtraOrd Items,(2.90),4.17,4.24,3.34,2.51
DPS - Common Stock Primary Issue,3.22,3.00,2.94,2.98,2.58
Diluted Normalized EPS,1.01,4.61,4.06,2.77,3.49
Dilution Adjustment,0.00,0.00,0.00,--,--
