,31-Mar-21,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17
Cash & Equivalents,"1,627.70",4.24,4.98,10.89,11.76
Short Term Investments,239.90,0.45,0.18,8.32,0.00
Cash and Short Term Investments,"1,867.60","1,079.65","1,049.99",755.26,852.70
"Accounts Receivable - Trade, Net",342.70,307.06,476.64,435.57,405.56
"Total Receivables, Net",649.00,434.62,572.28,643.53,556.88
Total Inventory,23.10,12.45,31.88,20.26,25.36
"Other Current Assets, Total",0.10,(0.00),1.13,13.78,--
Total Current Assets,"2,539.80","1,567.65","1,778.05","1,458.36","1,464.18"
"Property/Plant/Equipment, Total - Net",481.90,404.30,159.96,114.12,106.38
"Goodwill, Net",220.70,334.56,290.72,259.46,180.74
"Intangibles, Net","1,453.20","1,115.28",882.93,782.40,736.47
Long Term Investments,16.10,13.55,8.54,106.61,5.41
"Other Long Term Assets, Total",173.10,169.34,168.44,84.18,88.83
Total Assets,"4,884.80","3,604.84","3,288.76","2,805.12","2,582.00"
Accounts Payable,152.00,139.21,188.79,176.61,178.28
Accrued Expenses,0.50,152.86,217.85,219.43,157.05
Notes Payable/Short Term Debt,62.10,91.65,170.71,163.12,219.90
Current Port. of LT Debt/Capital Leases,137.40,154.36,282.02,197.80,72.05
"Other Current liabilities, Total",753.50,380.86,474.26,115.79,94.10
Total Current Liabilities,"1,105.50",918.94,"1,333.62",872.75,721.38
Long Term Debt,"1,627.30",974.41,879.56,921.54,631.71
Capital Lease Obligations,267.60,201.79,10.80,12.09,9.00
Total Long Term Debt,"1,894.90","1,176.20",890.37,933.63,640.71
Total Debt,"2,094.40","1,422.20","1,343.10","1,294.55",932.65
Deferred Income Tax,158.50,109.53,127.90,96.05,72.77
Minority Interest,9.30,7.19,--,--,--
"Other Liabilities, Total",60.90,78.43,16.85,13.36,13.33
Total Liabilities,"3,229.10","2,290.29","2,368.74","1,915.79","1,448.18"
"Common Stock, Total",9.60,9.37,8.65,8.65,8.75
Additional Paid-In Capital,556.00,863.55,335.76,234.12,280.98
Retained Earnings (Accumulated Deficit),"1,090.20",441.63,575.61,646.55,844.09
"Other Equity, Total",(0.10),0.00,--,--,--
Total Equity,"1,655.70","1,314.55",920.02,889.33,"1,133.82"
Total Liabilities & Shareholders' Equity,"4,884.80","3,604.84","3,288.76","2,805.12","2,582.00"
Total Common Shares Outstanding,123.09,120.91,110.05,110.06,108.88
"Tangible Book Value per Share, Common Eq",(0.15),(1.12),(2.30),(1.39),1.99
Cash,"1,074.95","1,044.83",736.05,840.94,422.12
Prepaid Expenses,40.93,123.90,39.31,28.11,22.68
"Property/Plant/Equipment, Total - Gross",634.09,364.40,266.83,244.51,214.50
"Accumulated Depreciation, Total",(229.79),(204.44),(152.71),(138.13),(130.56)
Note Receivable - Long Term,0.17,0.13,--,--,--
