,31-Mar-21,31-Mar-20,31-Mar-19,31-Mar-18,31-Mar-17
Revenue,"2,223.80","1,594.83","1,845.52","1,731.89","1,459.87"
Total Revenue,"2,223.80","1,594.83","1,845.52","1,731.89","1,459.87"
"Cost of Revenue, Total",325.70,253.08,328.97,296.82,270.89
Gross Profit,"1,898.10","1,341.75","1,516.55","1,435.07","1,188.99"
"Selling/General/Admin. Expenses, Total",627.70,549.48,537.01,468.80,423.11
Research & Development,322.50,232.14,235.71,193.79,110.99
Depreciation/Amortization,548.10,518.83,535.62,511.93,453.98
Unusual Expense (Income),110.40,100.81,49.23,38.24,25.09
Total Operating Expense,"1,934.40","1,654.33","1,686.54","1,509.58","1,284.06"
Operating Income,289.40,(59.50),158.99,222.32,175.81
"Interest Inc.(Exp.),Net-Non-Op., Total",(25.60),(17.72),(23.16),(21.88),(13.10)
"Other, Net",(26.00),(1.34),12.57,8.26,(3.10)
Net Income Before Taxes,237.80,(78.56),148.40,208.69,159.61
Provision for Income Taxes,132.60,45.69,48.42,69.24,51.46
Net Income After Taxes,105.20,(124.24),99.98,139.45,108.15
Minority Interest,(2.10),(1.38),--,--,--
Net Income Before Extra. Items,103.10,(125.62),99.98,139.45,107.81
Net Income,103.10,(125.62),99.98,139.45,107.81
Income Available to Com Excl ExtraOrd,103.10,(125.62),99.99,139.45,107.81
Income Available to Com Incl ExtraOrd,103.10,(125.62),99.99,139.45,107.81
Dilution Adjustment,4.24,2.29,--,--,--
Diluted Net Income,107.34,(125.62),99.99,139.45,110.10
Diluted Weighted Average Shares,126.29,112.05,119.33,122.44,119.68
Diluted EPS Excluding ExtraOrd Items,0.85,(1.12),0.84,1.14,0.92
Diluted Normalized EPS,1.24,(0.54),1.12,1.35,1.06
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Total Adjustments to Net Income,0.00,(0.00),--,--,--
"Other Operating Expenses, Total",0.00,--,--,--,--
Equity In Affiliates,(0.34),--,--,--,--
