,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"2,646.10","3,380.90","2,734.00","2,078.40","1,770.30"
Total Revenue,"2,646.10","3,380.90","2,734.00","2,078.40","1,770.30"
"Cost of Revenue, Total","1,159.50","1,255.50",748.30,415.90,416.90
Gross Profit,"1,486.60","2,125.40","1,985.70","1,662.50","1,353.40"
"Selling/General/Admin. Expenses, Total",207.40,191.50,141.50,117.30,116.80
Research & Development,2.60,17.40,2.10,3.60,5.90
Depreciation/Amortization,2.10,2.00,1.90,2.20,2.20
"Interest Exp.(Inc.),Net-Operating, Total","4,923.60","1,033.80",(145.30),"(1,438.20)","(2,102.00)"
Unusual Expense (Income),"1,679.50",53.60,274.30,72.30,1.90
"Other Operating Expenses, Total",(0.10),(261.30),(293.50),--,--
Total Operating Expense,"7,974.60","2,553.80","1,022.80",(826.90),"(1,819.60)"
Operating Income,"(5,328.50)",827.10,"1,711.20","2,905.30","3,589.90"
"Interest Inc.(Exp.),Net-Non-Op., Total","(2,787.10)",(963.40),(471.10),(197.10),(552.30)
"Other, Net",159.70,176.40,116.40,88.50,63.00
Net Income Before Taxes,"(7,955.90)",40.10,"1,356.50","2,796.70","3,100.60"
Provision for Income Taxes,(281.10),"(1,065.40)",113.60,74.20,283.20
Net Income After Taxes,"(7,674.80)","1,105.50","1,242.90","2,722.50","2,817.40"
Minority Interest,462.20,(2.20),(211.70),(283.00),(408.40)
Net Income Before Extra. Items,"(7,212.60)","1,103.30","1,031.20","2,439.50","2,409.00"
Net Income,"(7,212.60)","1,103.30","1,031.20","2,439.50","2,409.00"
Total Adjustments to Net Income,(48.10),(48.10),(13.40),--,--
Income Available to Com Excl ExtraOrd,"(7,260.70)","1,055.20","1,017.80","2,439.50","2,409.00"
Income Available to Com Incl ExtraOrd,"(7,260.70)","1,055.20","1,017.80","2,439.50","2,409.00"
Diluted Net Income,"(7,260.70)","1,055.20","1,017.80","2,439.50","2,372.00"
Diluted Weighted Average Shares,138.44,140.47,126.03,103.16,102.76
Diluted EPS Excluding ExtraOrd Items,(52.45),7.51,8.08,23.65,23.08
DPS - Common Stock Primary Issue,0.00,5.40,10.80,10.80,10.20
Diluted Normalized EPS,(44.36),8.02,9.80,24.82,23.25
Dilution Adjustment,(37.00),13.29,--,--,--
