NAME,AGE,POSITION,APPOINTED
Leon Bressler,73,Independent Chairman Of The Supervisory Board,2020
Jean-Marie Tritant,53,"Chairman Of The Management Board, Chief Executive Officer",2021
Cecile Cabanis,49,Independent Vice Chairman Of The Supervisory Board,2021
Fabrice Mouchel,51,"Chief Financial Officer, Member Of The Management Board",2021
Astrid Panosyan,49,"Chief Resource Officer, Member Of The Management Board",2021
Olivier Bossard,56,"Chief Investment Officer, Member Of The Management Board",2021
Michel Dessolain,65,Chief Customer Officer,2021
Julie Avrane-Chopard,49,Independent Member Of The Supervisory Board,2020
Susana Gallardo,56,Independent Member Of The Supervisory Board,2020
Dagmar P. Kollmann,56,Independent Member Of The Supervisory Board,2014
John Mcfarlane,73,Independent Member Of The Supervisory Board,2018
Roderick M.S.M. Munsters,57,Independent Member Of The Supervisory Board,2017
Xavier Niel,53,Independent Member Of The Supervisory Board,2020
Catherine Pourre,64,Member Of The Supervisory Board,2021
