,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,314.00,339.00,438.00,389.00,285.00
Cash & Equivalents,662.00,"1,791.00","3,355.00","1,562.00","3,787.00"
Short Term Investments,135.00,255.00,"1,090.00",138.00,"1,102.00"
Cash and Short Term Investments,"1,111.00","2,385.00","4,883.00","2,089.00","5,174.00"
"Accounts Receivable - Trade, Net","5,482.00","5,661.00","5,311.00","5,208.00","1,177.00"
"Total Receivables, Net","5,610.00","6,035.00","5,446.00","5,614.00","2,809.00"
Total Inventory,366.00,277.00,206.00,177.00,123.00
"Other Current Assets, Total","1,346.00","1,423.00","1,346.00","1,160.00","1,054.00"
Total Current Assets,"8,433.00","10,120.00","11,881.00","9,040.00","9,160.00"
"Property/Plant/Equipment, Total - Net","2,193.00","2,342.00","2,098.00",930.00,671.00
"Goodwill, Net","14,183.00","14,690.00","12,438.00","12,084.00","10,987.00"
"Intangibles, Net","4,749.00","3,629.00","2,631.00",440.00,"2,479.00"
Long Term Investments,"7,789.00","5,752.00","5,476.00","8,966.00","8,245.00"
"Other Long Term Assets, Total",775.00,813.00,757.00,"2,776.00",823.00
Total Assets,"38,122.00","37,346.00","35,281.00","34,236.00","32,365.00"
Accounts Payable,"4,498.00","5,057.00","4,874.00","9,019.00","2,273.00"
Accrued Expenses,16.00,17.00,17.00,18.00,36.00
Notes Payable/Short Term Debt,981.00,888.00,98.00,75.00,177.00
Current Port. of LT Debt/Capital Leases,"1,444.00","1,102.00",933.00,141.00,779.00
"Other Current liabilities, Total","6,369.00","5,977.00","5,207.00",627.00,"3,874.00"
Total Current Liabilities,"13,308.00","13,041.00","11,129.00","9,880.00","7,139.00"
Long Term Debt,"4,153.00","5,155.00","3,435.00","4,170.00","2,856.00"
Capital Lease Obligations,"1,070.00","1,223.00","1,122.00",--,--
Total Long Term Debt,"5,223.00","6,378.00","4,557.00","4,170.00","2,856.00"
Total Debt,"7,648.00","8,368.00","5,588.00","4,386.00","3,812.00"
Deferred Income Tax,"1,166.00","1,037.00","1,076.00",589.00,726.00
Minority Interest,672.00,222.00,220.00,222.00,229.00
"Other Liabilities, Total","1,994.00","1,315.00","1,107.00","1,741.00","2,032.00"
Total Liabilities,"22,363.00","21,993.00","18,089.00","16,602.00","12,982.00"
"Common Stock, Total","6,523.00","6,515.00","7,184.00","7,128.00","7,079.00"
Additional Paid-In Capital,"2,368.00","2,353.00","4,475.00","4,341.00","4,238.00"
Retained Earnings (Accumulated Deficit),"9,309.00","7,179.00","6,182.00","6,835.00","8,539.00"
Treasury Stock - Common,"(2,441.00)",(694.00),(649.00),(670.00),(473.00)
Total Equity,"15,759.00","15,353.00","17,192.00","17,634.00","19,383.00"
Total Liabilities & Shareholders' Equity,"38,122.00","37,346.00","35,281.00","34,236.00","32,365.00"
Total Common Shares Outstanding,"1,092.83","1,170.58","1,267.97","1,256.65","1,259.47"
"Tangible Book Value per Share, Common Eq",(2.90),(2.53),1.67,4.07,4.70
