,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,550.00","1,671.00","1,619.00","1,254.00",668.00
Short Term Investments,"1,416.00",106.00,745.00,"1,208.00","1,711.00"
Cash and Short Term Investments,"2,966.00","1,777.00","2,364.00","2,462.00","2,379.00"
"Accounts Receivable - Trade, Net","2,676.00","2,824.00","2,783.00","2,906.00","2,462.00"
"Total Receivables, Net","3,214.00","3,312.00","3,339.00","3,432.00","2,927.00"
Total Inventory,"1,582.00","1,896.00","1,906.00","1,706.00","1,393.00"
"Other Current Assets, Total",105.00,13.00,6.00,55.00,0.00
Total Current Assets,"7,867.00","6,998.00","7,615.00","7,655.00","6,699.00"
"Property/Plant/Equipment, Total - Gross","14,345.00","14,320.00","12,854.00","11,745.00","9,388.00"
"Accumulated Depreciation, Total","(9,426.00)","(8,974.00)","(8,233.00)","(7,635.00)","(6,644.00)"
"Property/Plant/Equipment, Total - Net","4,919.00","5,346.00","4,621.00","4,110.00","3,063.00"
"Goodwill, Net","2,512.00","2,571.00","2,550.00","2,512.00","1,944.00"
"Intangibles, Net","2,341.00","2,694.00","2,419.00","2,042.00","1,372.00"
Long Term Investments,372.00,421.00,425.00,672.00,684.00
Note Receivable - Long Term,327.00,344.00,295.00,78.00,--
"Other Long Term Assets, Total",509.00,539.00,547.00,492.00,625.00
Total Assets,"18,847.00","18,913.00","18,472.00","17,561.00","14,387.00"
Accounts Payable,"4,697.00","4,762.00","4,475.00","4,395.00","3,885.00"
Accrued Expenses,45.00,46.00,39.00,40.00,--
Notes Payable/Short Term Debt,"1,637.00",269.00,900.00,664.00,542.00
Current Port. of LT Debt/Capital Leases,577.00,147.00,395.00,383.00,225.00
"Other Current liabilities, Total","2,352.00","2,089.00","2,233.00","2,029.00","1,726.00"
Total Current Liabilities,"9,308.00","7,313.00","8,042.00","7,471.00","6,378.00"
Long Term Debt,"3,565.00","4,064.00","3,445.00","3,227.00","2,185.00"
Capital Lease Obligations,304.00,353.00,21.00,8.00,--
Total Long Term Debt,"3,869.00","4,417.00","3,466.00","3,227.00","2,185.00"
Total Debt,"6,083.00","4,833.00","4,761.00","4,274.00","2,952.00"
Deferred Income Tax,67.00,76.00,89.00,119.00,66.00
Minority Interest,756.00,835.00,807.00,719.00,236.00
"Other Liabilities, Total","1,621.00","1,643.00","1,497.00","1,638.00","1,405.00"
Total Liabilities,"15,621.00","14,284.00","13,901.00","13,174.00","10,270.00"
"Common Stock, Total",242.00,241.00,240.00,240.00,239.00
Additional Paid-In Capital,"1,545.00","1,531.00","1,513.00","1,487.00","1,462.00"
Retained Earnings (Accumulated Deficit),"1,710.00","2,786.00","2,801.00","2,696.00","2,134.00"
"Other Equity, Total",(271.00),71.00,17.00,(36.00),282.00
Total Equity,"3,226.00","4,629.00","4,571.00","4,387.00","4,117.00"
Total Liabilities & Shareholders' Equity,"18,847.00","18,913.00","18,472.00","17,561.00","14,387.00"
Total Common Shares Outstanding,240.25,239.03,237.29,237.92,237.90
"Tangible Book Value per Share, Common Eq",(6.77),(2.66),(1.68),(0.70),3.37
