NAME,AGE,POSITION,APPOINTED
Jacques Aschenbroich,66,"Chairman Of The Board, Chief Executive Officer",2016
Christophe Perillat,55,"Deputy Chief Executive Officer, Chief Operating Officer",2021
Robert Charvier,--,Chief Financial Officer,2010
Burak Akin,--,Director - Turkey,--
Francoise Colpron,--,Director - North America,--
Mauro Dias,--,Director - South America,--
Xavier Dupont,--,"President, Powertrain Systems Business Group",2015
Jayakumar G,--,Director - India,--
David Gstalder,--,Director - Poland,--
Andreas Heinrich,--,Director - Germany,2019
Sung-Ho Kim,--,Director - South Korea,--
Francois Marion,--,Director - China,2017
Maurizio Martinelli,60,"President, Visibility Systems Business Group, Director - Italy",2014
Francisco Moreno,--,"President, Thermal Systems Business Group",2017
Ali Ordoobadi,60,Director - Japan & ASEAN,2018
Jean-Claude Petit,--,Director - Russia,--
Manuel Sanchez-Gijon,--,Director - Espagne,2019
Eric Schuler,--,"President, Valeo Service Activity",2016
Mark Vrecko,--,"President, Comfort & Driving Assistance Systems Business Group",2011
Geoffrey Bouquot,--,"Vice-President, Corporate Strategy And External Relations, Senior Vice-President, Research & Development And Product Marketing",2020
Hans-Peter Kunze,--,Senior Vice President Of Sales And Business Development,2020
Bruno Guillemet,--,"Senior Vice-President, Human Resources",2015
Catherine Delhaye,--,Chief Ethics And Compliance Officer,2012
Fabienne De Brebisson,--,"Vice-President, Communications",2011
Eric Antoine Fredette,--,General Counsel And General Secretary,2015
Gilles Michel,65,Lead Independent Director,2019
Julie Avrane-Chopard,49,Director - Reprensentative Of Fonds Stratégique De Participations,--
Eric Chauvirey,46,"Director, Representing Employees",2017
Grzegorz Szelag,43,Director Representing Employees,2020
Bruno Bezard,58,Independent Director,2017
Fonds Strategique De Participations,--,Independent Director,2020
Caroline Maury Devine,69,Independent Director,2015
Stephanie Frachet,43,Independent Director,2019
Marie-Noelle Jego-Laveissiere,53,Independent Director,2016
Thierry Moulonguet,70,Independent Director,2011
Bpifrance Participations,43,Independent Director,2019
Olivier Piou,62,Independent Director,2019
Patrick G. Sayer,63,Independent Director,2019
Ulrike Steinhorst,69,Independent Director,2011
Veronique Weill,61,Independent Director,2016
