,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Cash,"1,380.00",499.70,212.20,355.70,371.20
Cash & Equivalents,1.40,0.80,0.60,0.10,2.80
Short Term Investments,2.20,0.40,0.40,0.40,0.30
Cash and Short Term Investments,"1,383.60",500.90,213.20,356.20,374.30
"Accounts Receivable - Trade, Net",894.90,425.40,362.70,317.50,297.00
"Total Receivables, Net","3,005.20","1,646.90","1,632.20",702.10,602.30
Total Inventory,131.40,41.20,35.00,19.70,17.70
Prepaid Expenses,85.90,50.60,60.60,60.90,60.10
Total Current Assets,"4,606.10","2,239.70","1,940.90","1,138.90","1,054.50"
"Property/Plant/Equipment, Total - Gross","1,278.80",642.90,379.10,360.50,321.00
"Accumulated Depreciation, Total",(749.60),(296.90),(233.00),(231.30),(254.80)
"Property/Plant/Equipment, Total - Net",529.20,346.00,146.00,129.20,103.80
"Goodwill, Net","11,090.80","3,114.50","3,013.00",933.80,766.40
"Intangibles, Net","3,231.70","1,047.10","1,094.60",352.60,312.20
Long Term Investments,120.30,85.70,103.10,33.40,27.80
"Other Long Term Assets, Total",90.70,42.90,60.50,54.30,45.20
Total Assets,"19,668.80","6,875.90","6,358.10","2,642.20","2,309.90"
Accounts Payable,678.20,318.40,363.80,264.10,223.70
Accrued Expenses,431.10,215.10,206.50,172.70,150.50
Notes Payable/Short Term Debt,92.80,24.50,117.60,21.70,0.00
Current Port. of LT Debt/Capital Leases,945.00,63.20,9.90,21.90,24.10
"Other Current liabilities, Total","2,376.00","1,405.90","1,397.10",544.80,430.20
Total Current Liabilities,"4,523.10","2,027.10","2,094.90","1,025.20",828.50
Long Term Debt,"3,508.70","1,054.20",117.60,1.70,2.20
Capital Lease Obligations,236.50,169.40,2.70,1.40,1.40
Total Long Term Debt,"3,745.20","1,223.60",120.30,3.10,2.20
Total Debt,"4,783.00","1,311.30",247.80,46.70,26.30
Deferred Income Tax,674.10,206.50,191.70,57.40,47.20
Minority Interest,904.60,0.00,208.90,175.10,160.90
"Other Liabilities, Total",341.20,197.60,143.00,130.10,140.00
Total Liabilities,"10,188.20","3,654.80","2,758.80","1,390.90","1,178.80"
"Common Stock, Total",189.80,124.30,124.10,90.40,90.00
Additional Paid-In Capital,"8,527.50","2,542.80","2,538.40",259.20,248.70
Retained Earnings (Accumulated Deficit),791.30,555.20,"1,004.60",949.10,819.20
"Other Equity, Total",(28.00),(1.20),(67.80),(47.40),(26.80)
Total Equity,"9,480.60","3,221.10","3,599.30","1,251.30","1,131.10"
Total Liabilities & Shareholders' Equity,"19,668.80","6,875.90","6,358.10","2,642.20","2,309.90"
Total Common Shares Outstanding,279.14,182.76,182.55,132.90,132.35
"Tangible Book Value per Share, Common Eq",(17.35),(5.15),(2.78),(0.26),0.40
"Other Current Assets, Total",0.10,(0.10),0.00,0.10,--
