,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Net Income/Starting Line,216.90,416.00,185.50,177.40,204.00
Depreciation/Depletion,175.00,142.80,94.90,90.50,54.60
Amortization,114.10,75.90,20.90,14.20,6.10
Non-Cash Items,52.40,(104.30),46.40,14.30,(35.50)
Cash Taxes Paid,93.10,57.40,49.90,44.10,39.10
Cash Interest Paid,51.30,47.10,0.80,1.10,0.60
Changes in Working Capital,(47.10),(103.60),(34.20),(10.40),(5.70)
Cash from Operating Activities,511.30,426.80,313.50,286.00,223.50
Capital Expenditures,(155.30),(113.90),(105.60),(107.00),(85.30)
"Other Investing Cash Flow Items, Total",(990.90),(5.40),(384.80),(221.20),(69.30)
Cash from Investing Activities,"(1,146.20)",(119.30),(490.40),(328.20),(154.60)
Financing Cash Flow Items,(51.70),"(1,114.60)",(3.40),(1.00),(0.50)
"Issuance (Retirement) of Stock, Net",(4.30),10.90,(36.80),10.70,7.50
"Issuance (Retirement) of Debt, Net","1,521.70","1,186.80",(12.80),15.80,0.20
Cash from Financing Activities,"1,465.70",71.30,(59.80),25.50,7.20
Foreign Exchange Effects,(18.30),2.10,(2.40),(6.10),3.00
Net Change in Cash,812.50,380.90,(239.10),(22.80),79.10
Total Cash Dividends Paid,(11.80),(6.80),0.00,--,--
