,31-Dec-20,31-Dec-19,31-Dec-18,31-Dec-17,31-Dec-16
Revenue,"2,747.80","2,381.60","1,720.20","1,552.40","1,309.20"
Total Revenue,"2,747.80","2,381.60","1,720.20","1,552.40","1,309.20"
"Cost of Revenue, Total",344.10,139.30,22.30,(7.40),4.20
Gross Profit,"2,403.70","2,242.30","1,697.90","1,559.80","1,305.00"
"Selling/General/Admin. Expenses, Total",997.60,875.70,697.00,615.90,596.90
Depreciation/Amortization,289.10,218.80,115.80,104.70,60.70
Unusual Expense (Income),122.50,(67.10),51.30,35.80,26.00
"Other Operating Expenses, Total",751.50,803.00,627.90,617.90,411.40
Total Operating Expense,"2,504.80","1,969.70","1,514.30","1,366.90","1,099.20"
Operating Income,243.00,411.90,205.90,185.50,210.00
"Interest Inc.(Exp.),Net-Non-Op., Total",(35.00),(18.70),(0.70),2.40,(3.50)
"Other, Net",8.90,22.80,(19.70),(8.10),(8.40)
Net Income Before Taxes,216.90,416.00,185.50,177.40,204.00
Provision for Income Taxes,50.80,75.00,45.30,44.10,53.70
Net Income After Taxes,166.10,341.00,140.20,133.30,150.30
Minority Interest,(1.40),(26.80),(38.90),(27.90),(6.20)
Equity In Affiliates,(0.90),(2.90),(0.80),0.10,--
Net Income Before Extra. Items,163.80,311.30,100.50,105.50,144.10
Net Income,163.80,311.30,100.50,105.50,144.10
Total Adjustments to Net Income,(0.10),(0.10),0.10,--,--
Income Available to Com Excl ExtraOrd,163.70,311.20,100.50,105.50,144.20
Income Available to Com Incl ExtraOrd,163.70,311.20,100.50,105.50,144.20
Dilution Adjustment,4.68,2.10,0.44,(0.17),--
Diluted Net Income,168.38,313.30,100.94,105.33,144.20
Diluted Weighted Average Shares,207.88,185.39,138.28,133.33,132.43
Diluted EPS Excluding ExtraOrd Items,0.81,1.69,0.73,0.79,1.09
DPS - Common Stock Primary Issue,0.00,0.00,0.00,0.00,0.00
Diluted Normalized EPS,1.26,1.39,1.01,0.99,1.23
