,ACCP.PA,ADP.PA,AIR.PA,AIRP.PA,AKE.PA,AMUN.PA,ATAR.PA,ATOS.PA,AUBT.PA,AUER.PA,AXAF.PA,BGBN.PA,BICP.PA,BIOX.PA,BNPP.PA,BOIR.PA,BOUY.PA,BVI.PA,CAGR.PA,CAPP.PA,CARR.PA,DANO.PA,DAST.PA,EDEN.PA,ENGIE.PA,EPED.PA,ESLX.PA,EUFI.PA,EXHO.PA,FOUG.PA,GETP.PA,GFCP.PA,HRMS.PA,JCDX.PA,LEGD.PA,LVMH.PA,MICP.PA,MT.AS,ORAN.PA,OREP.PA,ORP.PA,PERP.PA,PRTP.PA,PUBP.PA,RENA.PA,SAF.PA,SASY.PA,SCHN.PA,SCOR.PA,SEVI.PA,SGEF.PA,SGOB.PA,SOGN.PA,SOLB.BR,STDM.PA,STLA.PA,STM.PA,TCFP.PA,TEPRF.PA,UBIP.PA,URW.AS,VIE.PA,VIV.PA,VLOF.PA,WLN.PA
3Y_AVG_GROWTH_CA,92.96673487028673,90.26992777725835,95.4971576728666,99.34089116785736,97.42491674576858,103.19966008587033,105.14166666666667,97.04594322334941,105.5084979212098,89.08351584576377,95.71264206964938,105.06327306588035,92.06046719520229,109.8462757629915,100.13647637661327,93.12999710525409,101.02695790983927,98.61519573408395,,107.11648224394845,95.32780479994265,97.46180970864938,110.24459775583296,103.12151441470874,96.97883815287786,94.37929888629472,119.28052243550819,121.15011582362163,97.07990837478935,102.19905825412548,92.47442865366811,105.22004886194298,104.1837050056589,90.34372870911356,102.6845377522287,101.52075164665568,97.24611406918098,92.0763235580691,100.13002699821057,101.67799224424104,106.6592236237722,99.57118914109493,107.27034696281407,100.89299331115775,89.99195458969857,103.62842363037447,100.08200144139765,99.71905050292392,102.65616923006336,102.06261681532753,101.81905049737458,96.96520327705407,,95.28886701309344,119.97782905603233,93.23487224512903,106.12754578833636,103.1263534890053,110.17548919353233,109.70583667101944,110.04880364252737,100.64849473641185,107.83283990649463,95.59935484965901,120.32680023946871
3Y_AVG_GROWTH_NET_INCOME,30.001408989671145,1.4566336637724235,55.420599448770375,102.5652272230128,86.02712413975219,109.72521091790219,-16.5,218.25405127648935,103.51690821256041,132.0,97.89083729161476,130.05882352941177,70.90174039797789,119.57279868469126,96.3803072915227,68.72327935222673,89.16299940921776,83.29012625042796,94.4611126946989,104.96763078023177,-12.765343513146597,92.2140254434537,98.19337052768925,100.48859298149492,5.837194546098451,45.153148395518926,69.75800400145118,154.14133130198155,47.79179141804451,92.9832687212612,55.018858672972605,70.63417719180491,103.77359015916291,2.859706428373991,98.42735134652462,97.96445805319514,78.92060919954761,31.32649577717342,138.69174753257542,99.01950706377512,139.18397791387375,168.54737277624088,119.910355877105,87.98292874423913,1893.7103736307424,76.99151690197733,183.20763988135647,99.01616298803553,98.70087155786723,50.60645514707222,84.45880977327332,135.94013960977395,71.85299048375899,-234.96648183148278,130.10469421882465,94.81757826641677,313.6098166984344,99.60550184708863,102.0376923076923,-45.35506954436451,-166.5174040083629,88.02815345863205,444.79620607222955,-75.35207415926067,151.35439136426277
CASH_EQ/ASSETS_0,76.37579811492854,71.86075424782429,28.811643835616437,28.54183266932271,39.05980802362786,0.0,22.22222222222222,41.99078812691914,23.529411764705884,43.13725490196079,,52.21238938053097,23.981900452488688,23.41962673088501,,55.10204081632653,22.216400314383023,49.89160730876432,,40.48985840030616,27.70605187319885,40.16732468509118,57.12765957446808,31.027011411237904,25.787607968445755,33.521126760563384,64.74489795918367,36.219221604447974,27.115308933490752,40.45255137381667,82.00782268578878,23.355704697986578,71.1685967814709,64.72642607683353,61.398109474609804,51.82248017411753,36.286500535086375,20.01930432917456,45.42121622698653,44.03846153846154,47.74193548387097,20.133707974033523,39.91130820399113,24.454725710508924,29.78525748906092,21.29425995161645,43.957511200783316,,,42.97752808988764,37.242111177003025,41.90698367002531,,22.346119536128455,8.0,60.40995680723042,48.50697613769722,28.899345805118788,37.798507462686565,73.53288696337141,48.57922255057968,40.21566401816118,13.174433772085854,37.70179229693657,29.326606711998245
CASH_EQ/ASSETS_1,71.47220525351253,60.06042296072508,22.095093700967862,17.177811295458355,35.02613890963406,0.0,20.0,34.98115395766889,11.650485436893204,26.027397260273972,,43.38235294117647,,19.123783031988875,,51.207729468599034,18.733978550876277,45.51243177683445,,40.74356239524607,25.046451133407654,42.25143308954339,52.984464431725264,28.610795915059168,21.454311028828354,30.21348607133559,49.63720930232558,18.51620947630923,22.95307039440839,36.49169748957268,76.4963503649635,3.0578512396694215,71.98686371100165,16.122448979591837,47.56876910252848,24.164466239155036,13.156241586646326,17.00796757058988,45.279545363589065,38.15033055475711,49.352179034157835,20.400632577754347,30.8263695450325,21.57941325240263,22.17056575130798,13.825229174970108,34.43780364195589,,,32.36062717770035,28.439577888782296,28.012132786608998,,12.89859693877551,7.232704402515723,44.63242871865339,43.57666560408033,18.553974052147627,21.2298682284041,68.85768985322272,12.525667351129364,39.389105518137775,23.567193675889328,25.392969419834237,22.331397945511387
CASH_EQ/ASSETS_2,76.38150903294368,64.9354737173434,21.401372212692966,25.506432056779534,35.28403525954946,0.0,66.66666666666667,30.356504113509,9.895833333333334,33.68421052631579,,9.333333333333334,,21.91780821917808,,52.98329355608592,16.351291184327692,38.81964809384164,,35.57036074098148,24.049276914836636,48.75169343913296,66.86503213520591,35.45632449742039,17.534604588132805,32.60061919504644,26.154726154726156,29.677419354838708,23.200654307524538,32.484848484848484,78.90625,2.9836381135707413,,15.849324804548685,35.632183908045974,22.402445756018853,18.186479788052303,6.688221709006928,38.568361427070485,32.2076046847425,46.94002447980416,11.02089552238806,34.86449242076252,22.21144519883608,22.43372633083244,13.84988160140977,28.984092111151796,,,31.613318616629876,28.797037140561127,16.203508348905903,,16.77821721934895,7.7898550724637685,33.38034054110519,44.20980926430518,34.70806575148766,19.750283768444948,58.998875140607424,21.604215456674474,33.19632021922098,41.099234071206126,31.04399212081418,10.97938144329897
CASH_EQ/ASSETS_3,,61.204972904048454,,23.68759834072379,36.258194654563795,0.0,42.857142857142854,35.12043512043512,9.467455621301776,32.323232323232325,,12.121212121212121,,24.39405785770133,,60.0,25.859763598438253,19.325616507297433,,35.40229885057471,19.95110544217687,42.56644518272425,68.35232008891359,30.75230972283326,18.704961197339244,27.8220804536594,36.503937007874015,44.90690032858708,27.487262000536337,39.07155025553663,79.58387516254876,10.863757791629563,,48.02475011899096,33.93739703459637,20.193722995109443,16.4440734557596,9.624228827818284,54.15190688687491,27.860967419911063,46.86544342507645,9.640710906533691,31.328594860579553,18.161925601750546,22.576249092713564,37.5333831855571,39.140168475373756,,,31.78204382392864,26.750646978231085,20.46615979060202,,16.377744758131087,9.183673469387756,35.45239014169929,43.7536771916062,,21.397379912663755,51.78326474622771,36.100628930817614,41.27089094625466,23.108407079646017,32.16198563030699,31.282952548330403
DEBT/CASH_0,152.14968152866243,309.4579008073818,124.84844882919292,753.2663316582915,176.24448645242597,inf,50.0,154.99695307739182,50.0,136.36363636363637,,83.05084745762711,44.15094339622642,123.65038560411311,,4.938271604938271,187.21698113207546,207.69708255741776,,285.00315059861373,345.766590389016,375.2632810671659,224.90689013035382,153.44506517690874,244.8402710551791,200.54945054945054,133.90746369469773,345.8333333333333,307.64392839864536,311.2062404870624,787.5993640699523,4147.126436781609,35.629754860524095,418.8848920863309,193.84174722520586,180.94134685010863,181.60943753949863,220.03571428571428,401.45639585892263,39.70679975046787,1185.5855855855855,461.74205967276225,268.75,179.75675675675674,290.85115038647564,180.9191840950168,160.1349983125211,,,280.0746965452848,268.8903788132752,185.05270638398673,,350.29940119760477,837.1428571428571,87.27475615804265,75.61827956989248,150.87370929308975,322.8035538005923,112.15854311730048,1263.968179691156,281.541066892464,688.3888388838884,205.09103169251517,357.74121166791326
DEBT/CASH_1,155.81196581196582,364.7887323943662,115.09614617410037,1427.3170731707316,215.92039800995025,inf,300.0,224.69954413593038,150.0,205.26315789473685,,66.94915254237289,,215.27272727272728,,6.132075471698113,211.19798938843897,246.90206528980679,,153.10396409872848,381.68715557439594,394.6198830409357,272.22222222222223,166.0056657223796,296.9797364974189,208.4015510555795,176.4430284857571,1192.2558922558921,223.9804241435563,343.3469915893897,943.3206106870228,19662.162162162163,26.026459854014597,2621.940928270042,245.91121495327104,393.927567905089,469.7817189631651,294.6373536059174,426.7633021035885,54.36051987191561,1106.563245823389,538.2428940568475,405.1635111876076,246.703779665983,358.61710582625176,262.1621621621622,263.6861869481376,,,372.1668909825034,376.5615912527626,310.36695408060956,,557.9728059332509,300.0,82.74645628888462,85.25969275786393,212.96673455532925,708.735632183908,131.78869323447637,5401.024590163935,254.92725363731813,350.85953878406707,271.9752391671356,262.2
DEBT/CASH_2,139.7913043478261,337.7605428986912,108.22313056023083,818.9565217391304,169.81263011797364,inf,0.0,212.80439905734485,100.0,103.125,,357.14285714285717,,227.08333333333334,,2.2522522522522523,278.08032675289314,297.8281397544854,,153.3576975788031,307.1046770601336,343.31083763398175,35.5998576005696,125.9407927747115,289.2262397644678,122.55460588793922,311.75505740841993,623.9130434782609,234.13631022326675,383.74200426439234,793.3993399339934,23919.354838709678,,2982.0627802690583,325.90420332355814,208.737680060652,299.3890977443609,574.7237569060774,455.9279876821035,30.90909090909091,754.7588005215124,818.5265438786565,172.5076855511638,121.1166562694947,335.5522996560071,245.36779324055667,346.4907355418304,,,363.48559790514986,292.74447949526814,516.2574404761905,,345.4215775158658,346.51162790697674,113.65983414176185,73.34360554699538,46.32490239348158,663.7931034482758,128.02669208770257,6658.536585365854,320.5188679245283,114.43784558672947,201.39593908629442,115.96244131455398
DEBT/CASH_3,,304.375,,907.427536231884,173.43532684283727,inf,0.0,86.41592920353982,137.5,96.875,,162.5,,150.0,,5.376344086021505,139.3174767321613,637.7604166666666,,156.40074211502784,345.631326584976,457.3414634146341,40.65040650406504,133.76251788268956,302.74124837932953,128.59872611464968,163.8481449525453,270.2439024390244,173.02439024390245,329.9978199258775,699.6732026143791,6945.901639344263,,145.98612487611496,370.99514563106794,272.1843404655537,151.09983079526228,502.25330225330225,316.5746325715742,38.241042345276874,830.3425774877651,1020.2917771883289,226.2216404886562,21.894474449522228,327.3472869234302,73.85797637683221,151.08095007270964,,,361.653447223917,304.22535211267603,373.14250913520095,,426.008064516129,353.3333333333333,139.7433903576983,75.97489914836396,,511.9047619047619,171.39072847682118,2886.2369337979094,207.90968681718863,209.95691718525612,173.59870024370431,12.92134831460674
