,ABIO.PA,ABS.PA,ABVX.PA,ACCP.PA,ADOC.PA,ADP.PA,AIR.PA,AIRF.PA,AIRP.PA,AKA.PA,AKE.PA,AKW.PA,ALSO.PA,ALTUR.PA,AMPLI.PA,AMUN.PA,ASTP.PA,ASY.PA,ATAR.PA,ATEME.PA,ATOS.PA,AUBT.PA,AUER.PA,AURS.PA,AVQ.PA,AXAF.PA,AXW.PA,BATD.PA,BDRP.PA,BGBN.PA,BICP.PA,BIOX.PA,BITI.PA,BNPP.PA,BOIR.PA,BOLL.PA,BOND.PA,BOUY.PA,BVI.PA,CAFO.PA,CAGR.PA,CAPLI.PA,CAPP.PA,CARR.PA,CASP.PA,CATGR.PA,CBOT.PA,CDAF.PA,CGDM.PA,CHBE.PA,CIBP.PA,CITT.PA,CNIM.PA,CNPP.PA,COFA.PA,CRIP.PA,CTRG.PA,DANO.PA,DAST.PA,DBG.PA,DBV.PA,DMSP.PA,DTNC.PA,ECP.PA,EDEN.PA,EDF.PA,EGID.PA,EKI.PA,ELIOR.PA,ELIS.PA,ENGIE.PA,EPED.PA,ERMT.PA,ERYP.PA,ESIG.PA,ESLX.PA,ESSF.PA,ETL.PA,EUCAR.PA,EUFI.PA,EURA.PA,EXEP.PA,EXHO.PA,FALG.PA,FDJ.PA,FGA.PA,FNAC.PA,FOUG.PA,FPN.PA,GENX.PA,GEPH.PA,GETP.PA,GFCP.PA,GNFT.PA,GOEG.PA,GRBT.PA,GTCN.PA,GTT.PA,GVI.PA,HIGH.PA,HOP.PA,HRMS.PA,IMTP.PA,JCDX.PA,LEGD.PA,LTEN.PA,LVMH.PA,MICP.PA,MRSP.PA,MT.AS,ORAN.PA,OREP.PA,ORP.PA,PERP.PA,PRTP.PA,PUBP.PA,PYHE.PA,RENA.PA,SAF.PA,SASY.PA,SCHN.PA,SCOR.PA,SEVI.PA,SFPI.PA,SGEF.PA,SGOB.PA,SIGHT.PA,SOGN.PA,SOLB.BR,STDM.PA,STLA.PA,STM.PA,TCFP.PA,TEPRF.PA,UBIP.PA,URW.AS,VIE.PA,VIV.PA,VLOF.PA,WLN.PA,YAS.PA
3Y_AVG_GROWTH_CA,107.40075866310545,99.0,,92.96673487028673,,90.26992777725835,95.4971576728666,81.12749986159223,99.34089116785736,104.26020054761284,97.42491674576858,96.52094244662979,105.13870264513709,,97.61445920303606,103.19966008587033,100.88375707668555,105.30650192637178,105.14166666666667,112.39285714285715,97.04594322334941,105.5084979212098,89.08351584576377,101.77109974424553,143.21957551738484,95.71264206964938,98.87910230804684,119.63015232399633,,105.06327306588035,92.06046719520229,109.8462757629915,126.80238264580369,100.13647637661327,93.12999710525409,109.06705906028597,99.0481371692988,101.02695790983927,98.61519573408395,92.77113771049699,,119.53333008161806,107.11648224394845,95.32780479994265,94.0463349193578,124.62698412698414,108.76428571428572,93.95875362808292,101.80675333992605,102.61212762961088,109.6875,90.19764785203091,99.83735619454627,93.94097619998549,94.38727652743957,114.86117223395095,100.24509475574791,97.46180970864938,110.24459775583296,95.91226275844991,95.41895604395604,106.0228494623656,103.89560439560441,57.093378298621275,103.12151441470874,101.13546113894213,97.97096774193548,150.71028734074275,84.95265193109492,109.92638922581646,96.97883815287786,94.37929888629472,99.30355142245571,,100.89948746884845,119.28052243550819,93.32875650371847,95.12571245005255,93.35686225590973,121.15011582362163,103.0641712837121,94.26497275180266,97.07990837478935,,101.94336285284689,87.64633826231268,99.23739340344909,102.19905825412548,,103.59221665274298,97.10889905471954,92.47442865366811,105.22004886194298,232.8464285714286,93.59267241871372,95.18733573404485,123.85694444444445,119.16683673469387,82.5,97.34265341749844,97.21761225134716,104.1837050056589,95.32298723001422,90.34372870911356,102.6845377522287,105.21529084681804,101.52075164665568,97.24611406918098,100.12371027288158,92.0763235580691,100.13002699821057,101.67799224424104,106.6592236237722,99.57118914109493,107.27034696281407,100.89299331115775,96.64820777222131,89.99195458969857,103.62842363037447,100.08200144139765,99.71905050292392,102.65616923006336,102.06261681532753,98.96984221901818,101.81905049737458,96.96520327705407,,,95.28886701309344,119.97782905603233,93.23487224512903,106.12754578833636,103.1263534890053,110.17548919353233,109.70583667101944,110.04880364252737,100.64849473641185,107.83283990649463,95.59935484965901,120.32680023946871,103.39275814275815
3Y_AVG_GROWTH_NET_INCOME,113.49324324324324,82.00305250305252,151.70000000000002,30.001408989671145,,1.4566336637724235,55.420599448770375,-697.6111970745566,102.5652272230128,14.542486828240255,86.02712413975219,102.74720480471406,101.65378041693799,-inf,111.83333333333334,109.72521091790219,123.75,21.55782815123618,-16.5,143.0,218.25405127648935,103.51690821256041,132.0,101.75000000000001,inf,97.89083729161476,151.8,155.80714285714288,,130.05882352941177,70.90174039797789,119.57279868469126,130.26315789473685,96.3803072915227,68.72327935222673,103.50812140561109,92.58333333333333,89.16299940921776,83.29012625042796,inf,94.4611126946989,inf,104.96763078023177,-12.765343513146597,385.11557772665384,216.33333333333334,98.72500000000001,41.217317487266556,193.20000000000002,6.749289768699924,,62.21547619047619,-132.0,100.76794453415191,106.53207395041653,143.55846153846153,61.050000000000004,92.2140254434537,98.19337052768925,68.9923276501112,97.12094553243574,157.29999999999998,,30.24837418002379,100.48859298149492,160.93481576362348,inf,-inf,214.14311714954732,123.84352456200618,5.837194546098451,45.153148395518926,12.743753809908219,,-172.15,69.75800400145118,-1092.644613046099,91.16094939694091,-650.7459728090903,154.14133130198155,-14.334305750308324,-50.515384615384626,47.79179141804451,119.48634453781513,109.83393778564057,-131.58571428571432,156.24275663117945,92.9832687212612,115.5,inf,239.94203373137182,55.018858672972605,70.63417719180491,125.82882181110031,-666.1875,74.70564042303172,-152.70588235294116,119.32125378264281,85.25000000000001,89.50595238095238,-214.5,103.77359015916291,65.45264827437477,2.859706428373991,98.42735134652462,89.43574773392345,97.96445805319514,78.92060919954761,-11.916666666666668,31.32649577717342,138.69174753257542,99.01950706377512,139.18397791387375,168.54737277624088,119.910355877105,87.98292874423913,26.750033651904694,1893.7103736307424,76.99151690197733,183.20763988135647,99.01616298803553,98.70087155786723,50.60645514707222,211.7753846153846,84.45880977327332,135.94013960977395,,71.85299048375899,-234.96648183148278,130.10469421882465,94.81757826641677,313.6098166984344,99.60550184708863,102.0376923076923,-45.35506954436451,-166.5174040083629,88.02815345863205,444.79620607222955,-75.35207415926067,151.35439136426277,53.9
CASH_EQ/ASSETS_0,41.946308724832214,76.92307692307692,78.37837837837837,76.37579811492854,77.77777777777777,71.86075424782429,28.811643835616437,71.04598281960587,28.54183266932271,62.68456375838926,39.05980802362786,30.755711775043938,11.193695710575804,50.0,38.70967741935484,0.0,55.88235294117647,19.724770642201836,22.22222222222222,27.868852459016395,41.99078812691914,23.529411764705884,43.13725490196079,38.983050847457626,72.65625,,11.764705882352942,20.121951219512194,,52.21238938053097,23.981900452488688,23.41962673088501,94.0828402366864,,55.10204081632653,20.413415241573965,0.39486673247778875,22.216400314383023,49.89160730876432,14.285714285714286,,19.29530201342282,40.48985840030616,27.70605187319885,28.239270715968452,50.0,34.193548387096776,11.428571428571429,6.486486486486487,38.08948004836759,50.0,41.99475065616798,25.26501766784452,,,43.45114345114345,40.57971014492754,40.16732468509118,57.12765957446808,41.73410404624278,94.68599033816425,4.166666666666667,28.571428571428573,57.5,31.027011411237904,40.2332625107364,5.882352941176471,54.44444444444444,5.140186915887851,16.079812206572768,25.787607968445755,33.521126760563384,53.39470655926352,89.79591836734694,30.985915492957748,64.74489795918367,0.5625,72.37163814180929,10.75597554196776,36.219221604447974,48.9880059970015,19.919517102615693,27.115308933490752,61.111111111111114,63.93088552915767,22.662889518413596,49.45054945054945,40.45255137381667,,26.41509433962264,31.76751592356688,82.00782268578878,23.355704697986578,92.93478260869566,31.66023166023166,30.34188034188034,55.172413793103445,45.928338762214985,20.0,71.61290322580645,42.22222222222222,71.1685967814709,30.92105263157895,64.72642607683353,61.398109474609804,24.890061565523308,51.82248017411753,36.286500535086375,14.480874316939891,20.01930432917456,45.42121622698653,44.03846153846154,47.74193548387097,20.133707974033523,39.91130820399113,24.454725710508924,8.96551724137931,29.78525748906092,21.29425995161645,43.957511200783316,,,42.97752808988764,46.02272727272727,37.242111177003025,41.90698367002531,86.04651162790698,,22.346119536128455,8.0,60.40995680723042,48.50697613769722,28.899345805118788,37.798507462686565,73.53288696337141,48.57922255057968,40.21566401816118,13.174433772085854,37.70179229693657,29.326606711998245,36.36363636363637
CASH_EQ/ASSETS_1,49.69135802469136,35.714285714285715,50.0,71.47220525351253,82.6923076923077,60.06042296072508,22.095093700967862,52.87504391614943,17.177811295458355,57.334963325183374,35.02613890963406,20.594059405940595,25.954653937947494,100.0,22.61904761904762,0.0,39.53488372093023,13.063063063063064,20.0,20.833333333333332,34.98115395766889,11.650485436893204,26.027397260273972,18.181818181818183,70.6896551724138,,16.666666666666668,20.46783625730994,,43.38235294117647,,19.123783031988875,95.07042253521126,,51.207729468599034,23.475541657359837,0.6198347107438017,18.733978550876277,45.51243177683445,,,15.272727272727273,40.74356239524607,25.046451133407654,28.496876729659206,26.829268292682926,34.30232558139535,15.827338129496402,9.965635738831615,26.387315968289922,20.0,31.38586956521739,18.69158878504673,,,28.703703703703702,36.80555555555556,42.25143308954339,52.984464431725264,39.2807745504841,94.6078431372549,4.166666666666667,0.0,50.0,28.610795915059168,42.53745171543823,6.666666666666667,45.070422535211264,8.820403825717323,17.217217217217218,21.454311028828354,30.21348607133559,34.44278234854151,90.12345679012346,24.390243902439025,49.63720930232558,18.908227848101266,65.76923076923077,10.044559970293353,18.51620947630923,43.43163538873995,18.9247311827957,22.95307039440839,66.66666666666667,36.67443667443668,26.433915211970074,36.845956824002926,36.49169748957268,0.0,23.076923076923077,34.580498866213155,76.4963503649635,3.0578512396694215,95.17241379310344,25.396825396825395,24.271844660194176,43.421052631578945,53.99361022364217,25.0,52.27272727272727,21.296296296296298,71.98686371100165,28.61407249466951,16.122448979591837,47.56876910252848,16.749585406301826,24.164466239155036,13.156241586646326,12.634408602150538,17.00796757058988,45.279545363589065,38.15033055475711,49.352179034157835,20.400632577754347,30.8263695450325,21.57941325240263,7.547169811320755,22.17056575130798,13.825229174970108,34.43780364195589,,,32.36062717770035,35.32934131736527,28.439577888782296,28.012132786608998,70.37037037037037,,12.89859693877551,7.232704402515723,44.63242871865339,43.57666560408033,18.553974052147627,21.2298682284041,68.85768985322272,12.525667351129364,39.389105518137775,23.567193675889328,25.392969419834237,22.331397945511387,6.666666666666667
CASH_EQ/ASSETS_2,33.56890459363957,55.0,65.0,76.38150903294368,65.0,64.9354737173434,21.401372212692966,50.13463264521092,25.506432056779534,42.879746835443036,35.28403525954946,19.870410367170628,37.755775577557756,100.0,31.86813186813187,0.0,34.343434343434346,14.222222222222221,66.66666666666667,16.216216216216218,30.356504113509,9.895833333333334,33.68421052631579,17.647058823529413,75.0,,26.717557251908396,17.21311475409836,,9.333333333333334,,21.91780821917808,93.95973154362416,,52.98329355608592,38.020225593154414,1.6194331983805668,16.351291184327692,38.81964809384164,,,21.153846153846153,35.57036074098148,24.049276914836636,20.639566395663955,20.58823529411765,21.678321678321677,22.06896551724138,36.160714285714285,31.927710843373493,50.0,28.74493927125506,19.10112359550562,,,32.83582089552239,43.36283185840708,48.75169343913296,66.86503213520591,23.538961038961038,84.52380952380952,,22.22222222222222,22.22222222222222,35.45632449742039,41.62808270934946,13.333333333333334,40.32258064516129,11.363636363636363,18.308550185873607,17.534604588132805,32.60061919504644,45.92866756393001,89.93288590604027,17.821782178217823,26.154726154726156,9.527972027972028,81.16094986807389,8.800381588361555,29.677419354838708,42.690815006468306,16.774193548387096,23.200654307524538,,23.870967741935484,28.63849765258216,33.97739701057237,32.484848484848484,,,28.459016393442624,78.90625,2.9836381135707413,94.95412844036697,17.5,27.22772277227723,41.1764705882353,54.57413249211356,,45.588235294117645,13.432835820895523,,31.91806331471136,15.849324804548685,35.632183908045974,11.516314779270633,22.402445756018853,18.186479788052303,10.734463276836157,6.688221709006928,38.568361427070485,32.2076046847425,46.94002447980416,11.02089552238806,34.86449242076252,22.21144519883608,6.451612903225806,22.43372633083244,13.84988160140977,28.984092111151796,,,31.613318616629876,35.674157303370784,28.797037140561127,16.203508348905903,74.28571428571429,,16.77821721934895,7.7898550724637685,33.38034054110519,44.20980926430518,34.70806575148766,19.750283768444948,58.998875140607424,21.604215456674474,33.19632021922098,41.099234071206126,31.04399212081418,10.97938144329897,34.48275862068966
CASH_EQ/ASSETS_3,39.6551724137931,79.16666666666667,85.0,,77.27272727272727,61.204972904048454,,56.237580039743875,23.68759834072379,56.0625814863103,36.258194654563795,24.161073825503355,17.608353597482477,92.3076923076923,36.93693693693694,0.0,,11.864406779661017,42.857142857142854,,35.12043512043512,9.467455621301776,32.323232323232325,13.333333333333334,82.27848101265823,,21.53846153846154,21.705426356589147,,12.121212121212121,,24.39405785770133,94.03973509933775,,60.0,25.61297021004712,2.380952380952381,25.859763598438253,19.325616507297433,,,16.612377850162865,35.40229885057471,19.95110544217687,21.217746426582515,17.391304347826086,22.058823529411764,31.543624161073826,8.144796380090497,37.609841827768015,25.0,20.948012232415902,31.06382978723404,,,47.55555555555556,40.54054054054054,42.56644518272425,68.35232008891359,22.154779969650985,87.91208791208791,,,21.29032258064516,30.75230972283326,37.501110814893806,12.5,37.5,12.312811980033278,32.9635499207607,18.704961197339244,27.8220804536594,58.55263157894737,96.8586387434555,15.957446808510639,36.503937007874015,18.81651766709238,66.3716814159292,6.927175843694494,44.90690032858708,40.05190311418685,22.391304347826086,27.487262000536337,,27.01005025125628,25.598086124401913,31.34093590247739,39.07155025553663,0.0,,24.80314960629921,79.58387516254876,10.863757791629563,96.46643109540636,31.501831501831504,22.40143369175627,52.77777777777778,44.0,,45.80152671755725,16.438356164383563,,17.59927797833935,48.02475011899096,33.93739703459637,9.617612977983777,20.193722995109443,16.4440734557596,15.100671140939598,9.624228827818284,54.15190688687491,27.860967419911063,46.86544342507645,9.640710906533691,31.328594860579553,18.161925601750546,8.219178082191782,22.576249092713564,37.5333831855571,39.140168475373756,,,31.78204382392864,34.195402298850574,26.750646978231085,20.46615979060202,91.66666666666667,,16.377744758131087,9.183673469387756,35.45239014169929,43.7536771916062,,21.397379912663755,51.78326474622771,36.100628930817614,41.27089094625466,23.108407079646017,32.16198563030699,31.282952548330403,12.5
DEBT/CASH_0,752.0,95.0,113.79310344827586,152.14968152866243,100.0,309.4579008073818,124.84844882919292,265.24893314367,753.2663316582915,169.80728051391864,176.24448645242597,65.14285714285714,234.24,200.0,391.6666666666667,inf,75.43859649122807,244.1860465116279,50.0,158.8235294117647,154.99695307739182,50.0,136.36363636363637,126.08695652173913,76.34408602150538,,487.5,1081.8181818181818,,83.05084745762711,44.15094339622642,123.65038560411311,0.6289308176100629,,4.938271604938271,542.5782838552257,18175.0,187.21698113207546,207.69708255741776,450.0,,275.6521739130435,285.00315059861373,345.766590389016,472.65143271672105,82.85714285714286,432.07547169811323,5212.5,1108.3333333333333,111.74603174603175,100.0,42.1875,179.72027972027973,,,188.51674641148324,64.28571428571429,375.2632810671659,224.90689013035382,194.73684210526315,7.142857142857143,1400.0,225.0,217.3913043478261,153.44506517690874,245.65917602996254,900.0,83.6734693877551,2347.7272727272725,2821.167883211679,244.8402710551791,200.54945054945054,171.82112068965517,52.27272727272727,290.90909090909093,133.90746369469773,366.6666666666667,398.64864864864865,1160.9819121447028,345.8333333333333,344.4529456771232,187.87878787878788,307.64392839864536,136.36363636363637,61.148648648648646,512.5,162.984126984127,311.2062404870624,inf,178.57142857142858,344.8621553884712,787.5993640699523,4147.126436781609,106.4327485380117,168.29268292682926,248.59154929577466,15.625,4.25531914893617,100.0,47.747747747747745,105.26315789473684,35.629754860524095,329.78723404255317,418.8848920863309,193.84174722520586,91.1660777385159,180.94134685010863,181.60943753949863,483.0188679245283,220.03571428571428,401.45639585892263,39.70679975046787,1185.5855855855855,461.74205967276225,268.75,179.75675675675674,800.0,290.85115038647564,180.9191840950168,160.1349983125211,,,280.0746965452848,67.28395061728395,268.8903788132752,185.05270638398673,51.351351351351354,,350.29940119760477,837.1428571428571,87.27475615804265,75.61827956989248,150.87370929308975,322.8035538005923,112.15854311730048,1263.968179691156,281.541066892464,688.3888388838884,205.09103169251517,357.74121166791326,66.66666666666667
DEBT/CASH_1,604.3478260869565,280.0,222.22222222222223,155.81196581196582,48.83720930232558,364.7887323943662,115.09614617410037,247.50830564784053,1427.3170731707316,148.18763326226014,215.92039800995025,133.65384615384616,75.3103448275862,100.0,636.8421052631579,inf,117.6470588235294,396.55172413793105,300.0,90.0,224.69954413593038,150.0,205.26315789473685,190.0,95.1219512195122,,347.6190476190476,874.2857142857143,,66.94915254237289,,215.27272727272728,1.4814814814814814,,6.132075471698113,443.767840152236,12266.666666666666,211.19798938843897,246.90206528980679,,,354.76190476190476,153.10396409872848,381.68715557439594,419.3951165371809,45.45454545454545,410.1694915254237,2522.7272727272725,948.2758620689655,156.22317596566523,0.0,63.2034632034632,201.0,,,250.53763440860214,67.9245283018868,394.6198830409357,272.22222222222223,144.01408450704224,12.953367875647668,900.0,inf,436.0,166.0056657223796,225.78159032268874,1000.0,90.625,743.3734939759037,2297.093023255814,296.9797364974189,208.4015510555795,241.58523344191096,16.438356164383563,335.0,176.4430284857571,10.878661087866108,411.9298245614035,1017.0055452865065,1192.2558922558921,372.39858906525575,170.45454545454547,223.9804241435563,137.5,140.67796610169492,364.1509433962264,217.57696127110228,343.3469915893897,inf,200.0,215.40983606557376,943.3206106870228,19662.162162162163,65.21739130434783,157.8125,301.6,48.484848484848484,1.183431952662722,0.0,33.333333333333336,143.47826086956522,26.026459854014597,351.56482861400895,2621.940928270042,245.91121495327104,150.4950495049505,393.927567905089,469.7817189631651,510.63829787234044,294.6373536059174,426.7633021035885,54.36051987191561,1106.563245823389,538.2428940568475,405.1635111876076,246.703779665983,710.7142857142857,358.61710582625176,262.1621621621622,263.6861869481376,,,372.1668909825034,87.28813559322033,376.5615912527626,310.36695408060956,52.63157894736842,,557.9728059332509,300.0,82.74645628888462,85.25969275786393,212.96673455532925,708.735632183908,131.78869323447637,5401.024590163935,254.92725363731813,350.85953878406707,271.9752391671356,262.2,250.0
DEBT/CASH_2,889.4736842105264,72.72727272727273,76.92307692307692,139.7913043478261,15.384615384615385,337.7605428986912,108.22313056023083,282.17391304347825,818.9565217391304,203.3210332103321,169.81263011797364,144.56521739130434,38.4032634032634,0.0,413.7931034482759,inf,91.17647058823529,203.125,0.0,100.0,212.80439905734485,100.0,103.125,133.33333333333334,68.0,,137.14285714285714,1014.2857142857143,,357.14285714285717,,227.08333333333334,0.0,,2.2522522522522523,174.9531116794544,4275.0,278.08032675289314,297.8281397544854,,,229.54545454545453,153.3576975788031,307.1046770601336,347.0325630252101,57.142857142857146,854.8387096774194,1337.5,233.33333333333334,118.49056603773585,0.0,94.36619718309859,85.88235294117646,,,183.63636363636363,34.69387755102041,343.31083763398175,35.5998576005696,165.51724137931035,0.0,,150.0,827.2727272727273,125.9407927747115,195.34638106868215,300.0,68.0,1350.344827586207,1804.0609137055837,289.2262397644678,122.55460588793922,152.52747252747253,0.0,244.44444444444446,311.75505740841993,15.596330275229358,286.6710013003901,1013.550135501355,623.9130434782609,344.14141414141415,208.97435897435898,234.13631022326675,,46.846846846846844,312.2950819672131,97.1030042918455,383.74200426439234,inf,,265.89861751152074,793.3993399339934,23919.354838709678,80.19323671497584,166.66666666666666,251.5151515151515,31.428571428571427,1.1560693641618498,,16.129032258064516,100.0,,253.90898483080514,2982.0627802690583,325.90420332355814,89.16666666666667,208.737680060652,299.3890977443609,539.4736842105264,574.7237569060774,455.9279876821035,30.90909090909091,754.7588005215124,818.5265438786565,172.5076855511638,121.1166562694947,616.6666666666666,335.5522996560071,245.36779324055667,346.4907355418304,,,363.48559790514986,78.74015748031496,292.74447949526814,516.2574404761905,11.538461538461538,,345.4215775158658,346.51162790697674,113.65983414176185,73.34360554699538,46.32490239348158,663.7931034482758,128.02669208770257,6658.536585365854,320.5188679245283,114.43784558672947,201.39593908629442,115.96244131455398,0.0
DEBT/CASH_3,768.4782608695652,28.94736842105263,0.0,,20.58823529411765,304.375,,238.73184138201805,907.427536231884,145.34883720930233,173.43532684283727,123.14814814814815,138.66774979691309,0.0,290.2439024390244,inf,,14.285714285714286,0.0,,86.41592920353982,137.5,96.875,33.333333333333336,43.07692307692308,,185.71428571428572,767.8571428571429,,162.5,,150.0,0.0,,5.376344086021505,249.89086373557842,2800.0,139.3174767321613,637.7604166666666,,,317.6470588235294,156.40074211502784,345.631326584976,253.42665500145816,125.0,796.6666666666666,876.5957446808511,1411.111111111111,48.598130841121495,100.0,106.56934306569343,30.82191780821918,,,95.79439252336448,35.55555555555556,457.3414634146341,40.65040650406504,176.02739726027397,0.0,,,812.1212121212121,133.76251788268956,224.51026856240125,300.0,85.71428571428571,1188.5135135135135,890.1442307692307,302.74124837932953,128.59872611464968,111.57791890571568,0.5405405405405406,313.3333333333333,163.8481449525453,9.728506787330316,434.4,1289.3772893772893,270.2439024390244,355.83153347732184,160.19417475728156,173.02439024390245,,51.627906976744185,324.29906542056074,107.27728983688833,329.9978199258775,inf,,901.5873015873016,699.6732026143791,6945.901639344263,58.97435897435897,97.67441860465117,282.4,26.31578947368421,0.0,,23.333333333333332,100.0,,680.5128205128206,145.98612487611496,370.99514563106794,68.67469879518072,272.1843404655537,151.09983079526228,284.44444444444446,502.25330225330225,316.5746325715742,38.241042345276874,830.3425774877651,1020.2917771883289,226.2216404886562,21.894474449522228,341.6666666666667,327.3472869234302,73.85797637683221,151.08095007270964,,,361.653447223917,57.142857142857146,304.22535211267603,373.14250913520095,5.454545454545454,,426.008064516129,353.3333333333333,139.7433903576983,75.97489914836396,,511.9047619047619,171.39072847682118,2886.2369337979094,207.90968681718863,209.95691718525612,173.59870024370431,12.92134831460674,66.66666666666667
