COMPANY;NAME;EMPLOYEES;SUMMARY;PROFIT_MARGINS;NET_INCOME;REVENUE_GROWTH;TOTAL_REVENUE;OPERATING_MARGIN;DEBT_TO_EQUITY;FOREWARD_PE;PE;REVENUE_PER_SHARE;DIVIDEND_YIELD;NBR_SHARES;MARKET_CAP;TOTAL_DEBT
ASP.PA;;;;;;;;;;;;;;;;
AB.PA;;;;;;;;;;;;;;;;
ABCA.PA;ABC arbitrage SA;88.0;"ABC arbitrage SA, together with its subsidiaries, develops arbitrage strategies for liquid assets worldwide. It develops liquidity, statistical, risk, and derivatives arbitrage strategies; and provides asset and portfolio management services. The company was incorporated in 1995 and is based in Paris, France.";0.43577;28038000.0;0.206;64342000.0;0.54973;3.367;10.159421;15.239131;1.096;0.0571;33964897.0;415697920.0;5388000.0
ABVX.PA;;;;;;;;;;;;;;;;
AC.PA;Accor SA;14466.0;"Accor SA operates a chain of hotels. It operates through two segments, HotelServices, and Hotel Assets & Other. The company owns, operates, manages, and franchises hotels. It also provides digital services to independent hotel operators through D-edge platform; ResDiary, a flat-rate online table reservation system that is designed for restaurant owners; Gekko solutions, including digital hotel distribution and loyalty platforms for the travel industry and large companies; and concierge and customized services through John Paul, as well as hotel booking services; and other services in events, fine dining, and entertainment through Paris Society and Potel & Chabot platforms. In addition, the company offers distribution activities, such as private sales of hotel accommodation and luxury vacations through VeryChic platform; rental of private residences operated by onefinestay; and coworking spaces through Wojo and Mama Works. Further, it provides hotel management, procurement, cash management, IT, and advertising services, as well as various advisory services. As of December 31, 2021, the company operated 5,298 hotels with 777,714 rooms in 110 countries worldwide. The company was founded in 1967 and is headquartered in Issy-les-Moulineaux, France.";0.0161;-76000000.0;1.093;3104999936.0;0.03639;68.589;21.327435;126.17801;11.158;;182904000.0;6338203648.0;3353999872.0
EOS.PA;ACTEOS S.A.;87.0;"ACTEOS S.A. designs, develops, integrates, and provides software and related services in the field of supply chain management in France, Germany, Lebanon, and internationally. It offers Acteos suite, which include forecasting and procurement system for point of sales/e-business/distribution centers; transportation management system to organize and manage transport activities; and warehouse management system, a modular solution to manage customers' warehouses. The company also provides software as a service, hotline, technical project management, and consulting services. ACTEOS S.A. was founded in 1986 and is headquartered in Roubaix, France.";-0.056739997;-735417.0;-0.332;12960883.0;-0.070089996;;;19.753086;3.893;;1217025.0;5326448.0;7009416.0
ATI.PA;;;;;;;;;;;;;;;;
ADOC.PA;;;;;;;;;;;;;;;;
ADP.PA;Aeroports de Paris SA;25720.0;"Aeroports de Paris SA owns and operates airports worldwide. The company operates through Aviation, Retail and Services, Real Estate, International and Airport Developments, and Other Activities segments. The Aviation segment offers security and airport safety services, such as security checkpoints, screening systems, aircraft rescue, and fire-fighting services. The Retail and Services segment provides retail activities comprising of bars, restaurants, banks, car rentals, and retails shops, as well as engages in leasing of space for terminals, advertising, restaurant, and car park services. This segment is also involved in production and supply of heat, drinking water, and access to the chilled distribution networks. The Real Estate segment engages in construction, commercialization, and lease management of office, logistic buildings, and freight terminals; and provides property leasing services for airport terminals, as well as rents serviced land. The International and Airport Developments segment designs and operates airport activities. The Other Activities segment offers telecom and cybersecurity services. It operates and manages approximately 28 airports worldwide. Aeroports de Paris SA was incorporated in 1945 and is based in Tremblay-en-France, France.";0.02214;85000000.0;1.028;3793999872.0;0.14602;221.345;35.31579;159.7619;38.361;;26112593.0;13277559808.0;10069000192.0
AF.PA;;;;;;;;;;;;;;;;
AI.PA;L'Air Liquide S.A.;66400.0;"L'Air Liquide S.A. provides gases, technologies, and services for the industrial and health sectors in Europe, the Americas, the Asia Pacific, the Middle East, and Africa. The company's Gas & Services segment offers oxygen, nitrogen, argon, hydrogen, and carbon monoxide to the metals, chemicals, refining, and energy sectors; and gases, application equipment, and associated services to the materials and energy, automotive and manufacturing, food and pharmaceuticals, technology and research, and craftsmen and retail sectors. It also supplies medical gases, hygiene products, equipment, and services to hospitals, as well as to patients in their homes; and produces and distributes healthcare specialty ingredients for the cosmetics, pharmaceutical, and vaccine markets. In addition, this segment supplies gases, materials, and services for use in the production of semi-conductors, as well as flat screens and photovoltaic panels. Its Engineering & Construction segment designs, develops, and builds industrial gas production plants for third parties; and designs and manufactures plants in the traditional, renewable, and alternative energy sectors. The company's Global Markets & Technologies segment delivers technological solutions, such as molecules, equipment, and services to support the markets of energy transition, primarily in transport, energy, and waste valorization, as well as related to deep tech in the space exploration, aerospace, and big science. This segment also invests in biomethane production units, as well as develops stations for distributing natural bio-gas for vehicles and hydrogen to support clean mobility; operates biomethane production units for use in the maritime industry; and supplies gases for the offshore oil and gas platforms, offshore wind turbines, and cryogenic transportation by sea. L'Air Liquide S.A. was incorporated in 1902 and is headquartered in Paris, France.";0.098809995;2637700096.0;0.31;26695700480.0;0.15854;62.158;19.734596;24.736633;51.31;0.021300001;510990789.0;67161989120.0;14851900416.0
AIR.PA;Airbus SE;128873.0;"Airbus SE engages in the designing, manufacturing, and delivering aerospace products, services, and solutions worldwide. It operates through three segments: Airbus, Airbus Helicopters, and Airbus Defence and Space. The Airbus segment develops, manufactures, markets, and sells commercial jet aircraft of approximately 100 seats; and regional turboprop aircraft and aircraft components, as well as provides aircraft conversion and related services. The Airbus Helicopters segment engages in the development, manufacturing, marketing, and sale of civil and military helicopters; and provision of helicopter related services. The Airbus Defence and Space segment designs, develops, delivers, and supports military aircraft, such as combat, mission, transport, tanker aircraft, and their associated services; and offers unmanned aerial systems. This segment also offers civil and defense space systems for telecommunications, earth observations, navigation, science, and orbital systems; missile systems; and space launcher systems, as well as services around data processing from platforms, secure communication, and cyber security. The company was formerly known as Airbus Group SE and changed its name to Airbus SE in April 2017. Airbus SE was incorporated in 1998 and is based in Leiden, the Netherlands.";0.07421;3883000064.0;-0.096;52322000896.0;0.085319996;152.734;15.318885;20.032389;66.549;0.015800001;583748906.0;77929807872.0;13297000448.0
AKA.PA;;;;;;;;;;;;;;;;
AKW.PA;AKWEL;9661.0;AKWEL engages in the designing, developing, producing, and selling of tooling equipment and parts to automotive and truck manufacturers in France and internationally. The company was formerly known as MGI Coutier SA and changed its name to AKWEL in June 2018. The company was founded in 1972 and is headquartered in Champfromier, France. AKWEL is a subsidiary of COUTIER DEVELOPPEMENT.;0.05545;51618000.0;-0.209;922472000.0;0.091409996;12.111;7.692308;8.955224;34.265;0.026199998;8096159.0;481230016.0;69177000.0
ABIO.PA;Albioma;624.0;"Albioma, an independent renewable energy producer, constructs and operates biomass, photovoltaics, and geothermal projects in France, Mauritius, and Brazil. The company operates 15 thermal power plants with an installed capacity of 889 MW; solar power plants with a combined installed capacity of 109 MW. It also generates geothermal electric power in 29 countries. In addition, the company produces electricity and heat from bagasse and steam. Albioma was founded in 1982 and is headquartered in Paris, France.";0.089829996;56946000.0;0.226;633915008.0;0.18139;173.352;23.148148;28.571428;19.87;0.0168;703169.0;1611294976.0;1170868992.0
