eid,desc,target,n_splits,mean_ic,ic_std,foldIR,min_fold,n_neg,oos_ic,oos_ls,secs,folds
B0,baseline enet+lgbm+rf (current cfg),target_rank,4,0.03246,0.00543,5.976,0.02559,0,0.07712,0.19963,609.3,0.0256;0.0315;0.0408;0.0320
S1,lgbm-only top40 IC,target_rank,4,0.03006,0.01351,2.225,0.01489,0,0.03009,0.07117,115.9,0.0149;0.0220;0.0507;0.0327
S2,enet-only top40 IC,target_rank,4,0.03774,0.00682,5.534,0.0318,0,0.05693,0.13641,126.2,0.0493;0.0318;0.0352;0.0346
AE_base,enet base [57f],target_rank,3,0.02307,0.00197,11.735,0.02163,0,0.06771,0.1422,41.3,0.0258;0.0216;0.0217
AE_ic30,enet ic30 [30f],target_rank,3,0.04032,0.01523,2.648,0.02706,0,0.06132,0.14097,36.4,0.0322;0.0271;0.0616
AE_ic50,enet ic50 [50f],target_rank,3,0.03727,0.00755,4.935,0.03003,0,0.06334,0.15439,63.4,0.0300;0.0341;0.0477
AE_ic80,enet ic80 [80f],target_rank,3,0.03168,0.0166,1.909,0.00822,0,0.05771,0.12643,72.0,0.0082;0.0428;0.0440
AE_ic120,enet ic120 [120f],target_rank,3,0.02626,0.01487,1.767,0.00586,0,0.06295,0.15704,164.7,0.0059;0.0408;0.0321
AE_cov50_60,enet cov50_60 [60f],target_rank,3,0.02442,0.01403,1.74,0.0052,0,0.0421,0.10258,50.0,0.0052;0.0298;0.0383
AE_cov50_100,enet cov50_100 [100f],target_rank,3,0.01715,0.01394,1.231,0.00192,0,0.05329,0.1111,116.7,0.0019;0.0356;0.0139
AE_cov70_50,enet cov70_50 [50f],target_rank,3,0.02412,0.01779,1.356,-0.00098,1,0.03456,0.07085,24.5,-0.0010;0.0382;0.0351
AE_orth40,enet orth40 [40f],target_rank,3,0.03486,0.00809,4.311,0.02867,0,0.06826,0.16874,19.4,0.0296;0.0287;0.0463
AE_orth70,enet orth70 [70f],target_rank,3,0.03131,0.01433,2.186,0.0114,0,0.05814,0.12006,34.4,0.0114;0.0380;0.0445
AE_allcov40,enet allcov40 [322f],target_rank,3,0.01448,0.00676,2.142,0.00625,0,0.04109,0.09654,676.4,0.0144;0.0063;0.0228
AE_all,enet all [438f],target_rank,3,0.0203,0.00696,2.917,0.01054,0,0.03525,0.09035,1061.7,0.0263;0.0105;0.0241
AL_base,lgbm base [57f],target_rank,3,0.02623,0.00877,2.991,0.01691,0,0.0378,0.10915,31.2,0.0238;0.0380;0.0169
AL_ic50,lgbm ic50 [50f],target_rank,3,0.0317,0.02192,1.446,0.00393,0,0.03451,0.09127,25.3,0.0337;0.0575;0.0039
AL_ic80,lgbm ic80 [80f],target_rank,3,0.03395,0.01748,1.943,0.01369,0,0.04264,0.10887,41.1,0.0318;0.0563;0.0137
AL_cov50_100,lgbm cov50_100 [100f],target_rank,3,0.03394,0.01624,2.09,0.0145,0,0.043,0.09692,45.2,0.0331;0.0542;0.0145
AL_cov70_50,lgbm cov70_50 [50f],target_rank,3,0.02546,0.02267,1.123,-0.00387,1,0.01035,-0.0173,27.4,0.0289;0.0513;-0.0039
AL_orth70,lgbm orth70 [70f],target_rank,3,0.03172,0.01862,1.704,0.00879,0,0.04142,0.07697,38.2,0.0320;0.0544;0.0088
AL_allcov40,lgbm allcov40 [322f],target_rank,3,0.01903,0.01357,1.402,0.0067,0,0.05336,0.13698,166.2,0.0124;0.0379;0.0067
AL_all,lgbm all [438f],target_rank,3,0.01728,0.01044,1.656,0.00376,0,0.05357,0.11453,184.1,0.0189;0.0292;0.0038
