,as_of,ticker
191,2021-04-28,GOOGL
192,2021-07-28,GOOGL
193,2021-10-27,GOOGL
346,2010-02-26,AON
451,2010-03-01,AVB
514,2011-02-28,AWK
694,2010-02-24,AMP
783,2010-04-28,BBY
817,2009-08-10,BDX
852,2011-10-28,BLDR
1061,2009-08-07,AON
1062,2009-11-03,AON
1080,2021-04-30,CB
1081,2021-07-29,CB
1088,2021-10-28,CB
1104,2025-07-28,CB
1117,2025-10-27,CB
1126,2010-02-19,GE
1195,2009-08-06,BSX
1229,2010-08-06,BX
1276,2010-07-09,GIS
1288,2010-02-26,C
1397,2012-08-01,CB
1423,2010-02-25,CB
1455,2009-11-03,FLEX
1601,2025-06-04,CRWD
1714,2011-02-24,CHD
1785,2011-05-03,CHTR
1792,2014-11-12,ARES
1928,2010-10-21,DHR
1972,2009-08-10,AVB
1973,2009-11-09,AVB
1974,2010-05-05,AVB
1975,2011-02-23,AVB
1976,2010-11-04,AVB
1977,2011-08-01,AVB
1978,2011-11-07,AVB
1981,2011-02-25,LMT
1987,2010-02-23,CMCSA
2083,2010-02-26,CMI
2195,2010-02-26,COF
2275,2010-12-17,COO
2481,2011-02-24,CPT
2523,2013-02-15,GM
2531,2013-10-30,GM
2554,2010-02-08,BA
2558,2018-10-26,GOOGL
2676,2011-02-25,BAC
2677,2009-08-07,BAC
2680,2009-11-06,BAC
2684,2010-11-05,BAC
2685,2010-02-26,BAC
2686,2010-05-07,BAC
2687,2010-08-06,BAC
2696,2011-11-03,BAC
2697,2012-02-23,BAC
2703,2012-05-03,BAC
2704,2012-08-02,BAC
2705,2013-10-30,BAC
2706,2014-05-01,BAC
2709,2015-02-25,BAC
2716,2014-07-29,BAC
2717,2014-11-06,BAC
2718,2015-04-29,BAC
2721,2016-05-02,BAC
2722,2016-08-01,BAC
2723,2016-11-01,BAC
2775,2019-02-21,GPN
2783,2018-08-02,GPN
2929,2010-05-10,GS
3007,2009-12-17,DE
3022,2014-06-09,BBY
3024,2014-12-05,BBY
3033,2014-08-11,EG
3194,2009-07-23,DHR
3250,2009-08-04,MET
3251,2009-11-04,MET
3409,2011-05-05,DPZ
3715,2014-07-31,MOS
3726,2014-10-30,MOS
3787,2011-07-29,BLDR
3890,2009-07-23,BMY
3891,2009-10-22,BMY
3971,2011-07-25,HST
4139,2011-02-24,ERIE
4140,2010-08-17,ERIE
4331,2012-02-15,MSI
4336,2011-02-10,EXC
4413,2009-11-06,BSX
4418,2010-02-19,MTB
4419,2010-09-02,MTB
4426,2010-11-05,MTB
4427,2012-05-10,MTB
4428,2012-11-06,MTB
4429,2013-02-25,MTB
4440,2012-08-09,MTB
4441,2013-11-12,MTB
4467,2020-05-07,MTB
4468,2020-08-05,MTB
4469,2021-11-05,MTB
4475,2022-02-16,MTB
4780,2009-07-31,LLY
4781,2009-10-30,LLY
4905,2010-02-26,FITB
4914,2012-05-08,CAH
5087,2010-05-24,FLEX
5088,2009-08-04,FLEX
5108,2010-02-02,FLEX
5255,2009-08-07,CB
5256,2009-11-09,CB
5257,2010-05-07,CB
5262,2010-08-06,CB
5263,2010-11-08,CB
5264,2011-02-25,CB
5265,2012-05-02,CB
5266,2012-10-31,CB
5274,2013-10-30,CB
5275,2015-02-27,CB
5276,2013-05-01,CB
5277,2013-07-31,CB
5279,2014-10-29,CB
5280,2014-05-02,CB
5281,2014-07-30,CB
5282,2015-11-04,CB
5286,2017-02-28,CB
5287,2017-05-04,CB
5288,2016-08-05,CB
5290,2016-11-03,CB
5291,2018-02-23,CB
5292,2018-10-30,CB
5296,2018-05-02,CB
5297,2018-08-01,CB
5299,2019-10-31,CB
5300,2020-02-27,CB
5304,2020-04-29,CB
5305,2020-07-31,CB
5306,2020-10-30,CB
5307,2021-02-25,CB
5308,2023-05-02,CB
5316,2023-07-28,CB
5317,2023-11-01,CB
5322,2024-02-23,CB
5323,2024-04-26,CB
5328,2024-07-26,CB
5329,2024-10-30,CB
5330,2025-02-27,CB
5331,2025-04-28,CB
5334,2026-02-27,CB
5335,2026-04-28,CB
5380,2010-11-04,IFF
5420,2010-02-16,MAS
5488,2009-10-30,NTRS
5489,2011-02-25,NTRS
5493,2010-08-26,NTRS
5494,2010-10-27,NTRS
5495,2011-04-29,NTRS
5508,2011-07-29,NTRS
5509,2011-10-28,NTRS
5510,2012-07-27,NTRS
5511,2012-10-26,NTRS
5512,2013-02-26,NTRS
5513,2013-08-02,NTRS
5517,2013-10-25,NTRS
5522,2014-02-26,NTRS
5523,2014-04-28,NTRS
5524,2014-07-28,NTRS
5525,2014-10-31,NTRS
5531,2015-02-26,NTRS
5532,2015-04-28,NTRS
5536,2015-07-29,NTRS
5537,2015-10-28,NTRS
5538,2016-02-29,NTRS
5539,2016-04-28,NTRS
5540,2016-07-27,NTRS
5544,2017-02-28,NTRS
5545,2017-05-02,NTRS
5546,2017-07-27,NTRS
5547,2017-10-26,NTRS
5560,2011-07-25,GPN
5573,2020-11-04,MTB
5959,2021-08-05,EXR
6079,2013-02-26,ON
6106,2010-12-21,HRL
6126,2015-03-03,CFG
6222,2011-11-04,CHD
6242,2010-08-05,ORLY
6245,2010-10-22,HUBB
