,as_of,ticker
159,2023-08-08,CFG
171,2011-04-29,GLW
172,2019-02-12,GLW
215,2010-02-24,GRMN
355,2023-05-04,APA
365,2018-04-25,DTE
375,2023-08-03,APA
419,2022-05-10,APO
420,2011-03-01,ARE
425,2015-04-29,ARE
429,2021-05-10,IBKR
430,2026-05-07,IBKR
514,2011-02-28,AWK
573,2020-05-01,BAC
574,2020-07-31,BAC
578,2025-02-25,BAC
670,2025-10-28,INCY
671,2026-02-10,INCY
694,2010-02-24,AMP
783,2010-04-28,BBY
817,2009-08-10,BDX
1013,2014-01-24,J
1080,2021-04-30,CB
1081,2021-07-29,CB
1088,2021-10-28,CB
1104,2025-07-28,CB
1117,2025-10-27,CB
1126,2010-02-19,GE
1195,2009-08-06,BSX
1229,2010-08-06,BX
1264,2010-08-06,JPM
1268,2013-11-01,JPM
1269,2019-05-02,JPM
1270,2018-08-01,JPM
1271,2020-11-02,JPM
1276,2010-07-09,GIS
1277,2022-02-22,JPM
1278,2020-05-07,JPM
1283,2020-08-03,JPM
1284,2023-05-03,JPM
1285,2023-08-03,JPM
1288,2010-02-26,C
1289,2023-11-01,JPM
1303,2023-11-02,APA
1304,2024-05-02,APA
1305,2025-08-07,APA
1306,2022-11-03,CI
1309,2025-11-06,APA
1310,2026-02-26,APA
1311,2026-05-07,APA
1397,2012-08-01,CB
1399,2009-08-06,KIM
1400,2009-11-05,KIM
1423,2010-02-25,CB
1442,2020-11-05,KIM
1443,2021-04-30,KIM
1447,2021-07-30,KIM
1448,2022-10-28,KIM
1455,2009-11-03,FLEX
1465,2023-11-09,KKR
1508,2026-02-17,COP
1511,2026-04-30,COP
1532,2022-08-09,APO
1533,2022-11-08,APO
1535,2023-03-01,APO
1536,2023-05-09,APO
1537,2023-08-07,APO
1538,2023-11-07,APO
1541,2024-02-27,APO
1542,2024-05-07,APO
1543,2024-08-08,APO
1544,2024-11-06,APO
1547,2025-05-07,APO
1548,2025-08-07,APO
1549,2025-11-10,APO
1550,2026-02-25,APO
1551,2026-05-07,APO
1591,2026-05-06,APP
1671,2022-02-10,FRT
1700,2010-08-04,ARE
1701,2011-05-05,ARE
1702,2011-09-08,ARE
1706,2010-11-09,ARE
1712,2012-02-21,ARE
1713,2012-05-04,ARE
1714,2011-02-24,CHD
1719,2012-08-08,ARE
1720,2012-11-09,ARE
1721,2013-05-03,ARE
1722,2013-08-07,ARE
1723,2015-02-24,ARE
1725,2014-08-07,ARE
1726,2014-11-04,ARE
1727,2016-02-03,ARE
1730,2013-04-09,LEN
1731,2013-07-10,LEN
1732,2016-05-04,ARE
1733,2016-08-04,ARE
1735,2014-10-03,LEN
1739,2016-11-02,ARE
1740,2017-01-31,ARE
1742,2019-02-05,ARE
1743,2018-07-31,ARE
1750,2018-10-30,ARE
1751,2019-04-30,ARE
1752,2019-07-30,ARE
1753,2020-10-26,ARE
1754,2020-02-04,ARE
1757,2021-04-26,ARE
1758,2021-07-26,ARE
1759,2021-10-25,ARE
1760,2022-04-25,ARE
1761,2022-07-25,ARE
1762,2022-10-24,ARE
1763,2023-01-30,ARE
1765,2024-04-22,ARE
1771,2023-07-24,ARE
1772,2023-10-23,ARE
1773,2024-01-29,ARE
1779,2025-01-27,ARE
1780,2025-04-28,ARE
1781,2025-07-21,ARE
1784,2025-10-27,ARE
1785,2011-05-03,CHTR
1790,2026-01-26,ARE
1791,2026-04-27,ARE
1792,2014-11-12,ARES
1793,2015-03-20,ARES
1794,2015-05-12,ARES
1797,2014-08-13,ARES
1822,2024-11-01,D
1823,2020-05-08,ARES
1824,2020-11-06,ARES
1825,2021-02-25,ARES
1826,2021-05-06,ARES
1827,2021-08-09,ARES
1829,2021-11-05,ARES
1830,2022-02-28,ARES
1831,2022-05-09,ARES
1832,2024-05-02,D
1835,2022-08-05,ARES
1836,2024-05-09,ARES
1844,2024-08-07,ARES
1845,2023-11-06,ARES
1846,2024-02-27,ARES
1850,2025-05-12,ARES
1851,2025-08-08,ARES
1852,2025-11-06,ARES
1853,2026-02-25,ARES
1854,2026-05-08,ARES
1911,2010-08-02,LLY
1916,2010-10-29,LLY
1928,2010-10-21,DHR
1931,2011-10-28,LLY
1932,2013-07-26,LLY
1940,2013-10-30,LLY
1941,2014-02-19,LLY
1942,2014-04-28,LLY
1943,2014-07-28,LLY
1944,2015-07-30,LLY
1953,2016-10-28,LLY
1954,2017-02-21,LLY
1955,2019-10-24,LLY
1960,2021-02-17,LLY
1961,2023-04-27,LLY
1966,2024-02-21,LLY
1967,2025-08-07,LLY
1981,2011-02-25,LMT
1987,2010-02-23,CMCSA
2015,2017-08-09,DLR
2018,2010-10-29,LNT
2026,2017-11-09,DLR
2029,2010-02-12,DOC
2030,2009-08-04,DOC
2076,2025-05-09,LNT
2079,2025-08-08,LNT
2080,2025-11-07,LNT
2081,2026-02-20,LNT
2083,2010-02-26,CMI
2137,2013-08-02,EA
2140,2013-11-05,EA
2148,2014-02-04,EA
2195,2010-02-26,COF
2275,2010-12-17,COO
2351,2023-08-02,EQR
2352,2023-11-02,EQR
2361,2024-02-15,EQR
2366,2022-07-27,ESS
2452,2012-02-29,EXR
2453,2011-05-06,EXR
2481,2011-02-24,CPT
2488,2019-02-26,EXR
2489,2019-05-07,EXR
2504,2022-10-28,CPT
2554,2010-02-08,BA
2582,2019-08-06,EXR
2614,2019-11-05,EXR
2676,2011-02-25,BAC
2677,2009-08-07,BAC
2680,2009-11-06,BAC
2684,2010-11-05,BAC
2685,2010-02-26,BAC
2686,2010-05-07,BAC
2687,2010-08-06,BAC
2696,2011-11-03,BAC
2697,2012-02-23,BAC
2703,2012-05-03,BAC
2704,2012-08-02,BAC
2705,2013-10-30,BAC
2706,2014-05-01,BAC
2709,2015-02-25,BAC
2716,2014-07-29,BAC
2717,2014-11-06,BAC
2718,2015-04-29,BAC
2721,2016-05-02,BAC
2722,2016-08-01,BAC
2723,2016-11-01,BAC
2727,2019-02-26,BAC
2728,2018-04-30,BAC
2729,2018-07-30,BAC
2730,2013-03-08,IBKR
2733,2018-10-29,BAC
2734,2020-02-19,BAC
2735,2019-10-28,BAC
2736,2021-02-24,BAC
2737,2020-10-30,BAC
2738,2021-04-29,BAC
2743,2021-07-30,BAC
2744,2021-10-29,BAC
2745,2023-02-22,BAC
2746,2022-04-29,BAC
2751,2022-07-29,BAC
2752,2022-10-28,BAC
2753,2023-05-01,BAC
2754,2023-07-31,BAC
2757,2023-10-31,BAC
2758,2024-02-20,BAC
2759,2024-04-30,BAC
2760,2024-07-30,BAC
2761,2024-10-29,BAC
2763,2025-07-31,BAC
2764,2025-10-31,BAC
2765,2026-02-25,BAC
2768,2026-05-01,BAC
2775,2019-02-21,GPN
2783,2018-08-02,GPN
2929,2010-05-10,GS
2954,2018-11-07,IBKR
2981,2020-02-25,EXR
3007,2009-12-17,DE
3022,2014-06-09,BBY
3024,2014-12-05,BBY
3033,2014-08-11,EG
3194,2009-07-23,DHR
3250,2009-08-04,MET
3251,2009-11-04,MET
3252,2011-02-25,MET
3253,2010-08-02,MET
3254,2014-08-08,MET
3262,2014-11-06,MET
3263,2015-02-27,MET
3264,2015-05-08,MET
3265,2015-08-06,MET
3266,2016-11-03,MET
3274,2017-03-01,MET
3277,2010-02-22,LLY
3278,2018-03-01,MET
3279,2022-02-18,MET
3280,2019-05-08,MET
3294,2019-08-06,MET
3295,2019-11-05,MET
3296,2021-05-06,MET
3302,2021-08-06,MET
3303,2021-11-09,MET
