,as_of,ticker
1126,2010-02-19,GE
1211,2016-05-06,FISV
1792,2014-11-12,ARES
1800,2015-11-10,ARES
1803,2017-02-27,ARES
1804,2017-05-08,ARES
2195,2010-02-26,COF
2929,2010-05-10,GS
3159,2014-11-06,MDLZ
3160,2015-02-20,MDLZ
3161,2015-04-30,MDLZ
3162,2015-07-31,MDLZ
4481,2017-08-02,FISV
4482,2017-11-01,FISV
4496,2018-05-02,FISV
4497,2018-08-01,FISV
4504,2019-11-07,FISV
5840,2010-07-29,O
5841,2011-02-10,O
5845,2011-08-01,O
5846,2011-10-28,O
5850,2012-02-13,O
5851,2014-07-24,O
5852,2014-10-30,O
5853,2014-02-14,O
5854,2014-05-01,O
5860,2015-07-30,O
6645,2022-05-03,PCAR
6646,2022-08-02,PCAR
6647,2022-10-28,PCAR
6648,2023-08-02,PCAR
6649,2023-11-02,PCAR
6650,2024-02-21,PCAR
6658,2025-02-19,PCAR
6659,2025-05-01,PCAR
6660,2026-02-18,PCAR
6661,2026-04-29,PCAR
6778,2013-11-01,GE
6785,2014-05-12,GE
6789,2014-07-31,GE
6790,2014-11-04,GE
6795,2016-02-26,GE
7798,2009-08-10,COF
7799,2009-11-09,COF
8467,2013-03-01,REG
8468,2013-11-01,REG
8469,2013-08-02,REG
8470,2014-05-08,REG
8476,2014-08-08,REG
8487,2016-02-18,REG
8491,2017-08-08,REG
8492,2016-11-04,REG
9780,2011-03-01,GS
9786,2010-11-09,GS
10120,2009-07-31,D
10210,2010-02-17,PFG
12467,2019-03-13,VRT
15366,2018-02-22,FISV
15658,2016-07-27,MDLZ
15773,2009-11-04,GS
15774,2010-03-01,GS
15775,2009-08-05,GS
16619,2016-10-26,MDLZ
16773,2010-10-28,O
17376,2015-10-29,MDLZ
17377,2016-02-19,MDLZ
17378,2016-04-28,MDLZ
17561,2011-04-28,O
17862,2012-02-29,REG
17864,2020-11-02,PCAR
17865,2021-02-17,PCAR
17872,2023-02-22,PCAR
17873,2023-05-02,PCAR
18175,2012-04-12,NXPI
18194,2013-04-26,O
18195,2013-07-25,O
18196,2013-10-31,O
18442,2025-07-31,PCAR
18443,2025-10-30,PCAR
18514,2014-11-04,REG
18515,2015-05-07,REG
18516,2017-02-27,REG
20016,2017-11-13,VICI
21206,2010-02-22,WBD
21539,2010-03-30,WMT
21540,2011-03-30,WMT
22394,2016-02-19,FISV
