,as_of,ticker
2,2016-02-25,FITB
3,2015-11-05,FITB
4,2018-11-06,FITB
17,2009-08-27,ALL
18,2009-11-04,ALL
19,2010-02-25,ALL
20,2010-04-28,ALL
23,2011-04-27,ALL
24,2010-08-12,ALL
25,2010-10-27,ALL
29,2012-02-22,ALL
30,2012-05-02,ALL
32,2013-05-01,ALL
39,2013-07-31,ALL
40,2013-10-30,ALL
41,2014-02-20,ALL
42,2014-05-06,ALL
44,2015-02-19,ALL
45,2015-05-05,ALL
46,2015-08-03,ALL
47,2015-11-02,ALL
51,2016-05-04,ALL
52,2016-08-03,ALL
53,2016-11-02,ALL
54,2017-02-17,ALL
58,2018-05-01,ALL
63,2018-08-01,ALL
64,2018-10-31,ALL
65,2018-02-26,ALL
68,2019-02-15,ALL
69,2019-05-01,ALL
75,2019-07-30,ALL
76,2019-10-29,ALL
77,2020-02-21,ALL
78,2021-05-05,ALL
79,2021-11-03,ALL
80,2022-05-04,ALL
84,2023-05-03,ALL
85,2023-08-01,ALL
86,2023-11-01,ALL
88,2024-05-01,ALL
96,2024-07-31,ALL
97,2024-10-30,ALL
98,2025-02-24,ALL
100,2025-04-30,ALL
101,2025-07-30,ALL
102,2025-11-05,ALL
103,2026-02-20,ALL
106,2026-04-29,ALL
146,2012-09-10,CASY
147,2013-03-11,CASY
179,2023-10-24,GM
245,2024-08-02,GS
259,2013-11-08,DUK
260,2017-05-09,DUK
261,2017-08-03,DUK
262,2017-11-03,DUK
263,2019-02-28,DUK
264,2024-11-07,DUK
346,2010-02-26,AON
351,2010-08-06,AON
353,2010-11-04,AON
365,2018-04-25,DTE
419,2022-05-10,APO
426,2010-08-05,ATO
429,2021-05-10,IBKR
437,2010-11-12,ATO
440,2013-02-07,ATO
452,2018-08-02,ED
478,2016-05-10,EXC
488,2026-07-24,AXP
514,2011-02-28,AWK
558,2011-08-03,AXP
582,2010-02-26,AXP
694,2010-02-24,AMP
783,2010-04-28,BBY
817,2009-08-10,BDX
885,2009-08-07,BNY
900,2015-08-07,BRK-B
901,2015-11-06,BRK-B
906,2024-02-26,BRK-B
907,2009-05-07,FE
908,2009-08-03,FE
909,2009-11-09,FE
912,2025-05-05,BRK-B
952,2011-02-28,ITW
953,2011-08-05,ITW
963,2011-10-28,ITW
964,2013-02-19,ITW
968,2013-08-02,ITW
969,2013-11-01,ITW
978,2014-02-14,ITW
979,2014-05-02,ITW
981,2014-08-08,ITW
982,2015-02-13,ITW
983,2024-05-02,ITW
984,2024-10-30,ITW
985,2025-02-14,ITW
986,2025-08-01,ITW
1026,2010-10-29,JBHT
1029,2012-02-24,JBHT
1030,2012-04-27,JBHT
1031,2015-04-24,JBHT
1032,2015-07-30,JBHT
1033,2015-10-23,JBHT
1045,2012-12-10,CASY
1056,2009-11-06,BNY
1061,2009-08-07,AON
1062,2009-11-03,AON
1063,2011-02-25,AON
1064,2010-05-04,AON
1066,2011-05-05,AON
1067,2012-02-24,AON
1068,2011-08-04,AON
1073,2011-11-04,AON
1074,2012-05-08,AON
1077,2012-08-08,AON
1078,2012-10-31,AON
1079,2010-02-26,BNY
1082,2014-02-18,AON
1083,2014-04-25,AON
1084,2014-07-25,AON
1085,2012-05-09,BNY
1086,2014-10-31,AON
1087,2015-02-24,AON
1092,2015-05-01,AON
1093,2015-07-31,AON
1094,2015-10-30,AON
1095,2016-02-22,AON
1099,2018-02-20,AON
1100,2017-05-09,AON
1101,2017-08-04,AON
1102,2017-10-27,AON
1103,2018-05-04,AON
1109,2018-07-27,AON
