,as_of,ticker
17,2009-08-27,ALL
18,2009-11-04,ALL
81,2009-07-17,BIIB
82,2012-03-28,FTNT
83,2013-05-08,FTNT
107,2014-04-30,ALLE
108,2014-10-30,ALLE
110,2010-11-05,BX
145,2020-10-29,CARR
148,2009-08-12,CAT
149,2009-10-30,CAT
167,2016-07-22,CMG
197,2014-08-08,ANET
215,2010-02-24,GRMN
240,2011-02-23,CTSH
241,2011-05-05,CTSH
274,2022-08-01,AMP
275,2022-11-02,AMP
276,2024-11-01,AMP
277,2025-02-20,AMP
280,2025-05-02,AMP
285,2025-08-05,AMP
341,2018-11-05,ANET
344,2024-05-08,ANET
345,2024-07-31,ANET
346,2010-02-26,AON
369,2010-08-02,HSIC
389,2010-10-21,EBAY
419,2022-05-10,APO
420,2011-03-01,ARE
426,2010-08-05,ATO
431,2009-07-28,IBM
432,2009-10-27,IBM
450,2010-02-25,AME
451,2010-03-01,AVB
462,2018-06-14,AVGO
467,2018-09-13,AVGO
514,2011-02-28,AWK
516,2009-11-09,EXPD
518,2011-07-22,IDXX
519,2011-10-21,IDXX
538,2012-11-02,F
565,2009-08-10,AMGN
566,2009-11-06,AMGN
567,2010-03-01,AMGN
582,2010-02-26,AXP
593,2023-07-28,F
597,2024-02-07,F
663,2020-08-04,INCY
664,2020-11-05,INCY
665,2021-02-09,INCY
670,2025-10-28,INCY
671,2026-02-10,INCY
694,2010-02-24,AMP
710,2010-09-16,INTU
720,2015-02-24,AMP
721,2015-08-03,AMP
722,2015-11-02,AMP
723,2016-02-25,AMP
724,2016-05-05,AMP
725,2016-11-02,AMP
726,2017-02-23,AMP
733,2019-02-27,AMP
734,2019-05-01,AMP
738,2020-02-26,AMP
739,2019-08-05,AMP
740,2019-11-12,AMP
742,2011-10-31,FDS
748,2012-07-10,FDS
755,2022-02-25,AMP
756,2022-05-02,AMP
757,2013-04-09,FDS
758,2023-05-02,AMP
759,2023-08-08,AMP
760,2023-11-02,AMP
764,2024-02-22,AMP
765,2024-05-06,AMP
766,2024-08-06,AMP
768,2026-05-07,AMP
769,2009-08-06,AMT
783,2010-04-28,BBY
817,2009-08-10,BDX
843,2013-11-07,BKNG
850,2009-11-24,BEN
852,2011-10-28,BLDR
885,2009-08-07,BNY
898,2010-01-29,AMZN
935,2011-05-06,FFIV
936,2013-05-09,FFIV
948,2013-02-27,BKNG
949,2011-05-06,BX
956,2011-02-25,BKNG
957,2012-02-28,BX
992,2014-11-07,ANET
1004,2018-02-20,ANET
1005,2016-05-05,ANET
1006,2016-08-05,ANET
1007,2016-11-03,ANET
1008,2018-08-08,ANET
