,as_of,ticker
0,2011-02-25,ALB
90,2015-02-27,ALLE
115,2009-12-11,AMAT
523,2026-04-09,APA
524,2023-05-04,APA
544,2023-08-03,APA
595,2010-08-05,ATO
683,2011-02-28,AWK
863,2010-02-24,AMP
952,2010-04-28,BBY
986,2009-08-10,BDX
1295,2010-02-19,GE
1364,2009-08-06,BSX
1398,2010-08-06,BX
1445,2010-07-09,GIS
1457,2010-02-26,C
1461,2022-02-22,APA
1462,2021-05-07,APA
1463,2021-08-05,APA
1468,2021-11-05,APA
1469,2022-05-05,APA
1470,2022-08-04,APA
1471,2022-11-03,APA
1472,2023-11-02,APA
1473,2024-05-02,APA
1474,2025-08-07,APA
1478,2025-11-06,APA
1479,2026-02-26,APA
1480,2026-05-07,APA
1618,2012-05-04,KKR
1619,2012-08-03,KKR
1620,2013-05-02,KKR
1621,2014-11-06,KKR
1625,2014-08-07,KKR
1626,2015-11-05,KKR
1627,2016-02-26,KKR
1628,2016-05-06,KKR
1629,2016-08-04,KKR
1746,2015-05-07,KKR
1883,2011-02-24,CHD
1954,2011-05-03,CHTR
2156,2010-02-23,CMCSA
2252,2010-02-26,CMI
2364,2010-02-26,COF
2444,2010-12-17,COO
2603,2011-08-05,KKR
2650,2011-02-24,CPT
2723,2010-02-08,BA
2728,2016-11-04,KKR
3098,2010-05-10,GS
3176,2009-12-17,DE
3363,2009-07-23,DHR
3578,2011-05-05,DPZ
4059,2009-07-23,BMY
4060,2009-10-22,BMY
4505,2011-02-10,EXC
4582,2009-11-06,BSX
4949,2009-07-31,LLY
4950,2009-10-30,LLY
5071,2009-10-29,NEM
5074,2010-02-26,FITB
5076,2011-02-24,NEM
5077,2011-10-27,NEM
5078,2011-07-29,NEM
5549,2010-11-04,IFF
5729,2011-07-25,GPN
5836,2012-03-30,CCL
5843,2012-07-02,CCL
5844,2012-10-05,CCL
5845,2013-01-29,CCL
5846,2013-04-03,CCL
5847,2013-07-02,CCL
5848,2013-10-03,CCL
5849,2014-01-29,CCL
5853,2014-04-02,CCL
5854,2014-07-02,CCL
5855,2015-10-02,CCL
6275,2010-12-21,HRL
6295,2015-03-03,CFG
6414,2010-10-22,HUBB
6638,2011-08-02,CHTR
6640,2011-11-01,CHTR
6656,2011-02-25,IEX
6924,2011-03-01,IRM
7028,2009-08-07,ITW
7029,2009-10-30,ITW
7064,2010-02-26,IVZ
7194,2009-11-17,JCI
7622,2009-08-28,PCAR
8222,2012-02-29,LYB
8265,2026-02-25,PSKY
8514,2012-10-24,META
8644,2012-02-27,GM
8656,2016-02-18,REG
8660,2017-08-08,REG
8661,2016-11-04,REG
8662,2018-02-27,REG
8779,2011-03-01,MNST
8981,2010-07-30,CPT
8982,2010-11-05,CPT
9310,2010-02-26,PRU
9672,2017-05-04,GPN
9692,2011-02-17,REGN
9934,2019-10-31,CTVA
9949,2011-03-01,GS
9955,2010-11-09,GS
9963,2011-05-10,GS
9973,2010-08-09,GS
9980,2011-11-09,GS
10005,2009-11-02,ROP
10116,2019-11-06,CVS
10379,2010-02-17,PFG
10643,2010-03-11,PNC
10685,2011-02-23,PNR
11157,2010-08-06,RJF
11198,2010-08-03,DHI
11296,2009-10-22,DHR
11564,2010-02-25,SCHW
11695,2012-02-27,KKR
11698,2012-11-02,KKR
11708,2013-02-22,KKR
11721,2013-08-08,KKR
11735,2011-02-17,SNA
12149,2009-08-28,DTE
12150,2009-10-30,DTE
12151,2010-02-23,DTE
12154,2010-04-29,DTE
12155,2010-08-27,DTE
12164,2010-10-29,DTE
12165,2011-02-18,DTE
12166,2011-04-27,DTE
12171,2011-07-29,DTE
12172,2011-11-04,DTE
12195,2018-03-28,VICI
12211,2015-08-06,VLO
12333,2010-02-26,VLO
12334,2010-05-07,VLO
12335,2010-11-03,VLO
12340,2011-02-25,VLO
12341,2013-02-28,VLO
12351,2012-05-08,VLO
12362,2013-05-08,VLO
12367,2013-08-07,VLO
12368,2014-05-08,VLO
12369,2014-08-07,VLO
12376,2014-11-06,VLO
12379,2014-02-27,VLO
12380,2015-11-04,VLO
12540,2010-03-12,TGT
12636,2019-03-13,VRT
12744,2018-08-06,VST
12803,2009-08-07,VLO
12804,2009-11-05,VLO
12985,2019-02-28,VST
12990,2010-02-26,FCX
13012,2010-11-01,ED
13013,2009-08-07,FCX
13024,2009-11-06,FCX
13027,2011-02-25,FCX
13029,2010-05-07,FCX
13334,2012-05-07,FCX
13360,2011-08-05,FCX
13377,2011-11-04,FCX
13416,2009-09-15,AES
13728,2009-08-05,EMR
13767,2009-08-07,AES
13768,2009-11-06,AES
13980,2013-02-22,HSY
14048,2009-08-06,EQR
14049,2009-11-05,EQR
14146,2011-05-25,TTWO
14385,2010-02-16,WM
14624,2009-11-06,ETR
14625,2010-02-26,ETR
14629,2009-09-04,ETR
14635,2010-11-05,ETR
14661,2015-05-07,ETR
14662,2014-08-07,ETR
14668,2014-11-06,ETR
14669,2015-02-26,ETR
14670,2016-02-26,ETR
14675,2016-05-06,ETR
14676,2016-08-04,ETR
14677,2016-11-04,ETR
14737,2014-05-02,TRGP
14738,2014-08-01,TRGP
14739,2014-11-04,TRGP
14743,2015-02-17,TRGP
14744,2015-05-07,TRGP
14745,2015-08-04,TRGP
15372,2009-05-11,FCX
15858,2010-02-26,MET
15912,2018-08-07,KDP
15942,2009-11-04,GS
15943,2010-03-01,GS
15944,2009-08-05,GS
16058,2009-08-07,KMB
16324,2009-08-26,MSI
16325,2009-11-04,MSI
16328,2011-02-18,MSI
16428,2010-08-05,IFF
16518,2010-02-25,IP
16529,2013-02-12,LYB
16542,2009-07-23,NEM
16547,2012-04-26,NEM
16548,2012-02-24,NEM
16603,2014-05-02,MAA
16835,2017-10-25,KDP
16869,2010-11-03,NVR
16924,2011-11-08,KKR
